iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=139 | T=130368 | NewBest=451286 | Δ=7135 | ImproveTotal=1
[IMPROVE] Iter=143 | T=130237 | NewBest=451267 | Δ=19 | ImproveTotal=2
[IMPROVE] Iter=163 | T=129977 | NewBest=446827 | Δ=7069 | ImproveTotal=3
[IMPROVE] Iter=175 | T=129847 | NewBest=439843 | Δ=105038 | ImproveTotal=4
[IMPROVE] Iter=285 | T=128426 | NewBest=436713 | Δ=4362 | ImproveTotal=5
[IMPROVE] Iter=327 | T=127913 | NewBest=431902 | Δ=5524 | ImproveTotal=6
[IMPROVE] Iter=340 | T=127785 | NewBest=425314 | Δ=131105 | ImproveTotal=7
[IMPROVE] Iter=342 | T=127657 | NewBest=425309 | Δ=5 | ImproveTotal=8
[IMPROVE] Iter=347 | T=127657 | NewBest=425265 | Δ=144 | ImproveTotal=9
[IMPROVE] Iter=349 | T=127657 | NewBest=425217 | Δ=48 | ImproveTotal=10
[IMPROVE] Iter=350 | T=127657 | NewBest=425203 | Δ=14 | ImproveTotal=11
[IMPROVE] Iter=379 | T=127275 | NewBest=420203 | Δ=5648 | ImproveTotal=12
[IMPROVE] Iter=418 | T=126766 | NewBest=414340 | Δ=6540 | ImproveTotal=13
[IMPROVE] Iter=481 | T=125882 | NewBest=412476 | Δ=2261 | ImproveTotal=14
[IMPROVE] Iter=550 | T=125128 | NewBest=411535 | Δ=3198 | ImproveTotal=15
[IMPROVE] Iter=578 | T=124753 | NewBest=405110 | Δ=6554 | ImproveTotal=16
[IMPROVE] Iter=585 | T=124628 | NewBest=401082 | Δ=4072 | ImproveTotal=17
[IMPROVE] Iter=610 | T=124379 | NewBest=395367 | Δ=6243 | ImproveTotal=18
[IMPROVE] Iter=634 | T=124006 | NewBest=389945 | Δ=5513 | ImproveTotal=19
[IMPROVE] Iter=635 | T=124006 | NewBest=389865 | Δ=80 | ImproveTotal=20
[IMPROVE] Iter=638 | T=124006 | NewBest=389832 | Δ=37 | ImproveTotal=21
[IMPROVE] Iter=717 | T=123018 | NewBest=388668 | Δ=1788 | ImproveTotal=22
[IMPROVE] Iter=733 | T=122772 | NewBest=383311 | Δ=5398 | ImproveTotal=23
[IMPROVE] Iter=740 | T=122772 | NewBest=383128 | Δ=232 | ImproveTotal=24
[IMPROVE] Iter=742 | T=122649 | NewBest=383090 | Δ=88 | ImproveTotal=25
[IMPROVE] Iter=745 | T=122649 | NewBest=383044 | Δ=61 | ImproveTotal=26
[IMPROVE] Iter=803 | T=121915 | NewBest=382632 | Δ=2920 | ImproveTotal=27
[IMPROVE] Iter=808 | T=121915 | NewBest=382595 | Δ=65 | ImproveTotal=28
[IMPROVE] Iter=821 | T=121671 | NewBest=378716 | Δ=3982 | ImproveTotal=29
[IMPROVE] Iter=828 | T=121671 | NewBest=378613 | Δ=138 | ImproveTotal=30
[IMPROVE] Iter=855 | T=121307 | NewBest=376343 | Δ=2490 | ImproveTotal=31
[IMPROVE] Iter=863 | T=121185 | NewBest=370629 | Δ=14546 | ImproveTotal=32
[IMPROVE] Iter=879 | T=121064 | NewBest=367610 | Δ=3143 | ImproveTotal=33
[IMPROVE] Iter=888 | T=120943 | NewBest=367018 | Δ=815 | ImproveTotal=34
[IMPROVE] Iter=924 | T=120460 | NewBest=365455 | Δ=55219 | ImproveTotal=35
[IMPROVE] Iter=946 | T=120219 | NewBest=361970 | Δ=3700 | ImproveTotal=36
[IMPROVE] Iter=1028 | T=119261 | NewBest=358614 | Δ=4505 | ImproveTotal=37
[IMPROVE] Iter=1029 | T=119261 | NewBest=358399 | Δ=215 | ImproveTotal=38
[IMPROVE] Iter=1081 | T=118547 | NewBest=355298 | Δ=48918 | ImproveTotal=39
[IMPROVE] Iter=1108 | T=118310 | NewBest=352748 | Δ=3027 | ImproveTotal=40
[IMPROVE] Iter=1128 | T=118074 | NewBest=352646 | Δ=114 | ImproveTotal=41
[IMPROVE] Iter=1131 | T=117956 | NewBest=352629 | Δ=17 | ImproveTotal=42
[IMPROVE] Iter=1132 | T=117956 | NewBest=347398 | Δ=5231 | ImproveTotal=43
[IMPROVE] Iter=1136 | T=117956 | NewBest=347372 | Δ=37 | ImproveTotal=44
[IMPROVE] Iter=1137 | T=117956 | NewBest=343556 | Δ=3816 | ImproveTotal=45
[IMPROVE] Iter=1138 | T=117956 | NewBest=343509 | Δ=47 | ImproveTotal=46
[IMPROVE] Iter=1141 | T=117838 | NewBest=343423 | Δ=106 | ImproveTotal=47
[IMPROVE] Iter=1146 | T=117838 | NewBest=343309 | Δ=137 | ImproveTotal=48
[IMPROVE] Iter=1147 | T=117838 | NewBest=343258 | Δ=51 | ImproveTotal=49
[IMPROVE] Iter=1150 | T=117838 | NewBest=343238 | Δ=20 | ImproveTotal=50
[IMPROVE] Iter=1152 | T=117720 | NewBest=343229 | Δ=9 | ImproveTotal=51
[IMPROVE] Iter=1153 | T=117720 | NewBest=343201 | Δ=28 | ImproveTotal=52
[IMPROVE] Iter=1161 | T=117602 | NewBest=341976 | Δ=1307 | ImproveTotal=53
[IMPROVE] Iter=1165 | T=117602 | NewBest=341973 | Δ=7 | ImproveTotal=54
[IMPROVE] Iter=1167 | T=117602 | NewBest=341932 | Δ=41 | ImproveTotal=55
[IMPROVE] Iter=1168 | T=117602 | NewBest=341761 | Δ=171 | ImproveTotal=56
[IMPROVE] Iter=1170 | T=117602 | NewBest=341758 | Δ=3 | ImproveTotal=57
[IMPROVE] Iter=1173 | T=117485 | NewBest=341687 | Δ=71 | ImproveTotal=58
[IMPROVE] Iter=1176 | T=117485 | NewBest=341556 | Δ=131 | ImproveTotal=59
[IMPROVE] Iter=1245 | T=116665 | NewBest=337365 | Δ=53994 | ImproveTotal=60
[IMPROVE] Iter=1246 | T=116665 | NewBest=337364 | Δ=1 | ImproveTotal=61
[IMPROVE] Iter=1249 | T=116665 | NewBest=337359 | Δ=5 | ImproveTotal=62
[IMPROVE] Iter=1258 | T=116548 | NewBest=337335 | Δ=252 | ImproveTotal=63
[IMPROVE] Iter=1259 | T=116548 | NewBest=337254 | Δ=81 | ImproveTotal=64
[IMPROVE] Iter=1260 | T=116548 | NewBest=337238 | Δ=16 | ImproveTotal=65
[IMPROVE] Iter=1306 | T=115966 | NewBest=332753 | Δ=5102 | ImproveTotal=66
[IMPROVE] Iter=1308 | T=115966 | NewBest=327852 | Δ=5156 | ImproveTotal=67
[IMPROVE] Iter=1326 | T=115735 | NewBest=323199 | Δ=57214 | ImproveTotal=68
[IMPROVE] Iter=1386 | T=115042 | NewBest=322226 | Δ=4336 | ImproveTotal=69
[IMPROVE] Iter=1442 | T=114353 | NewBest=320493 | Δ=3411 | ImproveTotal=70
[IMPROVE] Iter=1446 | T=114353 | NewBest=320374 | Δ=119 | ImproveTotal=71
[IMPROVE] Iter=1447 | T=114353 | NewBest=316707 | Δ=3667 | ImproveTotal=72
[IMPROVE] Iter=1460 | T=114239 | NewBest=316429 | Δ=2359 | ImproveTotal=73
[IMPROVE] Iter=1461 | T=114125 | NewBest=316401 | Δ=28 | ImproveTotal=74
[IMPROVE] Iter=1465 | T=114125 | NewBest=316297 | Δ=171 | ImproveTotal=75
[IMPROVE] Iter=1468 | T=114125 | NewBest=315850 | Δ=447 | ImproveTotal=76
[IMPROVE] Iter=1485 | T=113897 | NewBest=313258 | Δ=2871 | ImproveTotal=77
[IMPROVE] Iter=1487 | T=113897 | NewBest=313254 | Δ=4 | ImproveTotal=78
[IMPROVE] Iter=1494 | T=113783 | NewBest=313202 | Δ=126 | ImproveTotal=79
[IMPROVE] Iter=1495 | T=113783 | NewBest=313095 | Δ=107 | ImproveTotal=80
[IMPROVE] Iter=1497 | T=113783 | NewBest=313038 | Δ=106 | ImproveTotal=81
[IMPROVE] Iter=1548 | T=113215 | NewBest=313005 | Δ=66 | ImproveTotal=82
[IMPROVE] Iter=1549 | T=113215 | NewBest=309016 | Δ=3989 | ImproveTotal=83
[IMPROVE] Iter=1610 | T=112537 | NewBest=307150 | Δ=4493 | ImproveTotal=84
