iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=23 | T=131810 | NewBest=451190 | Δ=7024 | ImproveTotal=1
[IMPROVE] Iter=24 | T=131810 | NewBest=451174 | Δ=16 | ImproveTotal=2
[IMPROVE] Iter=40 | T=131679 | NewBest=450362 | Δ=1405 | ImproveTotal=3
[IMPROVE] Iter=58 | T=131415 | NewBest=443805 | Δ=6981 | ImproveTotal=4
[IMPROVE] Iter=59 | T=131415 | NewBest=443743 | Δ=62 | ImproveTotal=5
[IMPROVE] Iter=62 | T=131284 | NewBest=437022 | Δ=6733 | ImproveTotal=6
[IMPROVE] Iter=64 | T=131284 | NewBest=437002 | Δ=20 | ImproveTotal=7
[IMPROVE] Iter=88 | T=131021 | NewBest=434922 | Δ=2626 | ImproveTotal=8
[IMPROVE] Iter=106 | T=130760 | NewBest=433222 | Δ=2164 | ImproveTotal=9
[IMPROVE] Iter=128 | T=130498 | NewBest=432022 | Δ=1534 | ImproveTotal=10
[IMPROVE] Iter=132 | T=130368 | NewBest=427242 | Δ=4780 | ImproveTotal=11
[IMPROVE] Iter=133 | T=130368 | NewBest=427233 | Δ=9 | ImproveTotal=12
[IMPROVE] Iter=134 | T=130368 | NewBest=427232 | Δ=1 | ImproveTotal=13
[IMPROVE] Iter=145 | T=130237 | NewBest=422651 | Δ=5159 | ImproveTotal=14
[IMPROVE] Iter=152 | T=130107 | NewBest=422535 | Δ=116 | ImproveTotal=15
[IMPROVE] Iter=153 | T=130107 | NewBest=422503 | Δ=32 | ImproveTotal=16
[IMPROVE] Iter=159 | T=130107 | NewBest=416086 | Δ=6672 | ImproveTotal=17
[IMPROVE] Iter=161 | T=129977 | NewBest=415984 | Δ=102 | ImproveTotal=18
[IMPROVE] Iter=162 | T=129977 | NewBest=415976 | Δ=8 | ImproveTotal=19
[IMPROVE] Iter=200 | T=129587 | NewBest=410292 | Δ=6505 | ImproveTotal=20
[IMPROVE] Iter=204 | T=129458 | NewBest=410275 | Δ=17 | ImproveTotal=21
[IMPROVE] Iter=208 | T=129458 | NewBest=410193 | Δ=82 | ImproveTotal=22
[IMPROVE] Iter=275 | T=128554 | NewBest=405550 | Δ=5254 | ImproveTotal=23
[IMPROVE] Iter=276 | T=128554 | NewBest=405509 | Δ=41 | ImproveTotal=24
[IMPROVE] Iter=291 | T=128297 | NewBest=405171 | Δ=535 | ImproveTotal=25
[IMPROVE] Iter=301 | T=128169 | NewBest=403975 | Δ=1325 | ImproveTotal=26
[IMPROVE] Iter=303 | T=128169 | NewBest=403946 | Δ=29 | ImproveTotal=27
[IMPROVE] Iter=316 | T=128041 | NewBest=401717 | Δ=2559 | ImproveTotal=28
[IMPROVE] Iter=318 | T=128041 | NewBest=401712 | Δ=5 | ImproveTotal=29
[IMPROVE] Iter=320 | T=128041 | NewBest=396595 | Δ=5117 | ImproveTotal=30
[IMPROVE] Iter=389 | T=127147 | NewBest=391554 | Δ=5983 | ImproveTotal=31
[IMPROVE] Iter=393 | T=127020 | NewBest=391516 | Δ=38 | ImproveTotal=32
[IMPROVE] Iter=516 | T=125504 | NewBest=388487 | Δ=5655 | ImproveTotal=33
[IMPROVE] Iter=518 | T=125504 | NewBest=388425 | Δ=62 | ImproveTotal=34
[IMPROVE] Iter=521 | T=125379 | NewBest=383608 | Δ=4900 | ImproveTotal=35
[IMPROVE] Iter=530 | T=125379 | NewBest=383589 | Δ=35 | ImproveTotal=36
[IMPROVE] Iter=531 | T=125253 | NewBest=383585 | Δ=4 | ImproveTotal=37
[IMPROVE] Iter=534 | T=125253 | NewBest=379257 | Δ=4457 | ImproveTotal=38
