iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=6 | T=47286.6 | NewBest=163281 | Δ=734 | ImproveTotal=1
[IMPROVE] Iter=14 | T=47239.4 | NewBest=161871 | Δ=1728 | ImproveTotal=2
[IMPROVE] Iter=19 | T=47239.4 | NewBest=159777 | Δ=2181 | ImproveTotal=3
[IMPROVE] Iter=20 | T=47239.4 | NewBest=158075 | Δ=1702 | ImproveTotal=4
[IMPROVE] Iter=22 | T=47192.1 | NewBest=154756 | Δ=3338 | ImproveTotal=5
[IMPROVE] Iter=27 | T=47192.1 | NewBest=154475 | Δ=375 | ImproveTotal=6
[IMPROVE] Iter=46 | T=47097.8 | NewBest=152190 | Δ=2530 | ImproveTotal=7
[IMPROVE] Iter=54 | T=47050.7 | NewBest=150404 | Δ=1864 | ImproveTotal=8
[IMPROVE] Iter=68 | T=47003.6 | NewBest=149893 | Δ=947 | ImproveTotal=9
[IMPROVE] Iter=69 | T=47003.6 | NewBest=147547 | Δ=2346 | ImproveTotal=10
[IMPROVE] Iter=80 | T=46956.6 | NewBest=146279 | Δ=11212 | ImproveTotal=11
[IMPROVE] Iter=97 | T=46862.8 | NewBest=145902 | Δ=9756 | ImproveTotal=12
[IMPROVE] Iter=98 | T=46862.8 | NewBest=145870 | Δ=32 | ImproveTotal=13
[IMPROVE] Iter=140 | T=46675.6 | NewBest=145519 | Δ=506 | ImproveTotal=14
[IMPROVE] Iter=168 | T=46535.7 | NewBest=144753 | Δ=1004 | ImproveTotal=15
[IMPROVE] Iter=169 | T=46535.7 | NewBest=144701 | Δ=52 | ImproveTotal=16
[IMPROVE] Iter=181 | T=46442.7 | NewBest=144478 | Δ=459 | ImproveTotal=17
[IMPROVE] Iter=182 | T=46442.7 | NewBest=144409 | Δ=69 | ImproveTotal=18
[IMPROVE] Iter=183 | T=46442.7 | NewBest=144380 | Δ=29 | ImproveTotal=19
[IMPROVE] Iter=184 | T=46442.7 | NewBest=144335 | Δ=45 | ImproveTotal=20
[IMPROVE] Iter=186 | T=46442.7 | NewBest=144334 | Δ=1 | ImproveTotal=21
[IMPROVE] Iter=187 | T=46442.7 | NewBest=144326 | Δ=8 | ImproveTotal=22
[IMPROVE] Iter=194 | T=46396.2 | NewBest=144315 | Δ=87 | ImproveTotal=23
[IMPROVE] Iter=199 | T=46396.2 | NewBest=144287 | Δ=367 | ImproveTotal=24
[IMPROVE] Iter=224 | T=46257.2 | NewBest=144270 | Δ=173 | ImproveTotal=25
[IMPROVE] Iter=229 | T=46257.2 | NewBest=144232 | Δ=116 | ImproveTotal=26
[IMPROVE] Iter=234 | T=46210.9 | NewBest=143477 | Δ=949 | ImproveTotal=27
[IMPROVE] Iter=235 | T=46210.9 | NewBest=143465 | Δ=12 | ImproveTotal=28
[IMPROVE] Iter=236 | T=46210.9 | NewBest=143448 | Δ=17 | ImproveTotal=29
[IMPROVE] Iter=248 | T=46164.7 | NewBest=143038 | Δ=571 | ImproveTotal=30
[IMPROVE] Iter=249 | T=46164.7 | NewBest=140907 | Δ=2131 | ImproveTotal=31
[IMPROVE] Iter=250 | T=46164.7 | NewBest=140880 | Δ=27 | ImproveTotal=32
[IMPROVE] Iter=257 | T=46118.6 | NewBest=138594 | Δ=2313 | ImproveTotal=33
[IMPROVE] Iter=258 | T=46118.6 | NewBest=138538 | Δ=56 | ImproveTotal=34
[IMPROVE] Iter=262 | T=46072.4 | NewBest=138521 | Δ=21 | ImproveTotal=35
[IMPROVE] Iter=280 | T=46026.4 | NewBest=138019 | Δ=2669 | ImproveTotal=36
[IMPROVE] Iter=281 | T=45980.3 | NewBest=138018 | Δ=1 | ImproveTotal=37
[IMPROVE] Iter=388 | T=45522.6 | NewBest=137228 | Δ=1447 | ImproveTotal=38
[IMPROVE] Iter=410 | T=45431.6 | NewBest=136548 | Δ=1085 | ImproveTotal=39
[IMPROVE] Iter=419 | T=45386.2 | NewBest=136497 | Δ=95 | ImproveTotal=40
[IMPROVE] Iter=420 | T=45386.2 | NewBest=136488 | Δ=9 | ImproveTotal=41
[IMPROVE] Iter=431 | T=45295.4 | NewBest=136170 | Δ=452 | ImproveTotal=42
[IMPROVE] Iter=496 | T=45024.3 | NewBest=136155 | Δ=92 | ImproveTotal=43
[IMPROVE] Iter=517 | T=44934.3 | NewBest=135846 | Δ=452 | ImproveTotal=44
[IMPROVE] Iter=522 | T=44889.4 | NewBest=135143 | Δ=826 | ImproveTotal=45
[IMPROVE] Iter=523 | T=44889.4 | NewBest=135116 | Δ=27 | ImproveTotal=46
[IMPROVE] Iter=529 | T=44889.4 | NewBest=135086 | Δ=30 | ImproveTotal=47
[IMPROVE] Iter=532 | T=44844.5 | NewBest=135004 | Δ=107 | ImproveTotal=48
[IMPROVE] Iter=537 | T=44844.5 | NewBest=134964 | Δ=40 | ImproveTotal=49
[IMPROVE] Iter=541 | T=44799.7 | NewBest=133282 | Δ=1703 | ImproveTotal=50
[IMPROVE] Iter=560 | T=44754.9 | NewBest=133196 | Δ=1015 | ImproveTotal=51
[IMPROVE] Iter=587 | T=44620.7 | NewBest=131963 | Δ=2414 | ImproveTotal=52
[IMPROVE] Iter=640 | T=44398.1 | NewBest=129918 | Δ=2225 | ImproveTotal=53
[IMPROVE] Iter=662 | T=44265 | NewBest=128695 | Δ=2188 | ImproveTotal=54
[IMPROVE] Iter=928 | T=43128.4 | NewBest=128640 | Δ=56 | ImproveTotal=55
[IMPROVE] Iter=931 | T=43085.3 | NewBest=128611 | Δ=49 | ImproveTotal=56
[IMPROVE] Iter=933 | T=43085.3 | NewBest=127935 | Δ=676 | ImproveTotal=57
[IMPROVE] Iter=979 | T=42913.2 | NewBest=127934 | Δ=78 | ImproveTotal=58
[IMPROVE] Iter=986 | T=42870.3 | NewBest=127566 | Δ=413 | ImproveTotal=59
[IMPROVE] Iter=1009 | T=42784.6 | NewBest=127012 | Δ=864 | ImproveTotal=60
[IMPROVE] Iter=1022 | T=42699.1 | NewBest=126736 | Δ=392 | ImproveTotal=61
[IMPROVE] Iter=1023 | T=42699.1 | NewBest=126672 | Δ=64 | ImproveTotal=62
[IMPROVE] Iter=1025 | T=42699.1 | NewBest=126646 | Δ=26 | ImproveTotal=63
[IMPROVE] Iter=1028 | T=42699.1 | NewBest=126025 | Δ=621 | ImproveTotal=64
