iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=10 | T=132074 | NewBest=457238 | Δ=149577 | ImproveTotal=1
[IMPROVE] Iter=22 | T=131810 | NewBest=452385 | Δ=4993 | ImproveTotal=2
[IMPROVE] Iter=32 | T=131679 | NewBest=450100 | Δ=23828 | ImproveTotal=3
[IMPROVE] Iter=33 | T=131679 | NewBest=450095 | Δ=5 | ImproveTotal=4
[IMPROVE] Iter=38 | T=131679 | NewBest=449603 | Δ=299995 | ImproveTotal=5
[IMPROVE] Iter=40 | T=131679 | NewBest=449599 | Δ=4 | ImproveTotal=6
[IMPROVE] Iter=65 | T=131284 | NewBest=446845 | Δ=10195 | ImproveTotal=7
[IMPROVE] Iter=67 | T=131284 | NewBest=438474 | Δ=8371 | ImproveTotal=8
[IMPROVE] Iter=93 | T=130890 | NewBest=436252 | Δ=4180 | ImproveTotal=9
[IMPROVE] Iter=106 | T=130760 | NewBest=433896 | Δ=3157 | ImproveTotal=10
[IMPROVE] Iter=112 | T=130629 | NewBest=433883 | Δ=122 | ImproveTotal=11
[IMPROVE] Iter=115 | T=130629 | NewBest=431575 | Δ=2356 | ImproveTotal=12
[IMPROVE] Iter=123 | T=130498 | NewBest=430282 | Δ=6484 | ImproveTotal=13
[IMPROVE] Iter=124 | T=130498 | NewBest=430275 | Δ=7 | ImproveTotal=14
[IMPROVE] Iter=125 | T=130498 | NewBest=430260 | Δ=15 | ImproveTotal=15
[IMPROVE] Iter=140 | T=130368 | NewBest=429026 | Δ=1558 | ImproveTotal=16
[IMPROVE] Iter=141 | T=130237 | NewBest=428984 | Δ=42 | ImproveTotal=17
[IMPROVE] Iter=146 | T=130237 | NewBest=426762 | Δ=37863 | ImproveTotal=18
[IMPROVE] Iter=160 | T=130107 | NewBest=422155 | Δ=4885 | ImproveTotal=19
[IMPROVE] Iter=162 | T=129977 | NewBest=422149 | Δ=6 | ImproveTotal=20
[IMPROVE] Iter=164 | T=129977 | NewBest=421585 | Δ=564 | ImproveTotal=21
[IMPROVE] Iter=186 | T=129717 | NewBest=415983 | Δ=100776 | ImproveTotal=22
[IMPROVE] Iter=222 | T=129199 | NewBest=414463 | Δ=32767 | ImproveTotal=23
[IMPROVE] Iter=224 | T=129199 | NewBest=414462 | Δ=1 | ImproveTotal=24
[IMPROVE] Iter=227 | T=129199 | NewBest=411509 | Δ=2974 | ImproveTotal=25
[IMPROVE] Iter=229 | T=129199 | NewBest=411490 | Δ=23 | ImproveTotal=26
[IMPROVE] Iter=230 | T=129199 | NewBest=411468 | Δ=22 | ImproveTotal=27
[IMPROVE] Iter=231 | T=129070 | NewBest=411459 | Δ=9 | ImproveTotal=28
[IMPROVE] Iter=233 | T=129070 | NewBest=410827 | Δ=1370 | ImproveTotal=29
[IMPROVE] Iter=238 | T=129070 | NewBest=409933 | Δ=1043 | ImproveTotal=30
[IMPROVE] Iter=241 | T=128941 | NewBest=407137 | Δ=2806 | ImproveTotal=31
[IMPROVE] Iter=242 | T=128941 | NewBest=407060 | Δ=77 | ImproveTotal=32
[IMPROVE] Iter=251 | T=128812 | NewBest=406951 | Δ=144531 | ImproveTotal=33
[IMPROVE] Iter=252 | T=128812 | NewBest=402704 | Δ=4247 | ImproveTotal=34
[IMPROVE] Iter=258 | T=128812 | NewBest=398735 | Δ=70668 | ImproveTotal=35
[IMPROVE] Iter=267 | T=128683 | NewBest=393006 | Δ=25132 | ImproveTotal=36
[IMPROVE] Iter=280 | T=128554 | NewBest=388838 | Δ=4314 | ImproveTotal=37
[IMPROVE] Iter=325 | T=127913 | NewBest=386206 | Δ=83115 | ImproveTotal=38
