iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=19 | T=131942 | NewBest=455710 | Δ=2388 | ImproveTotal=1
[IMPROVE] Iter=20 | T=131942 | NewBest=455707 | Δ=3 | ImproveTotal=2
[IMPROVE] Iter=32 | T=131679 | NewBest=453748 | Δ=2152 | ImproveTotal=3
[IMPROVE] Iter=47 | T=131547 | NewBest=453080 | Δ=979 | ImproveTotal=4
[IMPROVE] Iter=52 | T=131415 | NewBest=450905 | Δ=10561 | ImproveTotal=5
[IMPROVE] Iter=62 | T=131284 | NewBest=447900 | Δ=3418 | ImproveTotal=6
[IMPROVE] Iter=63 | T=131284 | NewBest=447899 | Δ=1 | ImproveTotal=7
[IMPROVE] Iter=65 | T=131284 | NewBest=447879 | Δ=25 | ImproveTotal=8
[IMPROVE] Iter=66 | T=131284 | NewBest=445566 | Δ=2313 | ImproveTotal=9
[IMPROVE] Iter=70 | T=131284 | NewBest=442466 | Δ=3264 | ImproveTotal=10
[IMPROVE] Iter=73 | T=131153 | NewBest=442446 | Δ=30 | ImproveTotal=11
[IMPROVE] Iter=74 | T=131153 | NewBest=436400 | Δ=6046 | ImproveTotal=12
[IMPROVE] Iter=78 | T=131153 | NewBest=430911 | Δ=5644 | ImproveTotal=13
[IMPROVE] Iter=79 | T=131153 | NewBest=430902 | Δ=9 | ImproveTotal=14
[IMPROVE] Iter=80 | T=131153 | NewBest=430870 | Δ=32 | ImproveTotal=15
[IMPROVE] Iter=86 | T=131021 | NewBest=430525 | Δ=593 | ImproveTotal=16
[IMPROVE] Iter=114 | T=130629 | NewBest=423943 | Δ=83168 | ImproveTotal=17
[IMPROVE] Iter=127 | T=130498 | NewBest=418854 | Δ=8409 | ImproveTotal=18
[IMPROVE] Iter=139 | T=130368 | NewBest=417895 | Δ=1111 | ImproveTotal=19
[IMPROVE] Iter=171 | T=129847 | NewBest=413147 | Δ=18604 | ImproveTotal=20
[IMPROVE] Iter=185 | T=129717 | NewBest=410456 | Δ=37799 | ImproveTotal=21
[IMPROVE] Iter=188 | T=129717 | NewBest=410451 | Δ=16 | ImproveTotal=22
[IMPROVE] Iter=189 | T=129717 | NewBest=409585 | Δ=866 | ImproveTotal=23
[IMPROVE] Iter=214 | T=129328 | NewBest=403947 | Δ=35387 | ImproveTotal=24
[IMPROVE] Iter=220 | T=129328 | NewBest=399772 | Δ=4298 | ImproveTotal=25
[IMPROVE] Iter=227 | T=129199 | NewBest=399728 | Δ=30341 | ImproveTotal=26
[IMPROVE] Iter=263 | T=128683 | NewBest=399713 | Δ=1810 | ImproveTotal=27
[IMPROVE] Iter=264 | T=128683 | NewBest=399530 | Δ=183 | ImproveTotal=28
[IMPROVE] Iter=265 | T=128683 | NewBest=399524 | Δ=6 | ImproveTotal=29
[IMPROVE] Iter=355 | T=127530 | NewBest=396443 | Δ=100573 | ImproveTotal=30
[IMPROVE] Iter=356 | T=127530 | NewBest=396370 | Δ=73 | ImproveTotal=31
[IMPROVE] Iter=357 | T=127530 | NewBest=396302 | Δ=68 | ImproveTotal=32
[IMPROVE] Iter=374 | T=127275 | NewBest=395212 | Δ=5358 | ImproveTotal=33
[IMPROVE] Iter=375 | T=127275 | NewBest=395158 | Δ=54 | ImproveTotal=34
[IMPROVE] Iter=413 | T=126766 | NewBest=393163 | Δ=5801 | ImproveTotal=35
[IMPROVE] Iter=425 | T=126639 | NewBest=392616 | Δ=993 | ImproveTotal=36
[IMPROVE] Iter=427 | T=126639 | NewBest=392599 | Δ=65 | ImproveTotal=37
[IMPROVE] Iter=436 | T=126513 | NewBest=392210 | Δ=455 | ImproveTotal=38
[IMPROVE] Iter=439 | T=126513 | NewBest=391401 | Δ=814 | ImproveTotal=39
[IMPROVE] Iter=443 | T=126386 | NewBest=386680 | Δ=4835 | ImproveTotal=40
[IMPROVE] Iter=451 | T=126260 | NewBest=382362 | Δ=4425 | ImproveTotal=41
[IMPROVE] Iter=463 | T=126134 | NewBest=380200 | Δ=5165 | ImproveTotal=42
[IMPROVE] Iter=464 | T=126134 | NewBest=380188 | Δ=12 | ImproveTotal=43
[IMPROVE] Iter=469 | T=126134 | NewBest=376363 | Δ=3897 | ImproveTotal=44
[IMPROVE] Iter=480 | T=126008 | NewBest=376272 | Δ=28805 | ImproveTotal=45
[IMPROVE] Iter=487 | T=125882 | NewBest=376226 | Δ=73 | ImproveTotal=46
[IMPROVE] Iter=488 | T=125882 | NewBest=374814 | Δ=1412 | ImproveTotal=47
[IMPROVE] Iter=489 | T=125882 | NewBest=374779 | Δ=35 | ImproveTotal=48
[IMPROVE] Iter=494 | T=125756 | NewBest=372320 | Δ=9150 | ImproveTotal=49
[IMPROVE] Iter=507 | T=125630 | NewBest=371067 | Δ=1446 | ImproveTotal=50
[IMPROVE] Iter=508 | T=125630 | NewBest=370852 | Δ=215 | ImproveTotal=51
[IMPROVE] Iter=509 | T=125630 | NewBest=370403 | Δ=449 | ImproveTotal=52
[IMPROVE] Iter=535 | T=125253 | NewBest=369760 | Δ=902 | ImproveTotal=53
[IMPROVE] Iter=542 | T=125128 | NewBest=368476 | Δ=7923 | ImproveTotal=54
[IMPROVE] Iter=550 | T=125128 | NewBest=365398 | Δ=3157 | ImproveTotal=55
[IMPROVE] Iter=552 | T=125003 | NewBest=365383 | Δ=104 | ImproveTotal=56
[IMPROVE] Iter=553 | T=125003 | NewBest=363252 | Δ=2131 | ImproveTotal=57
[IMPROVE] Iter=595 | T=124504 | NewBest=360966 | Δ=3066 | ImproveTotal=58
[IMPROVE] Iter=596 | T=124504 | NewBest=360963 | Δ=3 | ImproveTotal=59
[IMPROVE] Iter=597 | T=124504 | NewBest=360884 | Δ=79 | ImproveTotal=60
[IMPROVE] Iter=638 | T=124006 | NewBest=359986 | Δ=1367 | ImproveTotal=61
[IMPROVE] Iter=639 | T=124006 | NewBest=359920 | Δ=66 | ImproveTotal=62
[IMPROVE] Iter=646 | T=123882 | NewBest=359902 | Δ=52 | ImproveTotal=63
[IMPROVE] Iter=659 | T=123759 | NewBest=359448 | Δ=584 | ImproveTotal=64
[IMPROVE] Iter=679 | T=123511 | NewBest=358858 | Δ=23807 | ImproveTotal=65
[IMPROVE] Iter=682 | T=123388 | NewBest=358694 | Δ=115622 | ImproveTotal=66
[IMPROVE] Iter=697 | T=123264 | NewBest=355340 | Δ=25641 | ImproveTotal=67
[IMPROVE] Iter=721 | T=122895 | NewBest=355329 | Δ=181 | ImproveTotal=68
[IMPROVE] Iter=723 | T=122895 | NewBest=355267 | Δ=88 | ImproveTotal=69
[IMPROVE] Iter=724 | T=122895 | NewBest=354759 | Δ=508 | ImproveTotal=70
[IMPROVE] Iter=726 | T=122895 | NewBest=352415 | Δ=2402 | ImproveTotal=71
[IMPROVE] Iter=728 | T=122895 | NewBest=352318 | Δ=127 | ImproveTotal=72
[IMPROVE] Iter=729 | T=122895 | NewBest=352304 | Δ=14 | ImproveTotal=73
[IMPROVE] Iter=732 | T=122772 | NewBest=352273 | Δ=91 | ImproveTotal=74
[IMPROVE] Iter=733 | T=122772 | NewBest=351817 | Δ=456 | ImproveTotal=75
[IMPROVE] Iter=734 | T=122772 | NewBest=351742 | Δ=75 | ImproveTotal=76
[IMPROVE] Iter=737 | T=122772 | NewBest=351688 | Δ=79 | ImproveTotal=77
[IMPROVE] Iter=738 | T=122772 | NewBest=351687 | Δ=1 | ImproveTotal=78
[IMPROVE] Iter=745 | T=122649 | NewBest=349342 | Δ=2524 | ImproveTotal=79
[IMPROVE] Iter=747 | T=122649 | NewBest=349333 | Δ=16 | ImproveTotal=80
[IMPROVE] Iter=748 | T=122649 | NewBest=349301 | Δ=32 | ImproveTotal=81
[IMPROVE] Iter=749 | T=122649 | NewBest=349294 | Δ=7 | ImproveTotal=82
[IMPROVE] Iter=750 | T=122649 | NewBest=349289 | Δ=5 | ImproveTotal=83
[IMPROVE] Iter=751 | T=122527 | NewBest=349212 | Δ=77 | ImproveTotal=84
[IMPROVE] Iter=754 | T=122527 | NewBest=349199 | Δ=27 | ImproveTotal=85
[IMPROVE] Iter=756 | T=122527 | NewBest=349138 | Δ=123 | ImproveTotal=86
[IMPROVE] Iter=761 | T=122404 | NewBest=346664 | Δ=2600 | ImproveTotal=87
[IMPROVE] Iter=764 | T=122404 | NewBest=346618 | Δ=59 | ImproveTotal=88
[IMPROVE] Iter=775 | T=122282 | NewBest=346551 | Δ=125 | ImproveTotal=89
[IMPROVE] Iter=782 | T=122159 | NewBest=346521 | Δ=46 | ImproveTotal=90
[IMPROVE] Iter=783 | T=122159 | NewBest=346508 | Δ=13 | ImproveTotal=91
[IMPROVE] Iter=792 | T=122037 | NewBest=344895 | Δ=1894 | ImproveTotal=92
[IMPROVE] Iter=794 | T=122037 | NewBest=344877 | Δ=18 | ImproveTotal=93
[IMPROVE] Iter=795 | T=122037 | NewBest=344810 | Δ=67 | ImproveTotal=94
[IMPROVE] Iter=796 | T=122037 | NewBest=344745 | Δ=65 | ImproveTotal=95
[IMPROVE] Iter=797 | T=122037 | NewBest=344725 | Δ=20 | ImproveTotal=96
[IMPROVE] Iter=798 | T=122037 | NewBest=344714 | Δ=11 | ImproveTotal=97
[IMPROVE] Iter=799 | T=122037 | NewBest=344711 | Δ=3 | ImproveTotal=98
[IMPROVE] Iter=800 | T=122037 | NewBest=344692 | Δ=19 | ImproveTotal=99
[IMPROVE] Iter=801 | T=121915 | NewBest=342727 | Δ=1965 | ImproveTotal=100
[IMPROVE] Iter=802 | T=121915 | NewBest=342725 | Δ=2 | ImproveTotal=101
[IMPROVE] Iter=804 | T=121915 | NewBest=341437 | Δ=1326 | ImproveTotal=102
[IMPROVE] Iter=805 | T=121915 | NewBest=341411 | Δ=26 | ImproveTotal=103
[IMPROVE] Iter=810 | T=121915 | NewBest=341377 | Δ=70 | ImproveTotal=104
[IMPROVE] Iter=811 | T=121793 | NewBest=341348 | Δ=29 | ImproveTotal=105
[IMPROVE] Iter=812 | T=121793 | NewBest=338004 | Δ=3344 | ImproveTotal=106
[IMPROVE] Iter=813 | T=121793 | NewBest=335622 | Δ=2382 | ImproveTotal=107
[IMPROVE] Iter=836 | T=121550 | NewBest=335358 | Δ=41396 | ImproveTotal=108
[IMPROVE] Iter=838 | T=121550 | NewBest=334675 | Δ=685 | ImproveTotal=109
[IMPROVE] Iter=844 | T=121428 | NewBest=334642 | Δ=123 | ImproveTotal=110
[IMPROVE] Iter=845 | T=121428 | NewBest=334534 | Δ=108 | ImproveTotal=111
[IMPROVE] Iter=859 | T=121307 | NewBest=332576 | Δ=2211 | ImproveTotal=112
[IMPROVE] Iter=860 | T=121307 | NewBest=332196 | Δ=380 | ImproveTotal=113
[IMPROVE] Iter=869 | T=121185 | NewBest=332153 | Δ=45 | ImproveTotal=114
[IMPROVE] Iter=870 | T=121185 | NewBest=332152 | Δ=1 | ImproveTotal=115
[IMPROVE] Iter=871 | T=121064 | NewBest=332150 | Δ=2 | ImproveTotal=116
[IMPROVE] Iter=874 | T=121064 | NewBest=332123 | Δ=43 | ImproveTotal=117
[IMPROVE] Iter=876 | T=121064 | NewBest=332114 | Δ=31 | ImproveTotal=118
[IMPROVE] Iter=913 | T=120581 | NewBest=330026 | Δ=3107 | ImproveTotal=119
[IMPROVE] Iter=915 | T=120581 | NewBest=330022 | Δ=4 | ImproveTotal=120
[IMPROVE] Iter=916 | T=120581 | NewBest=330017 | Δ=5 | ImproveTotal=121
[IMPROVE] Iter=917 | T=120581 | NewBest=327732 | Δ=2285 | ImproveTotal=122
[IMPROVE] Iter=918 | T=120581 | NewBest=327672 | Δ=60 | ImproveTotal=123
[IMPROVE] Iter=919 | T=120581 | NewBest=327636 | Δ=36 | ImproveTotal=124
[IMPROVE] Iter=921 | T=120460 | NewBest=327618 | Δ=18 | ImproveTotal=125
[IMPROVE] Iter=953 | T=120099 | NewBest=326834 | Δ=15627 | ImproveTotal=126
[IMPROVE] Iter=962 | T=119979 | NewBest=326804 | Δ=144 | ImproveTotal=127
[IMPROVE] Iter=963 | T=119979 | NewBest=326742 | Δ=62 | ImproveTotal=128
[IMPROVE] Iter=965 | T=119979 | NewBest=326509 | Δ=289 | ImproveTotal=129
[IMPROVE] Iter=966 | T=119979 | NewBest=326449 | Δ=60 | ImproveTotal=130
[IMPROVE] Iter=967 | T=119979 | NewBest=326300 | Δ=149 | ImproveTotal=131
[IMPROVE] Iter=968 | T=119979 | NewBest=325539 | Δ=761 | ImproveTotal=132
[IMPROVE] Iter=972 | T=119859 | NewBest=323833 | Δ=3787 | ImproveTotal=133
[IMPROVE] Iter=977 | T=119859 | NewBest=320980 | Δ=3589 | ImproveTotal=134
[IMPROVE] Iter=983 | T=119739 | NewBest=320551 | Δ=529 | ImproveTotal=135
[IMPROVE] Iter=998 | T=119620 | NewBest=319040 | Δ=25903 | ImproveTotal=136
[IMPROVE] Iter=1001 | T=119500 | NewBest=318368 | Δ=4626 | ImproveTotal=137
[IMPROVE] Iter=1005 | T=119500 | NewBest=316134 | Δ=2257 | ImproveTotal=138
[IMPROVE] Iter=1010 | T=119500 | NewBest=316051 | Δ=334 | ImproveTotal=139
[IMPROVE] Iter=1012 | T=119380 | NewBest=314424 | Δ=1664 | ImproveTotal=140
[IMPROVE] Iter=1013 | T=119380 | NewBest=314380 | Δ=44 | ImproveTotal=141
[IMPROVE] Iter=1023 | T=119261 | NewBest=314330 | Δ=171 | ImproveTotal=142
[IMPROVE] Iter=1027 | T=119261 | NewBest=313688 | Δ=4426 | ImproveTotal=143
[IMPROVE] Iter=1039 | T=119142 | NewBest=311900 | Δ=2774 | ImproveTotal=144
[IMPROVE] Iter=1040 | T=119142 | NewBest=311776 | Δ=124 | ImproveTotal=145
[IMPROVE] Iter=1043 | T=119023 | NewBest=311680 | Δ=162 | ImproveTotal=146
[IMPROVE] Iter=1078 | T=118666 | NewBest=310673 | Δ=2139 | ImproveTotal=147
[IMPROVE] Iter=1602 | T=112537 | NewBest=309568 | Δ=2442 | ImproveTotal=148
[IMPROVE] Iter=1603 | T=112537 | NewBest=309511 | Δ=57 | ImproveTotal=149
[IMPROVE] Iter=1616 | T=112425 | NewBest=308287 | Δ=4442 | ImproveTotal=150
[IMPROVE] Iter=1619 | T=112425 | NewBest=308276 | Δ=11 | ImproveTotal=151
[IMPROVE] Iter=1620 | T=112425 | NewBest=308158 | Δ=118 | ImproveTotal=152
[IMPROVE] Iter=1627 | T=112312 | NewBest=307283 | Δ=28132 | ImproveTotal=153
[IMPROVE] Iter=1629 | T=112312 | NewBest=307276 | Δ=7 | ImproveTotal=154
[IMPROVE] Iter=1648 | T=112088 | NewBest=306418 | Δ=1270 | ImproveTotal=155
[IMPROVE] Iter=1652 | T=111976 | NewBest=305167 | Δ=1251 | ImproveTotal=156
[IMPROVE] Iter=1656 | T=111976 | NewBest=305131 | Δ=38 | ImproveTotal=157
[IMPROVE] Iter=1691 | T=111529 | NewBest=301263 | Δ=4145 | ImproveTotal=158
[IMPROVE] Iter=1763 | T=110750 | NewBest=299010 | Δ=3846 | ImproveTotal=159
[IMPROVE] Iter=1845 | T=109867 | NewBest=298795 | Δ=948 | ImproveTotal=160
[IMPROVE] Iter=1849 | T=109867 | NewBest=298721 | Δ=74 | ImproveTotal=161
[IMPROVE] Iter=1850 | T=109867 | NewBest=295937 | Δ=2784 | ImproveTotal=162
[IMPROVE] Iter=1852 | T=109757 | NewBest=295877 | Δ=60 | ImproveTotal=163
[IMPROVE] Iter=1853 | T=109757 | NewBest=295852 | Δ=25 | ImproveTotal=164
[IMPROVE] Iter=1854 | T=109757 | NewBest=295836 | Δ=16 | ImproveTotal=165
[IMPROVE] Iter=1863 | T=109648 | NewBest=295827 | Δ=22 | ImproveTotal=166
[IMPROVE] Iter=1878 | T=109538 | NewBest=292663 | Δ=35202 | ImproveTotal=167
[IMPROVE] Iter=1885 | T=109428 | NewBest=290716 | Δ=1999 | ImproveTotal=168
[IMPROVE] Iter=1886 | T=109428 | NewBest=290623 | Δ=93 | ImproveTotal=169
[IMPROVE] Iter=2011 | T=108014 | NewBest=290463 | Δ=2531 | ImproveTotal=170
[IMPROVE] Iter=2044 | T=107691 | NewBest=287264 | Δ=3547 | ImproveTotal=171
[IMPROVE] Iter=2047 | T=107691 | NewBest=287252 | Δ=12 | ImproveTotal=172
[IMPROVE] Iter=2055 | T=107583 | NewBest=287249 | Δ=3 | ImproveTotal=173
[IMPROVE] Iter=2093 | T=107153 | NewBest=287245 | Δ=12946 | ImproveTotal=174
[IMPROVE] Iter=2135 | T=106725 | NewBest=286996 | Δ=366 | ImproveTotal=175
[IMPROVE] Iter=2138 | T=106725 | NewBest=286915 | Δ=81 | ImproveTotal=176
[IMPROVE] Iter=2148 | T=106619 | NewBest=286907 | Δ=11 | ImproveTotal=177
[IMPROVE] Iter=2203 | T=105981 | NewBest=286575 | Δ=1761 | ImproveTotal=178
[IMPROVE] Iter=2207 | T=105981 | NewBest=286550 | Δ=97 | ImproveTotal=179
[IMPROVE] Iter=2212 | T=105875 | NewBest=286485 | Δ=65 | ImproveTotal=180
[IMPROVE] Iter=2287 | T=105136 | NewBest=286456 | Δ=222 | ImproveTotal=181
[IMPROVE] Iter=2340 | T=104611 | NewBest=284946 | Δ=2595 | ImproveTotal=182
[IMPROVE] Iter=2347 | T=104506 | NewBest=282970 | Δ=2049 | ImproveTotal=183
