iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=7 | T=132074 | NewBest=455656 | Δ=151221 | ImproveTotal=1
[IMPROVE] Iter=19 | T=131942 | NewBest=450968 | Δ=5158 | ImproveTotal=2
[IMPROVE] Iter=21 | T=131810 | NewBest=450965 | Δ=3 | ImproveTotal=3
[IMPROVE] Iter=24 | T=131810 | NewBest=447492 | Δ=3511 | ImproveTotal=4
[IMPROVE] Iter=37 | T=131679 | NewBest=442992 | Δ=4690 | ImproveTotal=5
[IMPROVE] Iter=38 | T=131679 | NewBest=442990 | Δ=2 | ImproveTotal=6
[IMPROVE] Iter=43 | T=131547 | NewBest=440580 | Δ=2491 | ImproveTotal=7
[IMPROVE] Iter=60 | T=131415 | NewBest=436983 | Δ=4104 | ImproveTotal=8
[IMPROVE] Iter=61 | T=131284 | NewBest=436970 | Δ=13 | ImproveTotal=9
[IMPROVE] Iter=70 | T=131284 | NewBest=432385 | Δ=4724 | ImproveTotal=10
[IMPROVE] Iter=71 | T=131153 | NewBest=430422 | Δ=1963 | ImproveTotal=11
[IMPROVE] Iter=123 | T=130498 | NewBest=429823 | Δ=870 | ImproveTotal=12
[IMPROVE] Iter=125 | T=130498 | NewBest=425321 | Δ=4505 | ImproveTotal=13
[IMPROVE] Iter=160 | T=130107 | NewBest=419342 | Δ=6570 | ImproveTotal=14
[IMPROVE] Iter=171 | T=129847 | NewBest=416239 | Δ=3488 | ImproveTotal=15
[IMPROVE] Iter=174 | T=129847 | NewBest=411492 | Δ=4882 | ImproveTotal=16
[IMPROVE] Iter=222 | T=129199 | NewBest=408766 | Δ=5601 | ImproveTotal=17
[IMPROVE] Iter=242 | T=128941 | NewBest=404252 | Δ=4683 | ImproveTotal=18
[IMPROVE] Iter=243 | T=128941 | NewBest=403446 | Δ=806 | ImproveTotal=19
[IMPROVE] Iter=244 | T=128941 | NewBest=403443 | Δ=3 | ImproveTotal=20
[IMPROVE] Iter=303 | T=128169 | NewBest=400529 | Δ=3556 | ImproveTotal=21
[IMPROVE] Iter=304 | T=128169 | NewBest=400510 | Δ=19 | ImproveTotal=22
[IMPROVE] Iter=307 | T=128169 | NewBest=400424 | Δ=88 | ImproveTotal=23
[IMPROVE] Iter=309 | T=128169 | NewBest=394424 | Δ=6026 | ImproveTotal=24
[IMPROVE] Iter=312 | T=128041 | NewBest=394350 | Δ=108 | ImproveTotal=25
[IMPROVE] Iter=323 | T=127913 | NewBest=394112 | Δ=338 | ImproveTotal=26
[IMPROVE] Iter=365 | T=127402 | NewBest=392738 | Δ=6180 | ImproveTotal=27
[IMPROVE] Iter=369 | T=127402 | NewBest=392692 | Δ=68 | ImproveTotal=28
[IMPROVE] Iter=373 | T=127275 | NewBest=392685 | Δ=73 | ImproveTotal=29
[IMPROVE] Iter=374 | T=127275 | NewBest=392569 | Δ=116 | ImproveTotal=30
[IMPROVE] Iter=379 | T=127275 | NewBest=389160 | Δ=3469 | ImproveTotal=31
[IMPROVE] Iter=387 | T=127147 | NewBest=387468 | Δ=1830 | ImproveTotal=32
[IMPROVE] Iter=390 | T=127147 | NewBest=387460 | Δ=42 | ImproveTotal=33
[IMPROVE] Iter=393 | T=127020 | NewBest=383570 | Δ=3938 | ImproveTotal=34
[IMPROVE] Iter=396 | T=127020 | NewBest=381527 | Δ=2064 | ImproveTotal=35
[IMPROVE] Iter=397 | T=127020 | NewBest=381503 | Δ=24 | ImproveTotal=36
[IMPROVE] Iter=399 | T=127020 | NewBest=377835 | Δ=3668 | ImproveTotal=37
[IMPROVE] Iter=407 | T=126893 | NewBest=376968 | Δ=1069 | ImproveTotal=38
[IMPROVE] Iter=408 | T=126893 | NewBest=376919 | Δ=49 | ImproveTotal=39
[IMPROVE] Iter=411 | T=126766 | NewBest=376915 | Δ=11 | ImproveTotal=40
[IMPROVE] Iter=420 | T=126766 | NewBest=373354 | Δ=3673 | ImproveTotal=41
[IMPROVE] Iter=421 | T=126639 | NewBest=373333 | Δ=21 | ImproveTotal=42
[IMPROVE] Iter=438 | T=126513 | NewBest=371664 | Δ=1858 | ImproveTotal=43
[IMPROVE] Iter=439 | T=126513 | NewBest=371619 | Δ=45 | ImproveTotal=44
[IMPROVE] Iter=440 | T=126513 | NewBest=371616 | Δ=3 | ImproveTotal=45
[IMPROVE] Iter=465 | T=126134 | NewBest=369155 | Δ=5177 | ImproveTotal=46
[IMPROVE] Iter=466 | T=126134 | NewBest=369112 | Δ=43 | ImproveTotal=47
[IMPROVE] Iter=468 | T=126134 | NewBest=365999 | Δ=3135 | ImproveTotal=48
[IMPROVE] Iter=469 | T=126134 | NewBest=361757 | Δ=4242 | ImproveTotal=49
[IMPROVE] Iter=471 | T=126008 | NewBest=360935 | Δ=11281 | ImproveTotal=50
[IMPROVE] Iter=473 | T=126008 | NewBest=360934 | Δ=1 | ImproveTotal=51
[IMPROVE] Iter=480 | T=126008 | NewBest=356173 | Δ=4916 | ImproveTotal=52
[IMPROVE] Iter=481 | T=125882 | NewBest=356147 | Δ=26 | ImproveTotal=53
[IMPROVE] Iter=485 | T=125882 | NewBest=356145 | Δ=26 | ImproveTotal=54
[IMPROVE] Iter=486 | T=125882 | NewBest=356074 | Δ=71 | ImproveTotal=55
[IMPROVE] Iter=487 | T=125882 | NewBest=350659 | Δ=5415 | ImproveTotal=56
[IMPROVE] Iter=490 | T=125882 | NewBest=348614 | Δ=2171 | ImproveTotal=57
[IMPROVE] Iter=496 | T=125756 | NewBest=348230 | Δ=456 | ImproveTotal=58
[IMPROVE] Iter=509 | T=125630 | NewBest=347260 | Δ=1205 | ImproveTotal=59
[IMPROVE] Iter=510 | T=125630 | NewBest=347253 | Δ=7 | ImproveTotal=60
[IMPROVE] Iter=511 | T=125504 | NewBest=347215 | Δ=38 | ImproveTotal=61
[IMPROVE] Iter=579 | T=124753 | NewBest=346578 | Δ=3624 | ImproveTotal=62
