iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=121 | T=130498 | NewBest=450926 | Δ=41295 | ImproveTotal=1
[IMPROVE] Iter=128 | T=130498 | NewBest=448434 | Δ=9653 | ImproveTotal=2
[IMPROVE] Iter=172 | T=129847 | NewBest=447881 | Δ=1079 | ImproveTotal=3
[IMPROVE] Iter=261 | T=128683 | NewBest=442678 | Δ=31588 | ImproveTotal=4
[IMPROVE] Iter=269 | T=128683 | NewBest=436477 | Δ=6246 | ImproveTotal=5
[IMPROVE] Iter=271 | T=128554 | NewBest=436467 | Δ=10 | ImproveTotal=6
[IMPROVE] Iter=341 | T=127657 | NewBest=436399 | Δ=940 | ImproveTotal=7
[IMPROVE] Iter=347 | T=127657 | NewBest=432443 | Δ=3979 | ImproveTotal=8
[IMPROVE] Iter=408 | T=126893 | NewBest=425869 | Δ=32862 | ImproveTotal=9
[IMPROVE] Iter=414 | T=126766 | NewBest=422666 | Δ=3286 | ImproveTotal=10
[IMPROVE] Iter=470 | T=126134 | NewBest=422127 | Δ=1207 | ImproveTotal=11
[IMPROVE] Iter=484 | T=125882 | NewBest=418966 | Δ=3516 | ImproveTotal=12
[IMPROVE] Iter=545 | T=125128 | NewBest=417818 | Δ=2670 | ImproveTotal=13
[IMPROVE] Iter=547 | T=125128 | NewBest=414499 | Δ=3350 | ImproveTotal=14
[IMPROVE] Iter=550 | T=125128 | NewBest=414487 | Δ=53 | ImproveTotal=15
[IMPROVE] Iter=571 | T=124753 | NewBest=408247 | Δ=6450 | ImproveTotal=16
[IMPROVE] Iter=573 | T=124753 | NewBest=408169 | Δ=78 | ImproveTotal=17
[IMPROVE] Iter=585 | T=124628 | NewBest=403309 | Δ=5321 | ImproveTotal=18
[IMPROVE] Iter=589 | T=124628 | NewBest=402170 | Δ=1147 | ImproveTotal=19
[IMPROVE] Iter=595 | T=124504 | NewBest=402141 | Δ=55 | ImproveTotal=20
[IMPROVE] Iter=616 | T=124255 | NewBest=396485 | Δ=14023 | ImproveTotal=21
[IMPROVE] Iter=629 | T=124131 | NewBest=394519 | Δ=2208 | ImproveTotal=22
[IMPROVE] Iter=631 | T=124006 | NewBest=394518 | Δ=1 | ImproveTotal=23
[IMPROVE] Iter=649 | T=123882 | NewBest=392527 | Δ=2194 | ImproveTotal=24
[IMPROVE] Iter=652 | T=123759 | NewBest=392477 | Δ=50 | ImproveTotal=25
[IMPROVE] Iter=655 | T=123759 | NewBest=392467 | Δ=71 | ImproveTotal=26
[IMPROVE] Iter=660 | T=123759 | NewBest=387948 | Δ=4519 | ImproveTotal=27
[IMPROVE] Iter=663 | T=123635 | NewBest=387919 | Δ=29 | ImproveTotal=28
[IMPROVE] Iter=718 | T=123018 | NewBest=387758 | Δ=479 | ImproveTotal=29
[IMPROVE] Iter=725 | T=122895 | NewBest=386382 | Δ=1394 | ImproveTotal=30
[IMPROVE] Iter=726 | T=122895 | NewBest=386279 | Δ=103 | ImproveTotal=31
[IMPROVE] Iter=727 | T=122895 | NewBest=386217 | Δ=62 | ImproveTotal=32
[IMPROVE] Iter=730 | T=122895 | NewBest=386046 | Δ=184 | ImproveTotal=33
[IMPROVE] Iter=731 | T=122772 | NewBest=380815 | Δ=5231 | ImproveTotal=34
[IMPROVE] Iter=812 | T=121793 | NewBest=379564 | Δ=28574 | ImproveTotal=35
[IMPROVE] Iter=827 | T=121671 | NewBest=376208 | Δ=89820 | ImproveTotal=36
[IMPROVE] Iter=873 | T=121064 | NewBest=374817 | Δ=2228 | ImproveTotal=37
[IMPROVE] Iter=879 | T=121064 | NewBest=374728 | Δ=167 | ImproveTotal=38
[IMPROVE] Iter=943 | T=120219 | NewBest=374452 | Δ=3020 | ImproveTotal=39
[IMPROVE] Iter=981 | T=119739 | NewBest=372144 | Δ=48055 | ImproveTotal=40
[IMPROVE] Iter=982 | T=119739 | NewBest=372057 | Δ=87 | ImproveTotal=41
[IMPROVE] Iter=1020 | T=119380 | NewBest=370647 | Δ=2107 | ImproveTotal=42
[IMPROVE] Iter=1023 | T=119261 | NewBest=370584 | Δ=63 | ImproveTotal=43
[IMPROVE] Iter=1034 | T=119142 | NewBest=370219 | Δ=579 | ImproveTotal=44
[IMPROVE] Iter=1038 | T=119142 | NewBest=369938 | Δ=281 | ImproveTotal=45
[IMPROVE] Iter=1040 | T=119142 | NewBest=369918 | Δ=20 | ImproveTotal=46
[IMPROVE] Iter=1045 | T=119023 | NewBest=369903 | Δ=24 | ImproveTotal=47
[IMPROVE] Iter=1048 | T=119023 | NewBest=364398 | Δ=5505 | ImproveTotal=48
[IMPROVE] Iter=1073 | T=118666 | NewBest=364163 | Δ=1269 | ImproveTotal=49
[IMPROVE] Iter=1075 | T=118666 | NewBest=364043 | Δ=120 | ImproveTotal=50
[IMPROVE] Iter=1084 | T=118547 | NewBest=364014 | Δ=237 | ImproveTotal=51
[IMPROVE] Iter=1090 | T=118547 | NewBest=363978 | Δ=100 | ImproveTotal=52
[IMPROVE] Iter=1150 | T=117838 | NewBest=360287 | Δ=4079 | ImproveTotal=53
[IMPROVE] Iter=1153 | T=117720 | NewBest=360261 | Δ=26 | ImproveTotal=54
[IMPROVE] Iter=1162 | T=117602 | NewBest=357929 | Δ=2357 | ImproveTotal=55
[IMPROVE] Iter=1167 | T=117602 | NewBest=357427 | Δ=540 | ImproveTotal=56
[IMPROVE] Iter=1177 | T=117485 | NewBest=357402 | Δ=53 | ImproveTotal=57
[IMPROVE] Iter=1181 | T=117367 | NewBest=355495 | Δ=1907 | ImproveTotal=58
[IMPROVE] Iter=1185 | T=117367 | NewBest=355405 | Δ=90 | ImproveTotal=59
[IMPROVE] Iter=1187 | T=117367 | NewBest=355391 | Δ=14 | ImproveTotal=60
[IMPROVE] Iter=1207 | T=117132 | NewBest=350945 | Δ=5228 | ImproveTotal=61
[IMPROVE] Iter=1213 | T=117015 | NewBest=350770 | Δ=176 | ImproveTotal=62
[IMPROVE] Iter=1242 | T=116665 | NewBest=346441 | Δ=5131 | ImproveTotal=63
[IMPROVE] Iter=1248 | T=116665 | NewBest=346376 | Δ=361 | ImproveTotal=64
[IMPROVE] Iter=1262 | T=116431 | NewBest=342205 | Δ=248551 | ImproveTotal=65
[IMPROVE] Iter=1269 | T=116431 | NewBest=342092 | Δ=136 | ImproveTotal=66
[IMPROVE] Iter=1272 | T=116315 | NewBest=342091 | Δ=1 | ImproveTotal=67
[IMPROVE] Iter=1280 | T=116315 | NewBest=342028 | Δ=179 | ImproveTotal=68
[IMPROVE] Iter=1283 | T=116199 | NewBest=341989 | Δ=39 | ImproveTotal=69
[IMPROVE] Iter=1284 | T=116199 | NewBest=341787 | Δ=202 | ImproveTotal=70
[IMPROVE] Iter=1331 | T=115619 | NewBest=340027 | Δ=107973 | ImproveTotal=71
[IMPROVE] Iter=1352 | T=115388 | NewBest=339598 | Δ=1014 | ImproveTotal=72
[IMPROVE] Iter=1353 | T=115388 | NewBest=334466 | Δ=5132 | ImproveTotal=73
[IMPROVE] Iter=1356 | T=115388 | NewBest=334448 | Δ=18 | ImproveTotal=74
[IMPROVE] Iter=1369 | T=115272 | NewBest=334339 | Δ=155 | ImproveTotal=75
[IMPROVE] Iter=1371 | T=115157 | NewBest=334140 | Δ=199 | ImproveTotal=76
[IMPROVE] Iter=1437 | T=114468 | NewBest=331390 | Δ=5001 | ImproveTotal=77
[IMPROVE] Iter=1479 | T=114011 | NewBest=326880 | Δ=4518 | ImproveTotal=78
[IMPROVE] Iter=1481 | T=113897 | NewBest=326872 | Δ=8 | ImproveTotal=79
[IMPROVE] Iter=1488 | T=113897 | NewBest=326802 | Δ=149 | ImproveTotal=80
[IMPROVE] Iter=1505 | T=113669 | NewBest=322382 | Δ=4884 | ImproveTotal=81
[IMPROVE] Iter=1506 | T=113669 | NewBest=321662 | Δ=720 | ImproveTotal=82
[IMPROVE] Iter=1507 | T=113669 | NewBest=321640 | Δ=22 | ImproveTotal=83
[IMPROVE] Iter=1557 | T=113102 | NewBest=319787 | Δ=2533 | ImproveTotal=84
[IMPROVE] Iter=1558 | T=113102 | NewBest=319777 | Δ=10 | ImproveTotal=85
[IMPROVE] Iter=1648 | T=112088 | NewBest=315977 | Δ=4707 | ImproveTotal=86
[IMPROVE] Iter=1664 | T=111864 | NewBest=312089 | Δ=4191 | ImproveTotal=87
[IMPROVE] Iter=1954 | T=108665 | NewBest=308676 | Δ=4588 | ImproveTotal=88
[IMPROVE] Iter=1964 | T=108556 | NewBest=308528 | Δ=34581 | ImproveTotal=89
[IMPROVE] Iter=1965 | T=108556 | NewBest=307962 | Δ=566 | ImproveTotal=90
[IMPROVE] Iter=1994 | T=108231 | NewBest=307894 | Δ=192 | ImproveTotal=91
[IMPROVE] Iter=1996 | T=108231 | NewBest=307830 | Δ=64 | ImproveTotal=92
[IMPROVE] Iter=2000 | T=108231 | NewBest=307807 | Δ=43 | ImproveTotal=93
[IMPROVE] Iter=2004 | T=108123 | NewBest=307775 | Δ=32 | ImproveTotal=94
[IMPROVE] Iter=2057 | T=107583 | NewBest=306420 | Δ=2311 | ImproveTotal=95
[IMPROVE] Iter=2068 | T=107475 | NewBest=302932 | Δ=113758 | ImproveTotal=96
[IMPROVE] Iter=2102 | T=107046 | NewBest=302296 | Δ=884 | ImproveTotal=97
[IMPROVE] Iter=2104 | T=107046 | NewBest=302071 | Δ=225 | ImproveTotal=98
[IMPROVE] Iter=2106 | T=107046 | NewBest=301832 | Δ=239 | ImproveTotal=99
[IMPROVE] Iter=2142 | T=106619 | NewBest=299379 | Δ=3354 | ImproveTotal=100
[IMPROVE] Iter=2146 | T=106619 | NewBest=299367 | Δ=12 | ImproveTotal=101
[IMPROVE] Iter=2150 | T=106619 | NewBest=296664 | Δ=2870 | ImproveTotal=102
[IMPROVE] Iter=2344 | T=104506 | NewBest=295837 | Δ=3321 | ImproveTotal=103
[IMPROVE] Iter=2345 | T=104506 | NewBest=295806 | Δ=31 | ImproveTotal=104
[IMPROVE] Iter=2346 | T=104506 | NewBest=291677 | Δ=4129 | ImproveTotal=105
[IMPROVE] Iter=2355 | T=104402 | NewBest=289772 | Δ=186158 | ImproveTotal=106
[IMPROVE] Iter=2433 | T=103570 | NewBest=289747 | Δ=39 | ImproveTotal=107
[IMPROVE] Iter=2434 | T=103570 | NewBest=289745 | Δ=2 | ImproveTotal=108
[IMPROVE] Iter=2439 | T=103570 | NewBest=289153 | Δ=752 | ImproveTotal=109
[IMPROVE] Iter=2450 | T=103466 | NewBest=286734 | Δ=2481 | ImproveTotal=110
[IMPROVE] Iter=2456 | T=103363 | NewBest=284224 | Δ=2616 | ImproveTotal=111
[IMPROVE] Iter=2457 | T=103363 | NewBest=282178 | Δ=2046 | ImproveTotal=112
[IMPROVE] Iter=2478 | T=103156 | NewBest=282169 | Δ=125 | ImproveTotal=113
[IMPROVE] Iter=2482 | T=103053 | NewBest=282102 | Δ=67 | ImproveTotal=114
[IMPROVE] Iter=2495 | T=102950 | NewBest=281381 | Δ=1178 | ImproveTotal=115
[IMPROVE] Iter=2497 | T=102950 | NewBest=279928 | Δ=1453 | ImproveTotal=116
[IMPROVE] Iter=2499 | T=102950 | NewBest=279748 | Δ=180 | ImproveTotal=117
[IMPROVE] Iter=2502 | T=102847 | NewBest=279509 | Δ=435 | ImproveTotal=118
[IMPROVE] Iter=2503 | T=102847 | NewBest=279405 | Δ=104 | ImproveTotal=119
[IMPROVE] Iter=2507 | T=102847 | NewBest=278868 | Δ=604 | ImproveTotal=120
[IMPROVE] Iter=2508 | T=102847 | NewBest=278816 | Δ=52 | ImproveTotal=121
[IMPROVE] Iter=2510 | T=102847 | NewBest=278799 | Δ=17 | ImproveTotal=122
[IMPROVE] Iter=2518 | T=102744 | NewBest=278771 | Δ=200127 | ImproveTotal=123
[IMPROVE] Iter=2986 | T=98024.4 | NewBest=278583 | Δ=319 | ImproveTotal=124
[IMPROVE] Iter=2989 | T=98024.4 | NewBest=278558 | Δ=310 | ImproveTotal=125
[IMPROVE] Iter=2993 | T=97926.4 | NewBest=278479 | Δ=165 | ImproveTotal=126
[IMPROVE] Iter=3269 | T=95316.4 | NewBest=278427 | Δ=244 | ImproveTotal=127
[IMPROVE] Iter=3274 | T=95221.1 | NewBest=278401 | Δ=182 | ImproveTotal=128
[IMPROVE] Iter=3277 | T=95221.1 | NewBest=275957 | Δ=2444 | ImproveTotal=129
[IMPROVE] Iter=3395 | T=94084.7 | NewBest=275927 | Δ=7909 | ImproveTotal=130
[IMPROVE] Iter=3399 | T=94084.7 | NewBest=275869 | Δ=77 | ImproveTotal=131
[IMPROVE] Iter=3401 | T=93990.6 | NewBest=275712 | Δ=157 | ImproveTotal=132
[IMPROVE] Iter=3430 | T=93802.8 | NewBest=272838 | Δ=3233 | ImproveTotal=133
[IMPROVE] Iter=3437 | T=93709 | NewBest=272807 | Δ=92063 | ImproveTotal=134
[IMPROVE] Iter=3438 | T=93709 | NewBest=272737 | Δ=70 | ImproveTotal=135
[IMPROVE] Iter=3441 | T=93615.3 | NewBest=272408 | Δ=329 | ImproveTotal=136
[IMPROVE] Iter=3476 | T=93334.7 | NewBest=272191 | Δ=1729 | ImproveTotal=137
[IMPROVE] Iter=3490 | T=93241.4 | NewBest=272157 | Δ=49 | ImproveTotal=138
[IMPROVE] Iter=3516 | T=92961.9 | NewBest=272094 | Δ=134 | ImproveTotal=139
[IMPROVE] Iter=3518 | T=92961.9 | NewBest=272066 | Δ=58 | ImproveTotal=140
[IMPROVE] Iter=3524 | T=92868.9 | NewBest=270356 | Δ=1816 | ImproveTotal=141
[IMPROVE] Iter=3543 | T=92683.3 | NewBest=270276 | Δ=176 | ImproveTotal=142
[IMPROVE] Iter=3547 | T=92683.3 | NewBest=270258 | Δ=18 | ImproveTotal=143
[IMPROVE] Iter=3548 | T=92683.3 | NewBest=270057 | Δ=201 | ImproveTotal=144
[IMPROVE] Iter=3556 | T=92590.6 | NewBest=269922 | Δ=169 | ImproveTotal=145
[IMPROVE] Iter=3572 | T=92405.5 | NewBest=269916 | Δ=128 | ImproveTotal=146
[IMPROVE] Iter=3574 | T=92405.5 | NewBest=269910 | Δ=6 | ImproveTotal=147
[IMPROVE] Iter=3575 | T=92405.5 | NewBest=269792 | Δ=118 | ImproveTotal=148
