iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=6 | T=132074 | NewBest=451935 | Δ=5880 | ImproveTotal=1
[IMPROVE] Iter=27 | T=131810 | NewBest=448194 | Δ=53021 | ImproveTotal=2
[IMPROVE] Iter=38 | T=131679 | NewBest=447249 | Δ=1149 | ImproveTotal=3
[IMPROVE] Iter=44 | T=131547 | NewBest=445144 | Δ=2198 | ImproveTotal=4
[IMPROVE] Iter=45 | T=131547 | NewBest=440693 | Δ=4451 | ImproveTotal=5
[IMPROVE] Iter=65 | T=131284 | NewBest=436509 | Δ=4475 | ImproveTotal=6
[IMPROVE] Iter=66 | T=131284 | NewBest=435084 | Δ=1425 | ImproveTotal=7
[IMPROVE] Iter=67 | T=131284 | NewBest=434752 | Δ=332 | ImproveTotal=8
[IMPROVE] Iter=86 | T=131021 | NewBest=430913 | Δ=4035 | ImproveTotal=9
[IMPROVE] Iter=88 | T=131021 | NewBest=430904 | Δ=33 | ImproveTotal=10
[IMPROVE] Iter=98 | T=130890 | NewBest=427562 | Δ=3590 | ImproveTotal=11
[IMPROVE] Iter=105 | T=130760 | NewBest=426746 | Δ=1013 | ImproveTotal=12
[IMPROVE] Iter=111 | T=130629 | NewBest=421024 | Δ=5820 | ImproveTotal=13
[IMPROVE] Iter=152 | T=130107 | NewBest=417151 | Δ=4675 | ImproveTotal=14
[IMPROVE] Iter=153 | T=130107 | NewBest=417103 | Δ=48 | ImproveTotal=15
[IMPROVE] Iter=179 | T=129847 | NewBest=414948 | Δ=5438 | ImproveTotal=16
[IMPROVE] Iter=184 | T=129717 | NewBest=409027 | Δ=5979 | ImproveTotal=17
[IMPROVE] Iter=185 | T=129717 | NewBest=409021 | Δ=6 | ImproveTotal=18
[IMPROVE] Iter=197 | T=129587 | NewBest=404913 | Δ=60390 | ImproveTotal=19
[IMPROVE] Iter=212 | T=129328 | NewBest=402949 | Δ=2133 | ImproveTotal=20
[IMPROVE] Iter=214 | T=129328 | NewBest=402918 | Δ=34 | ImproveTotal=21
[IMPROVE] Iter=232 | T=129070 | NewBest=401790 | Δ=1184 | ImproveTotal=22
[IMPROVE] Iter=275 | T=128554 | NewBest=399194 | Δ=3448 | ImproveTotal=23
[IMPROVE] Iter=276 | T=128554 | NewBest=399183 | Δ=11 | ImproveTotal=24
[IMPROVE] Iter=290 | T=128426 | NewBest=395004 | Δ=172881 | ImproveTotal=25
[IMPROVE] Iter=299 | T=128297 | NewBest=394266 | Δ=62767 | ImproveTotal=26
[IMPROVE] Iter=301 | T=128169 | NewBest=394263 | Δ=3 | ImproveTotal=27
[IMPROVE] Iter=303 | T=128169 | NewBest=391020 | Δ=3243 | ImproveTotal=28
[IMPROVE] Iter=313 | T=128041 | NewBest=390513 | Δ=850 | ImproveTotal=29
[IMPROVE] Iter=314 | T=128041 | NewBest=390423 | Δ=90 | ImproveTotal=30
[IMPROVE] Iter=320 | T=128041 | NewBest=387903 | Δ=3972 | ImproveTotal=31
[IMPROVE] Iter=321 | T=127913 | NewBest=387897 | Δ=6 | ImproveTotal=32
[IMPROVE] Iter=326 | T=127913 | NewBest=387837 | Δ=210 | ImproveTotal=33
[IMPROVE] Iter=328 | T=127913 | NewBest=387041 | Δ=834 | ImproveTotal=34
[IMPROVE] Iter=435 | T=126513 | NewBest=384034 | Δ=4746 | ImproveTotal=35
[IMPROVE] Iter=442 | T=126386 | NewBest=383744 | Δ=5584 | ImproveTotal=36
[IMPROVE] Iter=444 | T=126386 | NewBest=383713 | Δ=44 | ImproveTotal=37
[IMPROVE] Iter=445 | T=126386 | NewBest=379929 | Δ=3784 | ImproveTotal=38
[IMPROVE] Iter=448 | T=126386 | NewBest=377793 | Δ=7552 | ImproveTotal=39
[IMPROVE] Iter=449 | T=126386 | NewBest=377769 | Δ=24 | ImproveTotal=40
[IMPROVE] Iter=453 | T=126260 | NewBest=377421 | Δ=708 | ImproveTotal=41
[IMPROVE] Iter=454 | T=126260 | NewBest=376640 | Δ=781 | ImproveTotal=42
[IMPROVE] Iter=455 | T=126260 | NewBest=370907 | Δ=5733 | ImproveTotal=43
[IMPROVE] Iter=497 | T=125756 | NewBest=368740 | Δ=2725 | ImproveTotal=44
[IMPROVE] Iter=498 | T=125756 | NewBest=367605 | Δ=1135 | ImproveTotal=45
[IMPROVE] Iter=499 | T=125756 | NewBest=367440 | Δ=165 | ImproveTotal=46
[IMPROVE] Iter=500 | T=125756 | NewBest=367024 | Δ=416 | ImproveTotal=47
[IMPROVE] Iter=576 | T=124753 | NewBest=366397 | Δ=178082 | ImproveTotal=48
[IMPROVE] Iter=629 | T=124131 | NewBest=365607 | Δ=1387 | ImproveTotal=49
[IMPROVE] Iter=645 | T=123882 | NewBest=364689 | Δ=1627 | ImproveTotal=50
[IMPROVE] Iter=652 | T=123759 | NewBest=361783 | Δ=62635 | ImproveTotal=51
[IMPROVE] Iter=658 | T=123759 | NewBest=359756 | Δ=4284 | ImproveTotal=52
[IMPROVE] Iter=659 | T=123759 | NewBest=359285 | Δ=471 | ImproveTotal=53
[IMPROVE] Iter=660 | T=123759 | NewBest=359270 | Δ=15 | ImproveTotal=54
[IMPROVE] Iter=671 | T=123511 | NewBest=358699 | Δ=781 | ImproveTotal=55
[IMPROVE] Iter=679 | T=123511 | NewBest=358229 | Δ=621 | ImproveTotal=56
[IMPROVE] Iter=680 | T=123511 | NewBest=358149 | Δ=80 | ImproveTotal=57
[IMPROVE] Iter=681 | T=123388 | NewBest=358125 | Δ=24 | ImproveTotal=58
[IMPROVE] Iter=683 | T=123388 | NewBest=353857 | Δ=4268 | ImproveTotal=59
[IMPROVE] Iter=731 | T=122772 | NewBest=349516 | Δ=4992 | ImproveTotal=60
[IMPROVE] Iter=736 | T=122772 | NewBest=349231 | Δ=2283 | ImproveTotal=61
[IMPROVE] Iter=740 | T=122772 | NewBest=349138 | Δ=121 | ImproveTotal=62
[IMPROVE] Iter=742 | T=122649 | NewBest=349132 | Δ=11 | ImproveTotal=63
[IMPROVE] Iter=752 | T=122527 | NewBest=347569 | Δ=1838 | ImproveTotal=64
[IMPROVE] Iter=755 | T=122527 | NewBest=347387 | Δ=216 | ImproveTotal=65
[IMPROVE] Iter=772 | T=122282 | NewBest=345049 | Δ=24362 | ImproveTotal=66
[IMPROVE] Iter=777 | T=122282 | NewBest=345019 | Δ=42 | ImproveTotal=67
[IMPROVE] Iter=778 | T=122282 | NewBest=344988 | Δ=31 | ImproveTotal=68
[IMPROVE] Iter=779 | T=122282 | NewBest=342647 | Δ=2341 | ImproveTotal=69
[IMPROVE] Iter=785 | T=122159 | NewBest=342540 | Δ=6543 | ImproveTotal=70
[IMPROVE] Iter=786 | T=122159 | NewBest=342506 | Δ=34 | ImproveTotal=71
[IMPROVE] Iter=791 | T=122037 | NewBest=341876 | Δ=112372 | ImproveTotal=72
[IMPROVE] Iter=806 | T=121915 | NewBest=340361 | Δ=1565 | ImproveTotal=73
[IMPROVE] Iter=808 | T=121915 | NewBest=340327 | Δ=34 | ImproveTotal=74
[IMPROVE] Iter=820 | T=121793 | NewBest=340323 | Δ=65 | ImproveTotal=75
[IMPROVE] Iter=822 | T=121671 | NewBest=340302 | Δ=21 | ImproveTotal=76
[IMPROVE] Iter=832 | T=121550 | NewBest=339048 | Δ=31798 | ImproveTotal=77
[IMPROVE] Iter=850 | T=121428 | NewBest=338540 | Δ=1882 | ImproveTotal=78
[IMPROVE] Iter=851 | T=121307 | NewBest=338466 | Δ=74 | ImproveTotal=79
[IMPROVE] Iter=852 | T=121307 | NewBest=338418 | Δ=48 | ImproveTotal=80
[IMPROVE] Iter=853 | T=121307 | NewBest=334880 | Δ=3538 | ImproveTotal=81
[IMPROVE] Iter=866 | T=121185 | NewBest=333454 | Δ=4051 | ImproveTotal=82
[IMPROVE] Iter=867 | T=121185 | NewBest=333451 | Δ=3 | ImproveTotal=83
[IMPROVE] Iter=926 | T=120460 | NewBest=333304 | Δ=2356 | ImproveTotal=84
[IMPROVE] Iter=927 | T=120460 | NewBest=333287 | Δ=17 | ImproveTotal=85
