iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=13 | T=131942 | NewBest=456947 | Δ=3832 | ImproveTotal=1
[IMPROVE] Iter=15 | T=131942 | NewBest=455690 | Δ=1977 | ImproveTotal=2
[IMPROVE] Iter=42 | T=131547 | NewBest=449652 | Δ=394650 | ImproveTotal=3
[IMPROVE] Iter=49 | T=131547 | NewBest=445915 | Δ=3911 | ImproveTotal=4
[IMPROVE] Iter=78 | T=131153 | NewBest=444972 | Δ=210046 | ImproveTotal=5
[IMPROVE] Iter=104 | T=130760 | NewBest=442123 | Δ=102166 | ImproveTotal=6
[IMPROVE] Iter=106 | T=130760 | NewBest=442119 | Δ=5 | ImproveTotal=7
[IMPROVE] Iter=109 | T=130760 | NewBest=437591 | Δ=4590 | ImproveTotal=8
[IMPROVE] Iter=116 | T=130629 | NewBest=433421 | Δ=4297 | ImproveTotal=9
[IMPROVE] Iter=128 | T=130498 | NewBest=431262 | Δ=2391 | ImproveTotal=10
[IMPROVE] Iter=130 | T=130498 | NewBest=425774 | Δ=5528 | ImproveTotal=11
[IMPROVE] Iter=134 | T=130368 | NewBest=425265 | Δ=589 | ImproveTotal=12
[IMPROVE] Iter=152 | T=130107 | NewBest=422007 | Δ=3369 | ImproveTotal=13
[IMPROVE] Iter=154 | T=130107 | NewBest=421422 | Δ=585 | ImproveTotal=14
[IMPROVE] Iter=155 | T=130107 | NewBest=421418 | Δ=4 | ImproveTotal=15
[IMPROVE] Iter=166 | T=129977 | NewBest=417712 | Δ=3929 | ImproveTotal=16
[IMPROVE] Iter=181 | T=129717 | NewBest=415019 | Δ=2966 | ImproveTotal=17
[IMPROVE] Iter=196 | T=129587 | NewBest=412581 | Δ=103572 | ImproveTotal=18
[IMPROVE] Iter=277 | T=128554 | NewBest=410540 | Δ=91027 | ImproveTotal=19
[IMPROVE] Iter=278 | T=128554 | NewBest=410502 | Δ=38 | ImproveTotal=20
[IMPROVE] Iter=281 | T=128426 | NewBest=410487 | Δ=21762 | ImproveTotal=21
[IMPROVE] Iter=291 | T=128297 | NewBest=406446 | Δ=4250 | ImproveTotal=22
[IMPROVE] Iter=306 | T=128169 | NewBest=404779 | Δ=1783 | ImproveTotal=23
[IMPROVE] Iter=316 | T=128041 | NewBest=403797 | Δ=1236 | ImproveTotal=24
[IMPROVE] Iter=321 | T=127913 | NewBest=402310 | Δ=1581 | ImproveTotal=25
[IMPROVE] Iter=322 | T=127913 | NewBest=402286 | Δ=24 | ImproveTotal=26
[IMPROVE] Iter=330 | T=127913 | NewBest=402210 | Δ=3097 | ImproveTotal=27
[IMPROVE] Iter=338 | T=127785 | NewBest=399726 | Δ=102180 | ImproveTotal=28
[IMPROVE] Iter=347 | T=127657 | NewBest=392057 | Δ=25733 | ImproveTotal=29
[IMPROVE] Iter=348 | T=127657 | NewBest=391948 | Δ=109 | ImproveTotal=30
[IMPROVE] Iter=349 | T=127657 | NewBest=391752 | Δ=196 | ImproveTotal=31
[IMPROVE] Iter=375 | T=127275 | NewBest=388142 | Δ=4953 | ImproveTotal=32
[IMPROVE] Iter=376 | T=127275 | NewBest=388138 | Δ=4 | ImproveTotal=33
[IMPROVE] Iter=384 | T=127147 | NewBest=388084 | Δ=12484 | ImproveTotal=34
[IMPROVE] Iter=403 | T=126893 | NewBest=386868 | Δ=1740 | ImproveTotal=35
[IMPROVE] Iter=418 | T=126766 | NewBest=382103 | Δ=46884 | ImproveTotal=36
[IMPROVE] Iter=419 | T=126766 | NewBest=382092 | Δ=11 | ImproveTotal=37
[IMPROVE] Iter=420 | T=126766 | NewBest=382083 | Δ=9 | ImproveTotal=38
[IMPROVE] Iter=430 | T=126639 | NewBest=381969 | Δ=317 | ImproveTotal=39
[IMPROVE] Iter=431 | T=126513 | NewBest=381914 | Δ=55 | ImproveTotal=40
[IMPROVE] Iter=432 | T=126513 | NewBest=381860 | Δ=54 | ImproveTotal=41
[IMPROVE] Iter=478 | T=126008 | NewBest=381415 | Δ=1765 | ImproveTotal=42
[IMPROVE] Iter=480 | T=126008 | NewBest=381386 | Δ=32 | ImproveTotal=43
[IMPROVE] Iter=481 | T=125882 | NewBest=381378 | Δ=8 | ImproveTotal=44
[IMPROVE] Iter=483 | T=125882 | NewBest=381362 | Δ=30 | ImproveTotal=45
[IMPROVE] Iter=504 | T=125630 | NewBest=381116 | Δ=3512 | ImproveTotal=46
[IMPROVE] Iter=505 | T=125630 | NewBest=378720 | Δ=2396 | ImproveTotal=47
[IMPROVE] Iter=507 | T=125630 | NewBest=378372 | Δ=363 | ImproveTotal=48
[IMPROVE] Iter=510 | T=125630 | NewBest=377323 | Δ=1081 | ImproveTotal=49
[IMPROVE] Iter=511 | T=125504 | NewBest=377263 | Δ=60 | ImproveTotal=50
[IMPROVE] Iter=512 | T=125504 | NewBest=377245 | Δ=18 | ImproveTotal=51
[IMPROVE] Iter=522 | T=125379 | NewBest=375572 | Δ=4625 | ImproveTotal=52
[IMPROVE] Iter=526 | T=125379 | NewBest=372297 | Δ=3309 | ImproveTotal=53
[IMPROVE] Iter=533 | T=125253 | NewBest=372252 | Δ=64 | ImproveTotal=54
[IMPROVE] Iter=534 | T=125253 | NewBest=372248 | Δ=4 | ImproveTotal=55
[IMPROVE] Iter=535 | T=125253 | NewBest=372247 | Δ=1 | ImproveTotal=56
[IMPROVE] Iter=538 | T=125253 | NewBest=371631 | Δ=3379 | ImproveTotal=57
[IMPROVE] Iter=545 | T=125128 | NewBest=369579 | Δ=2772 | ImproveTotal=58
[IMPROVE] Iter=546 | T=125128 | NewBest=369560 | Δ=19 | ImproveTotal=59
[IMPROVE] Iter=548 | T=125128 | NewBest=369451 | Δ=182 | ImproveTotal=60
[IMPROVE] Iter=549 | T=125128 | NewBest=369442 | Δ=9 | ImproveTotal=61
[IMPROVE] Iter=551 | T=125003 | NewBest=369429 | Δ=18 | ImproveTotal=62
[IMPROVE] Iter=552 | T=125003 | NewBest=369393 | Δ=36 | ImproveTotal=63
[IMPROVE] Iter=561 | T=124878 | NewBest=368100 | Δ=1698 | ImproveTotal=64
[IMPROVE] Iter=562 | T=124878 | NewBest=368062 | Δ=38 | ImproveTotal=65
[IMPROVE] Iter=570 | T=124878 | NewBest=367792 | Δ=387 | ImproveTotal=66
[IMPROVE] Iter=572 | T=124753 | NewBest=367743 | Δ=61 | ImproveTotal=67
