iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=34 | T=131679 | NewBest=452547 | Δ=5937 | ImproveTotal=1
[IMPROVE] Iter=41 | T=131547 | NewBest=447298 | Δ=96546 | ImproveTotal=2
[IMPROVE] Iter=42 | T=131547 | NewBest=445272 | Δ=2026 | ImproveTotal=3
[IMPROVE] Iter=43 | T=131547 | NewBest=445268 | Δ=4 | ImproveTotal=4
[IMPROVE] Iter=52 | T=131415 | NewBest=443864 | Δ=1631 | ImproveTotal=5
[IMPROVE] Iter=85 | T=131021 | NewBest=440310 | Δ=3626 | ImproveTotal=6
[IMPROVE] Iter=109 | T=130760 | NewBest=436419 | Δ=119991 | ImproveTotal=7
[IMPROVE] Iter=130 | T=130498 | NewBest=434704 | Δ=1954 | ImproveTotal=8
[IMPROVE] Iter=146 | T=130237 | NewBest=432229 | Δ=4721 | ImproveTotal=9
[IMPROVE] Iter=162 | T=129977 | NewBest=425838 | Δ=6600 | ImproveTotal=10
[IMPROVE] Iter=204 | T=129458 | NewBest=420491 | Δ=96433 | ImproveTotal=11
[IMPROVE] Iter=205 | T=129458 | NewBest=417400 | Δ=3091 | ImproveTotal=12
[IMPROVE] Iter=207 | T=129458 | NewBest=417304 | Δ=98 | ImproveTotal=13
[IMPROVE] Iter=218 | T=129328 | NewBest=417302 | Δ=9 | ImproveTotal=14
[IMPROVE] Iter=219 | T=129328 | NewBest=417299 | Δ=3 | ImproveTotal=15
[IMPROVE] Iter=220 | T=129328 | NewBest=414473 | Δ=2826 | ImproveTotal=16
[IMPROVE] Iter=221 | T=129199 | NewBest=414445 | Δ=28 | ImproveTotal=17
[IMPROVE] Iter=257 | T=128812 | NewBest=412549 | Δ=2659 | ImproveTotal=18
[IMPROVE] Iter=259 | T=128812 | NewBest=412546 | Δ=3 | ImproveTotal=19
[IMPROVE] Iter=274 | T=128554 | NewBest=411920 | Δ=701 | ImproveTotal=20
[IMPROVE] Iter=275 | T=128554 | NewBest=411860 | Δ=60 | ImproveTotal=21
[IMPROVE] Iter=277 | T=128554 | NewBest=407745 | Δ=4150 | ImproveTotal=22
[IMPROVE] Iter=279 | T=128554 | NewBest=402524 | Δ=5225 | ImproveTotal=23
[IMPROVE] Iter=285 | T=128426 | NewBest=402487 | Δ=79 | ImproveTotal=24
[IMPROVE] Iter=287 | T=128426 | NewBest=402484 | Δ=3 | ImproveTotal=25
[IMPROVE] Iter=324 | T=127913 | NewBest=402227 | Δ=344 | ImproveTotal=26
[IMPROVE] Iter=325 | T=127913 | NewBest=402225 | Δ=2 | ImproveTotal=27
[IMPROVE] Iter=326 | T=127913 | NewBest=402212 | Δ=13 | ImproveTotal=28
[IMPROVE] Iter=331 | T=127785 | NewBest=402077 | Δ=100981 | ImproveTotal=29
[IMPROVE] Iter=332 | T=127785 | NewBest=402074 | Δ=3 | ImproveTotal=30
[IMPROVE] Iter=343 | T=127657 | NewBest=401167 | Δ=50963 | ImproveTotal=31
[IMPROVE] Iter=345 | T=127657 | NewBest=401147 | Δ=20 | ImproveTotal=32
[IMPROVE] Iter=347 | T=127657 | NewBest=401130 | Δ=17 | ImproveTotal=33
[IMPROVE] Iter=360 | T=127530 | NewBest=399154 | Δ=2488 | ImproveTotal=34
[IMPROVE] Iter=361 | T=127402 | NewBest=399050 | Δ=104 | ImproveTotal=35
[IMPROVE] Iter=362 | T=127402 | NewBest=399045 | Δ=5 | ImproveTotal=36
[IMPROVE] Iter=363 | T=127402 | NewBest=399013 | Δ=32 | ImproveTotal=37
[IMPROVE] Iter=364 | T=127402 | NewBest=398980 | Δ=33 | ImproveTotal=38
[IMPROVE] Iter=371 | T=127275 | NewBest=397861 | Δ=1395 | ImproveTotal=39
[IMPROVE] Iter=372 | T=127275 | NewBest=397846 | Δ=15 | ImproveTotal=40
[IMPROVE] Iter=374 | T=127275 | NewBest=395969 | Δ=2694 | ImproveTotal=41
[IMPROVE] Iter=378 | T=127275 | NewBest=393226 | Δ=2895 | ImproveTotal=42
[IMPROVE] Iter=414 | T=126766 | NewBest=390998 | Δ=23072 | ImproveTotal=43
[IMPROVE] Iter=428 | T=126639 | NewBest=390588 | Δ=1831 | ImproveTotal=44
[IMPROVE] Iter=430 | T=126639 | NewBest=390571 | Δ=2662 | ImproveTotal=45
[IMPROVE] Iter=436 | T=126513 | NewBest=390142 | Δ=472 | ImproveTotal=46
[IMPROVE] Iter=437 | T=126513 | NewBest=384716 | Δ=5426 | ImproveTotal=47
[IMPROVE] Iter=453 | T=126260 | NewBest=375271 | Δ=40629 | ImproveTotal=48
[IMPROVE] Iter=456 | T=126260 | NewBest=371902 | Δ=23151 | ImproveTotal=49
[IMPROVE] Iter=458 | T=126260 | NewBest=371895 | Δ=7 | ImproveTotal=50
[IMPROVE] Iter=467 | T=126134 | NewBest=371791 | Δ=298 | ImproveTotal=51
[IMPROVE] Iter=502 | T=125630 | NewBest=371787 | Δ=2975 | ImproveTotal=52
[IMPROVE] Iter=514 | T=125504 | NewBest=369130 | Δ=14544 | ImproveTotal=53
[IMPROVE] Iter=524 | T=125379 | NewBest=367395 | Δ=12999 | ImproveTotal=54
[IMPROVE] Iter=525 | T=125379 | NewBest=367390 | Δ=5 | ImproveTotal=55
[IMPROVE] Iter=526 | T=125379 | NewBest=367372 | Δ=18 | ImproveTotal=56
[IMPROVE] Iter=527 | T=125379 | NewBest=367355 | Δ=17 | ImproveTotal=57
[IMPROVE] Iter=533 | T=125253 | NewBest=367102 | Δ=178513 | ImproveTotal=58
[IMPROVE] Iter=535 | T=125253 | NewBest=366677 | Δ=34923 | ImproveTotal=59
[IMPROVE] Iter=538 | T=125253 | NewBest=366361 | Δ=2876 | ImproveTotal=60
[IMPROVE] Iter=562 | T=124878 | NewBest=366073 | Δ=996 | ImproveTotal=61
[IMPROVE] Iter=566 | T=124878 | NewBest=364800 | Δ=1417 | ImproveTotal=62
[IMPROVE] Iter=567 | T=124878 | NewBest=364790 | Δ=10 | ImproveTotal=63
[IMPROVE] Iter=568 | T=124878 | NewBest=364730 | Δ=60 | ImproveTotal=64
[IMPROVE] Iter=580 | T=124753 | NewBest=362088 | Δ=3054 | ImproveTotal=65
[IMPROVE] Iter=582 | T=124628 | NewBest=362064 | Δ=24 | ImproveTotal=66
[IMPROVE] Iter=589 | T=124628 | NewBest=361935 | Δ=401 | ImproveTotal=67
[IMPROVE] Iter=590 | T=124628 | NewBest=361921 | Δ=14 | ImproveTotal=68
[IMPROVE] Iter=609 | T=124379 | NewBest=361920 | Δ=97 | ImproveTotal=69
[IMPROVE] Iter=623 | T=124131 | NewBest=361466 | Δ=796 | ImproveTotal=70
[IMPROVE] Iter=626 | T=124131 | NewBest=357273 | Δ=4215 | ImproveTotal=71
[IMPROVE] Iter=639 | T=124006 | NewBest=354134 | Δ=5297 | ImproveTotal=72
