iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=16 | T=47239.4 | NewBest=163131 | Δ=845 | ImproveTotal=1
[IMPROVE] Iter=37 | T=47144.9 | NewBest=162974 | Δ=611 | ImproveTotal=2
[IMPROVE] Iter=53 | T=47050.7 | NewBest=159469 | Δ=3554 | ImproveTotal=3
[IMPROVE] Iter=100 | T=46862.8 | NewBest=158328 | Δ=3264 | ImproveTotal=4
[IMPROVE] Iter=102 | T=46815.9 | NewBest=158324 | Δ=4 | ImproveTotal=5
[IMPROVE] Iter=103 | T=46815.9 | NewBest=155094 | Δ=3230 | ImproveTotal=6
[IMPROVE] Iter=119 | T=46769.1 | NewBest=153660 | Δ=1501 | ImproveTotal=7
[IMPROVE] Iter=120 | T=46769.1 | NewBest=153624 | Δ=36 | ImproveTotal=8
[IMPROVE] Iter=121 | T=46722.3 | NewBest=150532 | Δ=3092 | ImproveTotal=9
[IMPROVE] Iter=164 | T=46535.7 | NewBest=148882 | Δ=2459 | ImproveTotal=10
[IMPROVE] Iter=176 | T=46489.2 | NewBest=147129 | Δ=2007 | ImproveTotal=11
[IMPROVE] Iter=193 | T=46396.2 | NewBest=144410 | Δ=2956 | ImproveTotal=12
[IMPROVE] Iter=196 | T=46396.2 | NewBest=144325 | Δ=89 | ImproveTotal=13
[IMPROVE] Iter=204 | T=46349.8 | NewBest=144315 | Δ=124 | ImproveTotal=14
[IMPROVE] Iter=208 | T=46349.8 | NewBest=144085 | Δ=21918 | ImproveTotal=15
[IMPROVE] Iter=226 | T=46257.2 | NewBest=142385 | Δ=2197 | ImproveTotal=16
[IMPROVE] Iter=227 | T=46257.2 | NewBest=142378 | Δ=7 | ImproveTotal=17
[IMPROVE] Iter=228 | T=46257.2 | NewBest=141296 | Δ=1082 | ImproveTotal=18
[IMPROVE] Iter=232 | T=46210.9 | NewBest=140966 | Δ=423 | ImproveTotal=19
[IMPROVE] Iter=373 | T=45568.2 | NewBest=139062 | Δ=2442 | ImproveTotal=20
[IMPROVE] Iter=410 | T=45431.6 | NewBest=137798 | Δ=1817 | ImproveTotal=21
[IMPROVE] Iter=415 | T=45386.2 | NewBest=137748 | Δ=67 | ImproveTotal=22
[IMPROVE] Iter=445 | T=45250.1 | NewBest=136089 | Δ=2298 | ImproveTotal=23
[IMPROVE] Iter=455 | T=45204.9 | NewBest=135335 | Δ=1172 | ImproveTotal=24
[IMPROVE] Iter=546 | T=44799.7 | NewBest=134859 | Δ=2037 | ImproveTotal=25
[IMPROVE] Iter=555 | T=44754.9 | NewBest=134833 | Δ=51201 | ImproveTotal=26
[IMPROVE] Iter=691 | T=44132.4 | NewBest=134711 | Δ=1054 | ImproveTotal=27
[IMPROVE] Iter=693 | T=44132.4 | NewBest=134650 | Δ=61 | ImproveTotal=28
[IMPROVE] Iter=695 | T=44132.4 | NewBest=134380 | Δ=505 | ImproveTotal=29
[IMPROVE] Iter=696 | T=44132.4 | NewBest=134348 | Δ=32 | ImproveTotal=30
[IMPROVE] Iter=699 | T=44132.4 | NewBest=134325 | Δ=23 | ImproveTotal=31
[IMPROVE] Iter=705 | T=44088.2 | NewBest=134263 | Δ=113 | ImproveTotal=32
[IMPROVE] Iter=728 | T=44000.1 | NewBest=133056 | Δ=1319 | ImproveTotal=33
[IMPROVE] Iter=737 | T=43956.1 | NewBest=132498 | Δ=582 | ImproveTotal=34
[IMPROVE] Iter=762 | T=43824.4 | NewBest=132479 | Δ=22115 | ImproveTotal=35
[IMPROVE] Iter=779 | T=43780.5 | NewBest=132408 | Δ=116 | ImproveTotal=36
[IMPROVE] Iter=784 | T=43736.8 | NewBest=132266 | Δ=147 | ImproveTotal=37
[IMPROVE] Iter=787 | T=43736.8 | NewBest=131798 | Δ=509 | ImproveTotal=38
[IMPROVE] Iter=788 | T=43736.8 | NewBest=131649 | Δ=149 | ImproveTotal=39
[IMPROVE] Iter=827 | T=43562.1 | NewBest=130252 | Δ=1991 | ImproveTotal=40
[IMPROVE] Iter=851 | T=43431.5 | NewBest=129592 | Δ=822 | ImproveTotal=41
[IMPROVE] Iter=864 | T=43388.1 | NewBest=129507 | Δ=255 | ImproveTotal=42
[IMPROVE] Iter=907 | T=43214.8 | NewBest=129111 | Δ=912 | ImproveTotal=43
[IMPROVE] Iter=913 | T=43171.6 | NewBest=129092 | Δ=19 | ImproveTotal=44
[IMPROVE] Iter=919 | T=43171.6 | NewBest=129065 | Δ=27 | ImproveTotal=45
[IMPROVE] Iter=922 | T=43128.4 | NewBest=129053 | Δ=12 | ImproveTotal=46
[IMPROVE] Iter=973 | T=42913.2 | NewBest=128795 | Δ=883 | ImproveTotal=47
[IMPROVE] Iter=976 | T=42913.2 | NewBest=127117 | Δ=1678 | ImproveTotal=48
[IMPROVE] Iter=998 | T=42827.4 | NewBest=125472 | Δ=1952 | ImproveTotal=49
[IMPROVE] Iter=1023 | T=42699.1 | NewBest=124241 | Δ=24269 | ImproveTotal=50
[IMPROVE] Iter=1223 | T=41853.1 | NewBest=123038 | Δ=1369 | ImproveTotal=51
[IMPROVE] Iter=1224 | T=41853.1 | NewBest=122725 | Δ=313 | ImproveTotal=52
[IMPROVE] Iter=1225 | T=41853.1 | NewBest=122686 | Δ=39 | ImproveTotal=53
[IMPROVE] Iter=1232 | T=41811.3 | NewBest=121225 | Δ=1473 | ImproveTotal=54
[IMPROVE] Iter=1241 | T=41769.5 | NewBest=121172 | Δ=94 | ImproveTotal=55
[IMPROVE] Iter=1243 | T=41769.5 | NewBest=121108 | Δ=64 | ImproveTotal=56
[IMPROVE] Iter=1250 | T=41769.5 | NewBest=121041 | Δ=184 | ImproveTotal=57
[IMPROVE] Iter=1252 | T=41727.7 | NewBest=120946 | Δ=95 | ImproveTotal=58
[IMPROVE] Iter=1256 | T=41727.7 | NewBest=120757 | Δ=249 | ImproveTotal=59
[IMPROVE] Iter=1260 | T=41727.7 | NewBest=120667 | Δ=90 | ImproveTotal=60
[IMPROVE] Iter=1261 | T=41686 | NewBest=119278 | Δ=1389 | ImproveTotal=61
[IMPROVE] Iter=1263 | T=41686 | NewBest=119277 | Δ=1 | ImproveTotal=62
[IMPROVE] Iter=1264 | T=41686 | NewBest=119144 | Δ=133 | ImproveTotal=63
[IMPROVE] Iter=1265 | T=41686 | NewBest=118978 | Δ=166 | ImproveTotal=64
[IMPROVE] Iter=1294 | T=41561 | NewBest=118905 | Δ=328 | ImproveTotal=65
[IMPROVE] Iter=1328 | T=41436.5 | NewBest=118756 | Δ=1352 | ImproveTotal=66
[IMPROVE] Iter=1330 | T=41436.5 | NewBest=118639 | Δ=117 | ImproveTotal=67
[IMPROVE] Iter=1338 | T=41395 | NewBest=118582 | Δ=88 | ImproveTotal=68
[IMPROVE] Iter=1339 | T=41395 | NewBest=118576 | Δ=6 | ImproveTotal=69
[IMPROVE] Iter=1340 | T=41395 | NewBest=118413 | Δ=163 | ImproveTotal=70
[IMPROVE] Iter=1341 | T=41353.7 | NewBest=118374 | Δ=39 | ImproveTotal=71
[IMPROVE] Iter=1346 | T=41353.7 | NewBest=118179 | Δ=202 | ImproveTotal=72
[IMPROVE] Iter=1348 | T=41353.7 | NewBest=118177 | Δ=2 | ImproveTotal=73
[IMPROVE] Iter=1349 | T=41353.7 | NewBest=118083 | Δ=94 | ImproveTotal=74
[IMPROVE] Iter=1351 | T=41312.3 | NewBest=118000 | Δ=83 | ImproveTotal=75
[IMPROVE] Iter=1352 | T=41312.3 | NewBest=117962 | Δ=38 | ImproveTotal=76
[IMPROVE] Iter=1357 | T=41312.3 | NewBest=117757 | Δ=205 | ImproveTotal=77
[IMPROVE] Iter=1362 | T=41271 | NewBest=117751 | Δ=21 | ImproveTotal=78
[IMPROVE] Iter=1363 | T=41271 | NewBest=117637 | Δ=114 | ImproveTotal=79
[IMPROVE] Iter=1364 | T=41271 | NewBest=117405 | Δ=232 | ImproveTotal=80
[IMPROVE] Iter=1366 | T=41271 | NewBest=117365 | Δ=40 | ImproveTotal=81
[IMPROVE] Iter=1368 | T=41271 | NewBest=117273 | Δ=92 | ImproveTotal=82
[IMPROVE] Iter=1376 | T=41229.7 | NewBest=117248 | Δ=25 | ImproveTotal=83
[IMPROVE] Iter=1377 | T=41229.7 | NewBest=116923 | Δ=325 | ImproveTotal=84
[IMPROVE] Iter=1380 | T=41229.7 | NewBest=116921 | Δ=2 | ImproveTotal=85
[IMPROVE] Iter=1385 | T=41188.5 | NewBest=116863 | Δ=78 | ImproveTotal=86
[IMPROVE] Iter=1878 | T=39217.9 | NewBest=116800 | Δ=1074 | ImproveTotal=87
