iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=37 | T=47144.9 | NewBest=160574 | Δ=3519 | ImproveTotal=1
[IMPROVE] Iter=173 | T=46489.2 | NewBest=159624 | Δ=3181 | ImproveTotal=2
[IMPROVE] Iter=343 | T=45705.1 | NewBest=159474 | Δ=3381 | ImproveTotal=3
[IMPROVE] Iter=355 | T=45659.4 | NewBest=157975 | Δ=1806 | ImproveTotal=4
[IMPROVE] Iter=356 | T=45659.4 | NewBest=157972 | Δ=3 | ImproveTotal=5
[IMPROVE] Iter=358 | T=45659.4 | NewBest=157947 | Δ=25 | ImproveTotal=6
[IMPROVE] Iter=363 | T=45613.8 | NewBest=155646 | Δ=2304 | ImproveTotal=7
[IMPROVE] Iter=424 | T=45340.8 | NewBest=153334 | Δ=3056 | ImproveTotal=8
[IMPROVE] Iter=427 | T=45340.8 | NewBest=153025 | Δ=309 | ImproveTotal=9
[IMPROVE] Iter=431 | T=45295.4 | NewBest=152991 | Δ=41 | ImproveTotal=10
[IMPROVE] Iter=522 | T=44889.4 | NewBest=152809 | Δ=2285 | ImproveTotal=11
[IMPROVE] Iter=523 | T=44889.4 | NewBest=152756 | Δ=53 | ImproveTotal=12
[IMPROVE] Iter=528 | T=44889.4 | NewBest=152396 | Δ=361 | ImproveTotal=13
[IMPROVE] Iter=531 | T=44844.5 | NewBest=152334 | Δ=62 | ImproveTotal=14
[IMPROVE] Iter=548 | T=44799.7 | NewBest=152260 | Δ=151 | ImproveTotal=15
[IMPROVE] Iter=553 | T=44754.9 | NewBest=152243 | Δ=17 | ImproveTotal=16
[IMPROVE] Iter=608 | T=44531.5 | NewBest=149994 | Δ=14337 | ImproveTotal=17
[IMPROVE] Iter=638 | T=44398.1 | NewBest=148632 | Δ=1880 | ImproveTotal=18
[IMPROVE] Iter=651 | T=44309.3 | NewBest=148578 | Δ=220 | ImproveTotal=19
[IMPROVE] Iter=686 | T=44176.5 | NewBest=148477 | Δ=205 | ImproveTotal=20
[IMPROVE] Iter=694 | T=44132.4 | NewBest=148358 | Δ=225 | ImproveTotal=21
[IMPROVE] Iter=697 | T=44132.4 | NewBest=148303 | Δ=55 | ImproveTotal=22
[IMPROVE] Iter=716 | T=44044.1 | NewBest=147179 | Δ=1196 | ImproveTotal=23
[IMPROVE] Iter=724 | T=44000.1 | NewBest=147102 | Δ=181 | ImproveTotal=24
[IMPROVE] Iter=750 | T=43912.1 | NewBest=145983 | Δ=2697 | ImproveTotal=25
[IMPROVE] Iter=752 | T=43868.2 | NewBest=144843 | Δ=1140 | ImproveTotal=26
[IMPROVE] Iter=753 | T=43868.2 | NewBest=144772 | Δ=71 | ImproveTotal=27
[IMPROVE] Iter=762 | T=43824.4 | NewBest=144480 | Δ=362 | ImproveTotal=28
[IMPROVE] Iter=765 | T=43824.4 | NewBest=144453 | Δ=27 | ImproveTotal=29
[IMPROVE] Iter=767 | T=43824.4 | NewBest=144411 | Δ=42 | ImproveTotal=30
[IMPROVE] Iter=768 | T=43824.4 | NewBest=144410 | Δ=1 | ImproveTotal=31
[IMPROVE] Iter=769 | T=43824.4 | NewBest=144215 | Δ=195 | ImproveTotal=32
[IMPROVE] Iter=774 | T=43780.5 | NewBest=144143 | Δ=167 | ImproveTotal=33
[IMPROVE] Iter=776 | T=43780.5 | NewBest=144091 | Δ=52 | ImproveTotal=34
[IMPROVE] Iter=798 | T=43693 | NewBest=143227 | Δ=917 | ImproveTotal=35
[IMPROVE] Iter=801 | T=43649.3 | NewBest=143219 | Δ=8 | ImproveTotal=36
[IMPROVE] Iter=807 | T=43649.3 | NewBest=142849 | Δ=370 | ImproveTotal=37
[IMPROVE] Iter=808 | T=43649.3 | NewBest=142846 | Δ=3 | ImproveTotal=38
[IMPROVE] Iter=810 | T=43649.3 | NewBest=142840 | Δ=6 | ImproveTotal=39
[IMPROVE] Iter=856 | T=43431.5 | NewBest=141364 | Δ=12633 | ImproveTotal=40
[IMPROVE] Iter=876 | T=43344.7 | NewBest=141302 | Δ=133 | ImproveTotal=41
[IMPROVE] Iter=877 | T=43344.7 | NewBest=141246 | Δ=56 | ImproveTotal=42
[IMPROVE] Iter=901 | T=43214.8 | NewBest=139370 | Δ=2388 | ImproveTotal=43
[IMPROVE] Iter=916 | T=43171.6 | NewBest=139365 | Δ=5 | ImproveTotal=44
[IMPROVE] Iter=926 | T=43128.4 | NewBest=139316 | Δ=49 | ImproveTotal=45
[IMPROVE] Iter=932 | T=43085.3 | NewBest=139145 | Δ=750 | ImproveTotal=46
[IMPROVE] Iter=933 | T=43085.3 | NewBest=139026 | Δ=119 | ImproveTotal=47
[IMPROVE] Iter=937 | T=43085.3 | NewBest=138811 | Δ=276 | ImproveTotal=48
[IMPROVE] Iter=941 | T=43042.2 | NewBest=138771 | Δ=40 | ImproveTotal=49
[IMPROVE] Iter=956 | T=42999.1 | NewBest=138603 | Δ=179 | ImproveTotal=50
[IMPROVE] Iter=1253 | T=41727.7 | NewBest=137957 | Δ=2476 | ImproveTotal=51
[IMPROVE] Iter=1256 | T=41727.7 | NewBest=137942 | Δ=31 | ImproveTotal=52
[IMPROVE] Iter=1257 | T=41727.7 | NewBest=137922 | Δ=20 | ImproveTotal=53
[IMPROVE] Iter=1258 | T=41727.7 | NewBest=137356 | Δ=566 | ImproveTotal=54
[IMPROVE] Iter=1263 | T=41686 | NewBest=137258 | Δ=216 | ImproveTotal=55
[IMPROVE] Iter=1281 | T=41602.6 | NewBest=136830 | Δ=802 | ImproveTotal=56
[IMPROVE] Iter=1282 | T=41602.6 | NewBest=136777 | Δ=53 | ImproveTotal=57
[IMPROVE] Iter=1287 | T=41602.6 | NewBest=136733 | Δ=143 | ImproveTotal=58
[IMPROVE] Iter=1301 | T=41519.5 | NewBest=136502 | Δ=260 | ImproveTotal=59
[IMPROVE] Iter=1302 | T=41519.5 | NewBest=136476 | Δ=26 | ImproveTotal=60
[IMPROVE] Iter=1303 | T=41519.5 | NewBest=136385 | Δ=91 | ImproveTotal=61
[IMPROVE] Iter=1310 | T=41519.5 | NewBest=136311 | Δ=77 | ImproveTotal=62
[IMPROVE] Iter=1313 | T=41478 | NewBest=136184 | Δ=127 | ImproveTotal=63
[IMPROVE] Iter=1327 | T=41436.5 | NewBest=136181 | Δ=111 | ImproveTotal=64
[IMPROVE] Iter=1328 | T=41436.5 | NewBest=136170 | Δ=11 | ImproveTotal=65
[IMPROVE] Iter=1341 | T=41353.7 | NewBest=136013 | Δ=249 | ImproveTotal=66
[IMPROVE] Iter=1379 | T=41229.7 | NewBest=134087 | Δ=2288 | ImproveTotal=67
[IMPROVE] Iter=1389 | T=41188.5 | NewBest=133743 | Δ=374 | ImproveTotal=68
[IMPROVE] Iter=1448 | T=40942 | NewBest=132351 | Δ=1914 | ImproveTotal=69
[IMPROVE] Iter=1459 | T=40901 | NewBest=132296 | Δ=97 | ImproveTotal=70
[IMPROVE] Iter=1461 | T=40860.1 | NewBest=132190 | Δ=106 | ImproveTotal=71
[IMPROVE] Iter=1511 | T=40656.2 | NewBest=131770 | Δ=1410 | ImproveTotal=72
[IMPROVE] Iter=1512 | T=40656.2 | NewBest=131495 | Δ=275 | ImproveTotal=73
[IMPROVE] Iter=1518 | T=40656.2 | NewBest=131435 | Δ=173 | ImproveTotal=74
[IMPROVE] Iter=1520 | T=40656.2 | NewBest=131433 | Δ=2 | ImproveTotal=75
[IMPROVE] Iter=1521 | T=40615.6 | NewBest=131397 | Δ=36 | ImproveTotal=76
[IMPROVE] Iter=1522 | T=40615.6 | NewBest=131345 | Δ=52 | ImproveTotal=77
[IMPROVE] Iter=1523 | T=40615.6 | NewBest=131337 | Δ=8 | ImproveTotal=78
[IMPROVE] Iter=1545 | T=40534.4 | NewBest=130623 | Δ=1200 | ImproveTotal=79
[IMPROVE] Iter=1589 | T=40372.5 | NewBest=130508 | Δ=324 | ImproveTotal=80
[IMPROVE] Iter=1592 | T=40332.1 | NewBest=129900 | Δ=624 | ImproveTotal=81
[IMPROVE] Iter=1593 | T=40332.1 | NewBest=129832 | Δ=68 | ImproveTotal=82
[IMPROVE] Iter=1598 | T=40332.1 | NewBest=129392 | Δ=452 | ImproveTotal=83
[IMPROVE] Iter=1603 | T=40291.8 | NewBest=128895 | Δ=497 | ImproveTotal=84
[IMPROVE] Iter=1613 | T=40251.5 | NewBest=128677 | Δ=260 | ImproveTotal=85
[IMPROVE] Iter=1617 | T=40251.5 | NewBest=128633 | Δ=115 | ImproveTotal=86
[IMPROVE] Iter=1628 | T=40211.2 | NewBest=127894 | Δ=772 | ImproveTotal=87
[IMPROVE] Iter=1629 | T=40211.2 | NewBest=127882 | Δ=12 | ImproveTotal=88
[IMPROVE] Iter=1750 | T=39731.4 | NewBest=127826 | Δ=65 | ImproveTotal=89
[IMPROVE] Iter=1955 | T=38905.3 | NewBest=127267 | Δ=694 | ImproveTotal=90
[IMPROVE] Iter=1956 | T=38905.3 | NewBest=127179 | Δ=88 | ImproveTotal=91
[IMPROVE] Iter=1990 | T=38788.7 | NewBest=127140 | Δ=333 | ImproveTotal=92
[IMPROVE] Iter=2006 | T=38711.2 | NewBest=126235 | Δ=1894 | ImproveTotal=93
[IMPROVE] Iter=2007 | T=38711.2 | NewBest=126214 | Δ=21 | ImproveTotal=94
[IMPROVE] Iter=2010 | T=38711.2 | NewBest=126194 | Δ=20 | ImproveTotal=95
[IMPROVE] Iter=2012 | T=38672.4 | NewBest=126193 | Δ=1 | ImproveTotal=96
[IMPROVE] Iter=2017 | T=38672.4 | NewBest=126179 | Δ=15 | ImproveTotal=97
[IMPROVE] Iter=2022 | T=38633.8 | NewBest=126162 | Δ=105 | ImproveTotal=98
[IMPROVE] Iter=2028 | T=38633.8 | NewBest=126112 | Δ=88 | ImproveTotal=99
[IMPROVE] Iter=2034 | T=38595.1 | NewBest=125692 | Δ=420 | ImproveTotal=100
[IMPROVE] Iter=2035 | T=38595.1 | NewBest=125671 | Δ=21 | ImproveTotal=101
[IMPROVE] Iter=2045 | T=38556.5 | NewBest=125257 | Δ=716 | ImproveTotal=102
