iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=8 | T=47286.6 | NewBest=163486 | Δ=512 | ImproveTotal=1
[IMPROVE] Iter=10 | T=47286.6 | NewBest=162339 | Δ=1147 | ImproveTotal=2
[IMPROVE] Iter=26 | T=47192.1 | NewBest=162315 | Δ=167 | ImproveTotal=3
[IMPROVE] Iter=48 | T=47097.8 | NewBest=162299 | Δ=571 | ImproveTotal=4
[IMPROVE] Iter=51 | T=47050.7 | NewBest=159118 | Δ=3181 | ImproveTotal=5
[IMPROVE] Iter=53 | T=47050.7 | NewBest=159117 | Δ=1 | ImproveTotal=6
[IMPROVE] Iter=85 | T=46909.7 | NewBest=158418 | Δ=869 | ImproveTotal=7
[IMPROVE] Iter=92 | T=46862.8 | NewBest=158406 | Δ=12 | ImproveTotal=8
[IMPROVE] Iter=247 | T=46164.7 | NewBest=156785 | Δ=3340 | ImproveTotal=9
[IMPROVE] Iter=251 | T=46118.6 | NewBest=156782 | Δ=3 | ImproveTotal=10
[IMPROVE] Iter=254 | T=46118.6 | NewBest=156729 | Δ=120 | ImproveTotal=11
[IMPROVE] Iter=257 | T=46118.6 | NewBest=156684 | Δ=45 | ImproveTotal=12
[IMPROVE] Iter=305 | T=45888.4 | NewBest=154538 | Δ=2393 | ImproveTotal=13
[IMPROVE] Iter=339 | T=45750.9 | NewBest=153057 | Δ=2008 | ImproveTotal=14
[IMPROVE] Iter=349 | T=45705.1 | NewBest=151010 | Δ=2317 | ImproveTotal=15
[IMPROVE] Iter=351 | T=45659.4 | NewBest=151002 | Δ=8 | ImproveTotal=16
[IMPROVE] Iter=352 | T=45659.4 | NewBest=150981 | Δ=21 | ImproveTotal=17
[IMPROVE] Iter=357 | T=45659.4 | NewBest=150842 | Δ=201 | ImproveTotal=18
[IMPROVE] Iter=359 | T=45659.4 | NewBest=150795 | Δ=47 | ImproveTotal=19
[IMPROVE] Iter=361 | T=45613.8 | NewBest=150764 | Δ=31 | ImproveTotal=20
[IMPROVE] Iter=401 | T=45431.6 | NewBest=150666 | Δ=261 | ImproveTotal=21
[IMPROVE] Iter=402 | T=45431.6 | NewBest=150641 | Δ=25 | ImproveTotal=22
[IMPROVE] Iter=403 | T=45431.6 | NewBest=150577 | Δ=64 | ImproveTotal=23
[IMPROVE] Iter=405 | T=45431.6 | NewBest=150575 | Δ=2 | ImproveTotal=24
[IMPROVE] Iter=418 | T=45386.2 | NewBest=150570 | Δ=47 | ImproveTotal=25
[IMPROVE] Iter=476 | T=45114.5 | NewBest=148754 | Δ=1826 | ImproveTotal=26
[IMPROVE] Iter=480 | T=45114.5 | NewBest=148713 | Δ=44 | ImproveTotal=27
[IMPROVE] Iter=487 | T=45069.4 | NewBest=148519 | Δ=194 | ImproveTotal=28
[IMPROVE] Iter=558 | T=44754.9 | NewBest=148274 | Δ=500 | ImproveTotal=29
[IMPROVE] Iter=559 | T=44754.9 | NewBest=148192 | Δ=82 | ImproveTotal=30
[IMPROVE] Iter=641 | T=44353.7 | NewBest=147066 | Δ=2330 | ImproveTotal=31
[IMPROVE] Iter=643 | T=44353.7 | NewBest=147049 | Δ=17 | ImproveTotal=32
[IMPROVE] Iter=690 | T=44176.5 | NewBest=145462 | Δ=2788 | ImproveTotal=33
[IMPROVE] Iter=691 | T=44132.4 | NewBest=145452 | Δ=10 | ImproveTotal=34
[IMPROVE] Iter=692 | T=44132.4 | NewBest=145430 | Δ=22 | ImproveTotal=35
[IMPROVE] Iter=694 | T=44132.4 | NewBest=145413 | Δ=17 | ImproveTotal=36
[IMPROVE] Iter=705 | T=44088.2 | NewBest=145380 | Δ=35 | ImproveTotal=37
[IMPROVE] Iter=723 | T=44000.1 | NewBest=144633 | Δ=995 | ImproveTotal=38
[IMPROVE] Iter=738 | T=43956.1 | NewBest=144586 | Δ=47 | ImproveTotal=39
[IMPROVE] Iter=742 | T=43912.1 | NewBest=144383 | Δ=238 | ImproveTotal=40
[IMPROVE] Iter=750 | T=43912.1 | NewBest=144347 | Δ=37 | ImproveTotal=41
[IMPROVE] Iter=751 | T=43868.2 | NewBest=144266 | Δ=81 | ImproveTotal=42
[IMPROVE] Iter=760 | T=43868.2 | NewBest=144165 | Δ=136 | ImproveTotal=43
[IMPROVE] Iter=764 | T=43824.4 | NewBest=144106 | Δ=59 | ImproveTotal=44
[IMPROVE] Iter=769 | T=43824.4 | NewBest=143964 | Δ=144 | ImproveTotal=45
[IMPROVE] Iter=822 | T=43562.1 | NewBest=141883 | Δ=2563 | ImproveTotal=46
[IMPROVE] Iter=823 | T=43562.1 | NewBest=141622 | Δ=261 | ImproveTotal=47
[IMPROVE] Iter=840 | T=43518.5 | NewBest=141401 | Δ=372 | ImproveTotal=48
[IMPROVE] Iter=862 | T=43388.1 | NewBest=140674 | Δ=844 | ImproveTotal=49
[IMPROVE] Iter=863 | T=43388.1 | NewBest=140670 | Δ=4 | ImproveTotal=50
[IMPROVE] Iter=864 | T=43388.1 | NewBest=140130 | Δ=540 | ImproveTotal=51
[IMPROVE] Iter=869 | T=43388.1 | NewBest=140120 | Δ=10 | ImproveTotal=52
[IMPROVE] Iter=900 | T=43258 | NewBest=140103 | Δ=6050 | ImproveTotal=53
[IMPROVE] Iter=901 | T=43214.8 | NewBest=140066 | Δ=37 | ImproveTotal=54
[IMPROVE] Iter=1295 | T=41561 | NewBest=139669 | Δ=6026 | ImproveTotal=55
[IMPROVE] Iter=1297 | T=41561 | NewBest=139658 | Δ=11 | ImproveTotal=56
[IMPROVE] Iter=1306 | T=41519.5 | NewBest=139499 | Δ=265 | ImproveTotal=57
[IMPROVE] Iter=1310 | T=41519.5 | NewBest=139227 | Δ=291 | ImproveTotal=58
[IMPROVE] Iter=1320 | T=41478 | NewBest=139183 | Δ=345 | ImproveTotal=59
[IMPROVE] Iter=1321 | T=41436.5 | NewBest=137384 | Δ=1799 | ImproveTotal=60
[IMPROVE] Iter=1328 | T=41436.5 | NewBest=137329 | Δ=55 | ImproveTotal=61
[IMPROVE] Iter=1329 | T=41436.5 | NewBest=137263 | Δ=66 | ImproveTotal=62
[IMPROVE] Iter=1359 | T=41312.3 | NewBest=136734 | Δ=538 | ImproveTotal=63
