iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=12 | T=154004 | NewBest=533522 | Δ=930 | ImproveTotal=1
[IMPROVE] Iter=48 | T=153542 | NewBest=526370 | Δ=7887 | ImproveTotal=2
[IMPROVE] Iter=56 | T=153388 | NewBest=521857 | Δ=4709 | ImproveTotal=3
[IMPROVE] Iter=63 | T=153235 | NewBest=519617 | Δ=22032 | ImproveTotal=4
[IMPROVE] Iter=78 | T=153082 | NewBest=515787 | Δ=4050 | ImproveTotal=5
[IMPROVE] Iter=107 | T=152623 | NewBest=515637 | Δ=527 | ImproveTotal=6
[IMPROVE] Iter=108 | T=152623 | NewBest=509660 | Δ=5977 | ImproveTotal=7
[IMPROVE] Iter=115 | T=152470 | NewBest=509085 | Δ=624 | ImproveTotal=8
[IMPROVE] Iter=125 | T=152318 | NewBest=504890 | Δ=4469 | ImproveTotal=9
[IMPROVE] Iter=126 | T=152318 | NewBest=504090 | Δ=800 | ImproveTotal=10
[IMPROVE] Iter=140 | T=152166 | NewBest=501431 | Δ=237946 | ImproveTotal=11
[IMPROVE] Iter=143 | T=152013 | NewBest=501364 | Δ=448 | ImproveTotal=12
[IMPROVE] Iter=156 | T=151861 | NewBest=499884 | Δ=64764 | ImproveTotal=13
[IMPROVE] Iter=157 | T=151861 | NewBest=499883 | Δ=1 | ImproveTotal=14
[IMPROVE] Iter=162 | T=151710 | NewBest=499038 | Δ=962 | ImproveTotal=15
[IMPROVE] Iter=163 | T=151710 | NewBest=498986 | Δ=52 | ImproveTotal=16
[IMPROVE] Iter=186 | T=151406 | NewBest=496863 | Δ=2535 | ImproveTotal=17
[IMPROVE] Iter=188 | T=151406 | NewBest=494289 | Δ=2582 | ImproveTotal=18
[IMPROVE] Iter=208 | T=151104 | NewBest=492126 | Δ=2912 | ImproveTotal=19
[IMPROVE] Iter=209 | T=151104 | NewBest=492119 | Δ=7 | ImproveTotal=20
[IMPROVE] Iter=218 | T=150953 | NewBest=491330 | Δ=115196 | ImproveTotal=21
[IMPROVE] Iter=262 | T=150199 | NewBest=490741 | Δ=3460 | ImproveTotal=22
[IMPROVE] Iter=270 | T=150199 | NewBest=490060 | Δ=61171 | ImproveTotal=23
[IMPROVE] Iter=271 | T=150049 | NewBest=488889 | Δ=1171 | ImproveTotal=24
[IMPROVE] Iter=278 | T=150049 | NewBest=481666 | Δ=7350 | ImproveTotal=25
[IMPROVE] Iter=283 | T=149899 | NewBest=479289 | Δ=2491 | ImproveTotal=26
[IMPROVE] Iter=293 | T=149749 | NewBest=479273 | Δ=211 | ImproveTotal=27
[IMPROVE] Iter=317 | T=149450 | NewBest=473458 | Δ=6303 | ImproveTotal=28
[IMPROVE] Iter=320 | T=149450 | NewBest=473430 | Δ=71 | ImproveTotal=29
[IMPROVE] Iter=351 | T=148853 | NewBest=469231 | Δ=4523 | ImproveTotal=30
[IMPROVE] Iter=358 | T=148853 | NewBest=466823 | Δ=2586 | ImproveTotal=31
[IMPROVE] Iter=359 | T=148853 | NewBest=466761 | Δ=62 | ImproveTotal=32
[IMPROVE] Iter=360 | T=148853 | NewBest=466756 | Δ=5 | ImproveTotal=33
[IMPROVE] Iter=371 | T=148555 | NewBest=461407 | Δ=5493 | ImproveTotal=34
[IMPROVE] Iter=382 | T=148407 | NewBest=461328 | Δ=2618 | ImproveTotal=35
[IMPROVE] Iter=387 | T=148407 | NewBest=456237 | Δ=5187 | ImproveTotal=36
[IMPROVE] Iter=388 | T=148407 | NewBest=456231 | Δ=6 | ImproveTotal=37
[IMPROVE] Iter=391 | T=148258 | NewBest=456218 | Δ=14420 | ImproveTotal=38
[IMPROVE] Iter=397 | T=148258 | NewBest=455328 | Δ=1098 | ImproveTotal=39
[IMPROVE] Iter=415 | T=147962 | NewBest=452595 | Δ=2854 | ImproveTotal=40
[IMPROVE] Iter=417 | T=147962 | NewBest=452580 | Δ=15 | ImproveTotal=41
[IMPROVE] Iter=419 | T=147962 | NewBest=452553 | Δ=29 | ImproveTotal=42
[IMPROVE] Iter=427 | T=147814 | NewBest=452547 | Δ=24101 | ImproveTotal=43
[IMPROVE] Iter=434 | T=147666 | NewBest=452535 | Δ=151251 | ImproveTotal=44
[IMPROVE] Iter=446 | T=147519 | NewBest=452340 | Δ=1077 | ImproveTotal=45
[IMPROVE] Iter=466 | T=147224 | NewBest=452282 | Δ=80 | ImproveTotal=46
[IMPROVE] Iter=467 | T=147224 | NewBest=452272 | Δ=10 | ImproveTotal=47
[IMPROVE] Iter=477 | T=147076 | NewBest=451932 | Δ=373 | ImproveTotal=48
[IMPROVE] Iter=495 | T=146782 | NewBest=451919 | Δ=492 | ImproveTotal=49
[IMPROVE] Iter=497 | T=146782 | NewBest=446632 | Δ=5325 | ImproveTotal=50
[IMPROVE] Iter=508 | T=146636 | NewBest=446273 | Δ=501 | ImproveTotal=51
[IMPROVE] Iter=510 | T=146636 | NewBest=446124 | Δ=149 | ImproveTotal=52
[IMPROVE] Iter=511 | T=146489 | NewBest=445360 | Δ=764 | ImproveTotal=53
[IMPROVE] Iter=513 | T=146489 | NewBest=445350 | Δ=79 | ImproveTotal=54
[IMPROVE] Iter=517 | T=146489 | NewBest=442111 | Δ=3346 | ImproveTotal=55
[IMPROVE] Iter=525 | T=146343 | NewBest=441561 | Δ=652 | ImproveTotal=56
[IMPROVE] Iter=526 | T=146343 | NewBest=441554 | Δ=7 | ImproveTotal=57
[IMPROVE] Iter=527 | T=146343 | NewBest=441552 | Δ=2 | ImproveTotal=58
[IMPROVE] Iter=543 | T=146050 | NewBest=441209 | Δ=2041 | ImproveTotal=59
[IMPROVE] Iter=544 | T=146050 | NewBest=441203 | Δ=6 | ImproveTotal=60
[IMPROVE] Iter=547 | T=146050 | NewBest=441149 | Δ=66 | ImproveTotal=61
[IMPROVE] Iter=548 | T=146050 | NewBest=441118 | Δ=31 | ImproveTotal=62
[IMPROVE] Iter=549 | T=146050 | NewBest=441063 | Δ=55 | ImproveTotal=63
[IMPROVE] Iter=550 | T=146050 | NewBest=439249 | Δ=1814 | ImproveTotal=64
[IMPROVE] Iter=575 | T=145612 | NewBest=438140 | Δ=1608 | ImproveTotal=65
