iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=903 | T=43214.8 | NewBest=131463 | Δ=19 | ImproveTotal=65
[IMPROVE] Iter=980 | T=42913.2 | NewBest=131110 | Δ=1372 | ImproveTotal=66
[IMPROVE] Iter=987 | T=42870.3 | NewBest=131073 | Δ=57 | ImproveTotal=67
[IMPROVE] Iter=988 | T=42870.3 | NewBest=130995 | Δ=78 | ImproveTotal=68
[IMPROVE] Iter=1042 | T=42613.7 | NewBest=130939 | Δ=178 | ImproveTotal=69
[IMPROVE] Iter=1061 | T=42528.5 | NewBest=129715 | Δ=1750 | ImproveTotal=70
[IMPROVE] Iter=1063 | T=42528.5 | NewBest=129534 | Δ=181 | ImproveTotal=71
[IMPROVE] Iter=1066 | T=42528.5 | NewBest=129514 | Δ=439 | ImproveTotal=72
[IMPROVE] Iter=1076 | T=42486 | NewBest=129110 | Δ=434 | ImproveTotal=73
[IMPROVE] Iter=1078 | T=42486 | NewBest=129060 | Δ=50 | ImproveTotal=74
[IMPROVE] Iter=1079 | T=42486 | NewBest=129004 | Δ=56 | ImproveTotal=75
[IMPROVE] Iter=1087 | T=42443.5 | NewBest=128980 | Δ=24 | ImproveTotal=76
[IMPROVE] Iter=1158 | T=42147.3 | NewBest=128094 | Δ=1831 | ImproveTotal=77
[IMPROVE] Iter=1160 | T=42147.3 | NewBest=128080 | Δ=14 | ImproveTotal=78
[IMPROVE] Iter=1559 | T=40493.9 | NewBest=127951 | Δ=892 | ImproveTotal=79
[IMPROVE] Iter=1560 | T=40493.9 | NewBest=127938 | Δ=13 | ImproveTotal=80
[IMPROVE] Iter=1561 | T=40453.4 | NewBest=126629 | Δ=1309 | ImproveTotal=81
[IMPROVE] Iter=1564 | T=40453.4 | NewBest=126602 | Δ=40 | ImproveTotal=82
[IMPROVE] Iter=1566 | T=40453.4 | NewBest=126445 | Δ=157 | ImproveTotal=83
[IMPROVE] Iter=1572 | T=40412.9 | NewBest=126423 | Δ=22 | ImproveTotal=84
[IMPROVE] Iter=1590 | T=40372.5 | NewBest=124940 | Δ=1648 | ImproveTotal=85
[IMPROVE] Iter=1592 | T=40332.1 | NewBest=124878 | Δ=62 | ImproveTotal=86
[IMPROVE] Iter=1594 | T=40332.1 | NewBest=124748 | Δ=130 | ImproveTotal=87
[IMPROVE] Iter=1597 | T=40332.1 | NewBest=123211 | Δ=1579 | ImproveTotal=88
[IMPROVE] Iter=1599 | T=40332.1 | NewBest=122755 | Δ=456 | ImproveTotal=89
[IMPROVE] Iter=1609 | T=40291.8 | NewBest=122714 | Δ=142 | ImproveTotal=90
[IMPROVE] Iter=1611 | T=40251.5 | NewBest=122709 | Δ=5 | ImproveTotal=91
[IMPROVE] Iter=1686 | T=39970.6 | NewBest=122605 | Δ=731 | ImproveTotal=92
