iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=56 | T=154081 | NewBest=531815 | Δ=72123 | ImproveTotal=1
[IMPROVE] Iter=68 | T=154065 | NewBest=523895 | Δ=7920 | ImproveTotal=2
[IMPROVE] Iter=152 | T=153927 | NewBest=523208 | Δ=83981 | ImproveTotal=3
[IMPROVE] Iter=214 | T=153834 | NewBest=521950 | Δ=2045 | ImproveTotal=4
[IMPROVE] Iter=215 | T=153834 | NewBest=519578 | Δ=2372 | ImproveTotal=5
[IMPROVE] Iter=249 | T=153788 | NewBest=519185 | Δ=650 | ImproveTotal=6
[IMPROVE] Iter=394 | T=153558 | NewBest=516354 | Δ=20000 | ImproveTotal=7
[IMPROVE] Iter=399 | T=153558 | NewBest=516307 | Δ=100 | ImproveTotal=8
[IMPROVE] Iter=469 | T=153450 | NewBest=511672 | Δ=5382 | ImproveTotal=9
[IMPROVE] Iter=470 | T=153450 | NewBest=511565 | Δ=107 | ImproveTotal=10
[IMPROVE] Iter=522 | T=153358 | NewBest=504127 | Δ=7713 | ImproveTotal=11
[IMPROVE] Iter=562 | T=153297 | NewBest=503139 | Δ=1109 | ImproveTotal=12
[IMPROVE] Iter=566 | T=153297 | NewBest=503129 | Δ=10 | ImproveTotal=13
[IMPROVE] Iter=568 | T=153297 | NewBest=503126 | Δ=10 | ImproveTotal=14
[IMPROVE] Iter=570 | T=153297 | NewBest=503114 | Δ=12 | ImproveTotal=15
[IMPROVE] Iter=577 | T=153281 | NewBest=501726 | Δ=1483 | ImproveTotal=16
[IMPROVE] Iter=579 | T=153281 | NewBest=501706 | Δ=20 | ImproveTotal=17
[IMPROVE] Iter=588 | T=153266 | NewBest=497818 | Δ=3944 | ImproveTotal=18
[IMPROVE] Iter=591 | T=153251 | NewBest=497799 | Δ=19 | ImproveTotal=19
[IMPROVE] Iter=596 | T=153251 | NewBest=497798 | Δ=35 | ImproveTotal=20
[IMPROVE] Iter=640 | T=153190 | NewBest=492999 | Δ=5323 | ImproveTotal=21
[IMPROVE] Iter=683 | T=153113 | NewBest=491027 | Δ=4892 | ImproveTotal=22
[IMPROVE] Iter=692 | T=153098 | NewBest=486909 | Δ=8369 | ImproveTotal=23
[IMPROVE] Iter=693 | T=153098 | NewBest=486906 | Δ=3 | ImproveTotal=24
[IMPROVE] Iter=696 | T=153098 | NewBest=486903 | Δ=6 | ImproveTotal=25
[IMPROVE] Iter=704 | T=153082 | NewBest=486820 | Δ=118 | ImproveTotal=26
[IMPROVE] Iter=709 | T=153082 | NewBest=479750 | Δ=7332 | ImproveTotal=27
[IMPROVE] Iter=724 | T=153052 | NewBest=475653 | Δ=4322 | ImproveTotal=28
[IMPROVE] Iter=993 | T=152639 | NewBest=472865 | Δ=6923 | ImproveTotal=29
[IMPROVE] Iter=994 | T=152639 | NewBest=472853 | Δ=12 | ImproveTotal=30
[IMPROVE] Iter=1004 | T=152624 | NewBest=470641 | Δ=2382 | ImproveTotal=31
[IMPROVE] Iter=1005 | T=152624 | NewBest=468461 | Δ=2180 | ImproveTotal=32
[IMPROVE] Iter=1130 | T=152441 | NewBest=466496 | Δ=2561 | ImproveTotal=33
[IMPROVE] Iter=1132 | T=152425 | NewBest=466442 | Δ=54 | ImproveTotal=34
[IMPROVE] Iter=1136 | T=152425 | NewBest=466430 | Δ=12 | ImproveTotal=35
[IMPROVE] Iter=1146 | T=152410 | NewBest=466404 | Δ=50 | ImproveTotal=36
[IMPROVE] Iter=1148 | T=152410 | NewBest=466234 | Δ=170 | ImproveTotal=37
[IMPROVE] Iter=1151 | T=152395 | NewBest=466198 | Δ=119 | ImproveTotal=38
[IMPROVE] Iter=1155 | T=152395 | NewBest=460139 | Δ=217956 | ImproveTotal=39
[IMPROVE] Iter=1164 | T=152380 | NewBest=457064 | Δ=3147 | ImproveTotal=40
[IMPROVE] Iter=1167 | T=152380 | NewBest=456960 | Δ=104 | ImproveTotal=41
[IMPROVE] Iter=1285 | T=152197 | NewBest=452307 | Δ=6761 | ImproveTotal=42
[IMPROVE] Iter=1287 | T=152197 | NewBest=452275 | Δ=32 | ImproveTotal=43
[IMPROVE] Iter=1288 | T=152197 | NewBest=452138 | Δ=137 | ImproveTotal=44
[IMPROVE] Iter=1291 | T=152182 | NewBest=452092 | Δ=78 | ImproveTotal=45
[IMPROVE] Iter=1358 | T=152090 | NewBest=447687 | Δ=87993 | ImproveTotal=46
[IMPROVE] Iter=1377 | T=152060 | NewBest=444361 | Δ=3478 | ImproveTotal=47
[IMPROVE] Iter=1382 | T=152045 | NewBest=444359 | Δ=2 | ImproveTotal=48
[IMPROVE] Iter=1385 | T=152045 | NewBest=438694 | Δ=5730 | ImproveTotal=49
[IMPROVE] Iter=1390 | T=152045 | NewBest=438174 | Δ=585 | ImproveTotal=50
[IMPROVE] Iter=1394 | T=152030 | NewBest=438135 | Δ=39 | ImproveTotal=51
[IMPROVE] Iter=1469 | T=151923 | NewBest=435271 | Δ=6302 | ImproveTotal=52
[IMPROVE] Iter=1470 | T=151923 | NewBest=435270 | Δ=1 | ImproveTotal=53
[IMPROVE] Iter=1500 | T=151878 | NewBest=431290 | Δ=4086 | ImproveTotal=54
[IMPROVE] Iter=1501 | T=151863 | NewBest=431179 | Δ=111 | ImproveTotal=55
[IMPROVE] Iter=1509 | T=151863 | NewBest=431069 | Δ=133 | ImproveTotal=56
[IMPROVE] Iter=1521 | T=151832 | NewBest=431030 | Δ=60 | ImproveTotal=57
[IMPROVE] Iter=1528 | T=151832 | NewBest=431004 | Δ=128 | ImproveTotal=58
[IMPROVE] Iter=1529 | T=151832 | NewBest=428263 | Δ=2741 | ImproveTotal=59
[IMPROVE] Iter=1532 | T=151817 | NewBest=428235 | Δ=28 | ImproveTotal=60
[IMPROVE] Iter=1593 | T=151726 | NewBest=425961 | Δ=2700 | ImproveTotal=61
[IMPROVE] Iter=1601 | T=151711 | NewBest=425948 | Δ=61 | ImproveTotal=62
[IMPROVE] Iter=1609 | T=151711 | NewBest=423718 | Δ=2447 | ImproveTotal=63
[IMPROVE] Iter=1657 | T=151635 | NewBest=420370 | Δ=3661 | ImproveTotal=64
[IMPROVE] Iter=1673 | T=151605 | NewBest=420272 | Δ=99 | ImproveTotal=65
[IMPROVE] Iter=1674 | T=151605 | NewBest=420191 | Δ=81 | ImproveTotal=66
[IMPROVE] Iter=1677 | T=151605 | NewBest=420171 | Δ=20 | ImproveTotal=67
[IMPROVE] Iter=1678 | T=151605 | NewBest=420167 | Δ=4 | ImproveTotal=68
[IMPROVE] Iter=1684 | T=151589 | NewBest=420010 | Δ=182 | ImproveTotal=69
[IMPROVE] Iter=1689 | T=151589 | NewBest=419959 | Δ=51 | ImproveTotal=70
[IMPROVE] Iter=1702 | T=151559 | NewBest=419954 | Δ=28 | ImproveTotal=71
[IMPROVE] Iter=1712 | T=151544 | NewBest=419679 | Δ=399 | ImproveTotal=72
