iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=136 | T=130368 | NewBest=455268 | Δ=2796 | ImproveTotal=1
[IMPROVE] Iter=139 | T=130368 | NewBest=455130 | Δ=338 | ImproveTotal=2
[IMPROVE] Iter=155 | T=130107 | NewBest=448653 | Δ=6842 | ImproveTotal=3
[IMPROVE] Iter=156 | T=130107 | NewBest=447509 | Δ=1144 | ImproveTotal=4
[IMPROVE] Iter=160 | T=130107 | NewBest=440576 | Δ=6933 | ImproveTotal=5
[IMPROVE] Iter=172 | T=129847 | NewBest=433892 | Δ=6920 | ImproveTotal=6
[IMPROVE] Iter=207 | T=129458 | NewBest=431412 | Δ=2933 | ImproveTotal=7
[IMPROVE] Iter=218 | T=129328 | NewBest=424977 | Δ=6742 | ImproveTotal=8
[IMPROVE] Iter=221 | T=129199 | NewBest=418302 | Δ=6701 | ImproveTotal=9
[IMPROVE] Iter=231 | T=129070 | NewBest=417062 | Δ=1396 | ImproveTotal=10
[IMPROVE] Iter=257 | T=128812 | NewBest=411021 | Δ=6322 | ImproveTotal=11
[IMPROVE] Iter=263 | T=128683 | NewBest=405625 | Δ=5532 | ImproveTotal=12
[IMPROVE] Iter=283 | T=128426 | NewBest=400417 | Δ=5580 | ImproveTotal=13
[IMPROVE] Iter=362 | T=127402 | NewBest=395437 | Δ=101248 | ImproveTotal=14
[IMPROVE] Iter=372 | T=127275 | NewBest=395436 | Δ=1 | ImproveTotal=15
[IMPROVE] Iter=376 | T=127275 | NewBest=395355 | Δ=103 | ImproveTotal=16
[IMPROVE] Iter=422 | T=126639 | NewBest=392401 | Δ=173892 | ImproveTotal=17
[IMPROVE] Iter=698 | T=123264 | NewBest=387285 | Δ=6142 | ImproveTotal=18
[IMPROVE] Iter=700 | T=123264 | NewBest=387267 | Δ=18 | ImproveTotal=19
[IMPROVE] Iter=706 | T=123141 | NewBest=387247 | Δ=37 | ImproveTotal=20
[IMPROVE] Iter=709 | T=123141 | NewBest=386999 | Δ=248 | ImproveTotal=21
[IMPROVE] Iter=710 | T=123141 | NewBest=386981 | Δ=18 | ImproveTotal=22
[IMPROVE] Iter=712 | T=123018 | NewBest=383486 | Δ=3495 | ImproveTotal=23
[IMPROVE] Iter=773 | T=122282 | NewBest=378957 | Δ=5163 | ImproveTotal=24
[IMPROVE] Iter=775 | T=122282 | NewBest=374838 | Δ=4119 | ImproveTotal=25
[IMPROVE] Iter=779 | T=122282 | NewBest=374830 | Δ=8 | ImproveTotal=26
