iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=4 | T=132074 | NewBest=457418 | Δ=931 | ImproveTotal=1
[IMPROVE] Iter=9 | T=132074 | NewBest=456842 | Δ=651 | ImproveTotal=2
[IMPROVE] Iter=30 | T=131810 | NewBest=455214 | Δ=1873 | ImproveTotal=3
[IMPROVE] Iter=52 | T=131415 | NewBest=451554 | Δ=4149 | ImproveTotal=4
[IMPROVE] Iter=66 | T=131284 | NewBest=440122 | Δ=13973 | ImproveTotal=5
[IMPROVE] Iter=79 | T=131153 | NewBest=438021 | Δ=38667 | ImproveTotal=6
[IMPROVE] Iter=82 | T=131021 | NewBest=438012 | Δ=9 | ImproveTotal=7
[IMPROVE] Iter=102 | T=130760 | NewBest=433180 | Δ=8400 | ImproveTotal=8
[IMPROVE] Iter=111 | T=130629 | NewBest=430734 | Δ=31135 | ImproveTotal=9
[IMPROVE] Iter=115 | T=130629 | NewBest=424652 | Δ=6131 | ImproveTotal=10
[IMPROVE] Iter=125 | T=130498 | NewBest=420513 | Δ=4367 | ImproveTotal=11
[IMPROVE] Iter=126 | T=130498 | NewBest=420465 | Δ=48 | ImproveTotal=12
[IMPROVE] Iter=128 | T=130498 | NewBest=420455 | Δ=29 | ImproveTotal=13
[IMPROVE] Iter=137 | T=130368 | NewBest=419843 | Δ=833 | ImproveTotal=14
[IMPROVE] Iter=149 | T=130237 | NewBest=416478 | Δ=3699 | ImproveTotal=15
[IMPROVE] Iter=150 | T=130237 | NewBest=415796 | Δ=682 | ImproveTotal=16
[IMPROVE] Iter=152 | T=130107 | NewBest=415793 | Δ=3 | ImproveTotal=17
[IMPROVE] Iter=153 | T=130107 | NewBest=415785 | Δ=8 | ImproveTotal=18
[IMPROVE] Iter=160 | T=130107 | NewBest=410006 | Δ=5972 | ImproveTotal=19
[IMPROVE] Iter=161 | T=129977 | NewBest=406271 | Δ=3735 | ImproveTotal=20
[IMPROVE] Iter=167 | T=129977 | NewBest=402155 | Δ=4394 | ImproveTotal=21
[IMPROVE] Iter=172 | T=129847 | NewBest=399740 | Δ=5647 | ImproveTotal=22
[IMPROVE] Iter=176 | T=129847 | NewBest=398735 | Δ=1161 | ImproveTotal=23
[IMPROVE] Iter=182 | T=129717 | NewBest=396436 | Δ=2413 | ImproveTotal=24
[IMPROVE] Iter=183 | T=129717 | NewBest=396406 | Δ=30 | ImproveTotal=25
[IMPROVE] Iter=184 | T=129717 | NewBest=392261 | Δ=4145 | ImproveTotal=26
[IMPROVE] Iter=185 | T=129717 | NewBest=392253 | Δ=8 | ImproveTotal=27
[IMPROVE] Iter=186 | T=129717 | NewBest=392233 | Δ=20 | ImproveTotal=28
[IMPROVE] Iter=187 | T=129717 | NewBest=387195 | Δ=5038 | ImproveTotal=29
[IMPROVE] Iter=200 | T=129587 | NewBest=386436 | Δ=1036 | ImproveTotal=30
[IMPROVE] Iter=203 | T=129458 | NewBest=384954 | Δ=1588 | ImproveTotal=31
[IMPROVE] Iter=206 | T=129458 | NewBest=384068 | Δ=931 | ImproveTotal=32
[IMPROVE] Iter=207 | T=129458 | NewBest=384065 | Δ=3 | ImproveTotal=33
[IMPROVE] Iter=221 | T=129199 | NewBest=382423 | Δ=1847 | ImproveTotal=34
[IMPROVE] Iter=222 | T=129199 | NewBest=382418 | Δ=5 | ImproveTotal=35
[IMPROVE] Iter=228 | T=129199 | NewBest=382415 | Δ=130 | ImproveTotal=36
[IMPROVE] Iter=229 | T=129199 | NewBest=382413 | Δ=2 | ImproveTotal=37
[IMPROVE] Iter=230 | T=129199 | NewBest=382352 | Δ=61 | ImproveTotal=38
[IMPROVE] Iter=244 | T=128941 | NewBest=380029 | Δ=8310 | ImproveTotal=39
[IMPROVE] Iter=246 | T=128941 | NewBest=380015 | Δ=16 | ImproveTotal=40
[IMPROVE] Iter=250 | T=128941 | NewBest=376082 | Δ=4071 | ImproveTotal=41
[IMPROVE] Iter=267 | T=128683 | NewBest=375248 | Δ=2044 | ImproveTotal=42
[IMPROVE] Iter=268 | T=128683 | NewBest=375240 | Δ=8 | ImproveTotal=43
[IMPROVE] Iter=276 | T=128554 | NewBest=375161 | Δ=205 | ImproveTotal=44
[IMPROVE] Iter=278 | T=128554 | NewBest=375146 | Δ=15 | ImproveTotal=45
[IMPROVE] Iter=328 | T=127913 | NewBest=372758 | Δ=26512 | ImproveTotal=46
[IMPROVE] Iter=332 | T=127785 | NewBest=367225 | Δ=5660 | ImproveTotal=47
[IMPROVE] Iter=333 | T=127785 | NewBest=367180 | Δ=45 | ImproveTotal=48
[IMPROVE] Iter=339 | T=127785 | NewBest=365249 | Δ=2306 | ImproveTotal=49
[IMPROVE] Iter=356 | T=127530 | NewBest=360525 | Δ=13512 | ImproveTotal=50
[IMPROVE] Iter=360 | T=127530 | NewBest=357821 | Δ=2913 | ImproveTotal=51
[IMPROVE] Iter=379 | T=127275 | NewBest=356767 | Δ=1547 | ImproveTotal=52
[IMPROVE] Iter=380 | T=127275 | NewBest=355111 | Δ=1656 | ImproveTotal=53
[IMPROVE] Iter=390 | T=127147 | NewBest=354887 | Δ=53981 | ImproveTotal=54
[IMPROVE] Iter=440 | T=126513 | NewBest=354657 | Δ=400 | ImproveTotal=55
[IMPROVE] Iter=464 | T=126134 | NewBest=352538 | Δ=66021 | ImproveTotal=56
[IMPROVE] Iter=471 | T=126008 | NewBest=352510 | Δ=165456 | ImproveTotal=57
[IMPROVE] Iter=474 | T=126008 | NewBest=352481 | Δ=163 | ImproveTotal=58
[IMPROVE] Iter=475 | T=126008 | NewBest=348379 | Δ=4102 | ImproveTotal=59
[IMPROVE] Iter=476 | T=126008 | NewBest=348341 | Δ=38 | ImproveTotal=60
[IMPROVE] Iter=563 | T=124878 | NewBest=347713 | Δ=2549 | ImproveTotal=61
[IMPROVE] Iter=565 | T=124878 | NewBest=347709 | Δ=2862 | ImproveTotal=62
[IMPROVE] Iter=575 | T=124753 | NewBest=347659 | Δ=190067 | ImproveTotal=63
[IMPROVE] Iter=576 | T=124753 | NewBest=347636 | Δ=23 | ImproveTotal=64
[IMPROVE] Iter=616 | T=124255 | NewBest=345500 | Δ=3102 | ImproveTotal=65
[IMPROVE] Iter=618 | T=124255 | NewBest=345489 | Δ=96 | ImproveTotal=66
[IMPROVE] Iter=663 | T=123635 | NewBest=342414 | Δ=4754 | ImproveTotal=67
[IMPROVE] Iter=676 | T=123511 | NewBest=341697 | Δ=887 | ImproveTotal=68
[IMPROVE] Iter=678 | T=123511 | NewBest=341463 | Δ=243 | ImproveTotal=69
[IMPROVE] Iter=679 | T=123511 | NewBest=339817 | Δ=1646 | ImproveTotal=70
[IMPROVE] Iter=721 | T=122895 | NewBest=337683 | Δ=31985 | ImproveTotal=71
[IMPROVE] Iter=779 | T=122282 | NewBest=336994 | Δ=7149 | ImproveTotal=72
[IMPROVE] Iter=785 | T=122159 | NewBest=336757 | Δ=21855 | ImproveTotal=73
[IMPROVE] Iter=795 | T=122037 | NewBest=336755 | Δ=169239 | ImproveTotal=74
[IMPROVE] Iter=796 | T=122037 | NewBest=336700 | Δ=55 | ImproveTotal=75
[IMPROVE] Iter=800 | T=122037 | NewBest=336658 | Δ=48 | ImproveTotal=76
[IMPROVE] Iter=805 | T=121915 | NewBest=336464 | Δ=265 | ImproveTotal=77
[IMPROVE] Iter=807 | T=121915 | NewBest=336453 | Δ=14 | ImproveTotal=78
[IMPROVE] Iter=808 | T=121915 | NewBest=336448 | Δ=5 | ImproveTotal=79
[IMPROVE] Iter=809 | T=121915 | NewBest=336446 | Δ=2 | ImproveTotal=80
[IMPROVE] Iter=810 | T=121915 | NewBest=336381 | Δ=65 | ImproveTotal=81
[IMPROVE] Iter=812 | T=121793 | NewBest=336363 | Δ=18 | ImproveTotal=82
[IMPROVE] Iter=813 | T=121793 | NewBest=336310 | Δ=53 | ImproveTotal=83
[IMPROVE] Iter=814 | T=121793 | NewBest=336195 | Δ=115 | ImproveTotal=84
[IMPROVE] Iter=815 | T=121793 | NewBest=336191 | Δ=4 | ImproveTotal=85
[IMPROVE] Iter=822 | T=121671 | NewBest=336127 | Δ=19228 | ImproveTotal=86
[IMPROVE] Iter=828 | T=121671 | NewBest=336060 | Δ=32019 | ImproveTotal=87
[IMPROVE] Iter=849 | T=121428 | NewBest=335631 | Δ=1618 | ImproveTotal=88
[IMPROVE] Iter=853 | T=121307 | NewBest=335602 | Δ=73 | ImproveTotal=89
[IMPROVE] Iter=855 | T=121307 | NewBest=335588 | Δ=30 | ImproveTotal=90
[IMPROVE] Iter=929 | T=120460 | NewBest=333282 | Δ=2999 | ImproveTotal=91
[IMPROVE] Iter=931 | T=120340 | NewBest=333163 | Δ=119 | ImproveTotal=92
[IMPROVE] Iter=932 | T=120340 | NewBest=333070 | Δ=93 | ImproveTotal=93
[IMPROVE] Iter=935 | T=120340 | NewBest=329197 | Δ=3892 | ImproveTotal=94
