iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=141 | T=130237 | NewBest=454111 | Δ=4141 | ImproveTotal=1
[IMPROVE] Iter=150 | T=130237 | NewBest=452904 | Δ=1241 | ImproveTotal=2
[IMPROVE] Iter=154 | T=130107 | NewBest=447219 | Δ=5685 | ImproveTotal=3
[IMPROVE] Iter=210 | T=129458 | NewBest=442333 | Δ=6183 | ImproveTotal=4
[IMPROVE] Iter=252 | T=128812 | NewBest=436034 | Δ=6993 | ImproveTotal=5
[IMPROVE] Iter=255 | T=128812 | NewBest=435761 | Δ=273 | ImproveTotal=6
[IMPROVE] Iter=275 | T=128554 | NewBest=432743 | Δ=3376 | ImproveTotal=7
[IMPROVE] Iter=277 | T=128554 | NewBest=432742 | Δ=1 | ImproveTotal=8
[IMPROVE] Iter=298 | T=128297 | NewBest=428950 | Δ=3983 | ImproveTotal=9
[IMPROVE] Iter=313 | T=128041 | NewBest=428362 | Δ=730 | ImproveTotal=10
[IMPROVE] Iter=315 | T=128041 | NewBest=421562 | Δ=6800 | ImproveTotal=11
[IMPROVE] Iter=324 | T=127913 | NewBest=415269 | Δ=6419 | ImproveTotal=12
[IMPROVE] Iter=326 | T=127913 | NewBest=415257 | Δ=12 | ImproveTotal=13
[IMPROVE] Iter=333 | T=127785 | NewBest=415001 | Δ=418 | ImproveTotal=14
[IMPROVE] Iter=350 | T=127657 | NewBest=409035 | Δ=6183 | ImproveTotal=15
[IMPROVE] Iter=351 | T=127530 | NewBest=404375 | Δ=4660 | ImproveTotal=16
[IMPROVE] Iter=352 | T=127530 | NewBest=404349 | Δ=26 | ImproveTotal=17
[IMPROVE] Iter=353 | T=127530 | NewBest=404236 | Δ=113 | ImproveTotal=18
[IMPROVE] Iter=355 | T=127530 | NewBest=404179 | Δ=57 | ImproveTotal=19
[IMPROVE] Iter=356 | T=127530 | NewBest=404173 | Δ=6 | ImproveTotal=20
[IMPROVE] Iter=401 | T=126893 | NewBest=398295 | Δ=6277 | ImproveTotal=21
[IMPROVE] Iter=407 | T=126893 | NewBest=395585 | Δ=2710 | ImproveTotal=22
[IMPROVE] Iter=421 | T=126639 | NewBest=390695 | Δ=5136 | ImproveTotal=23
[IMPROVE] Iter=433 | T=126513 | NewBest=388714 | Δ=2381 | ImproveTotal=24
[IMPROVE] Iter=451 | T=126260 | NewBest=388423 | Δ=766 | ImproveTotal=25
