iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=1 | T=154158 | NewBest=529443 | Δ=4827 | ImproveTotal=1
[IMPROVE] Iter=6 | T=154158 | NewBest=527989 | Δ=1659 | ImproveTotal=2
[IMPROVE] Iter=11 | T=154004 | NewBest=525968 | Δ=2157 | ImproveTotal=3
[IMPROVE] Iter=58 | T=153388 | NewBest=524265 | Δ=2352 | ImproveTotal=4
[IMPROVE] Iter=59 | T=153388 | NewBest=522329 | Δ=1936 | ImproveTotal=5
[IMPROVE] Iter=64 | T=153235 | NewBest=519995 | Δ=2444 | ImproveTotal=6
[IMPROVE] Iter=80 | T=153082 | NewBest=512606 | Δ=7533 | ImproveTotal=7
[IMPROVE] Iter=87 | T=152929 | NewBest=506751 | Δ=39096 | ImproveTotal=8
[IMPROVE] Iter=92 | T=152776 | NewBest=505377 | Δ=1487 | ImproveTotal=9
[IMPROVE] Iter=102 | T=152623 | NewBest=503718 | Δ=88154 | ImproveTotal=10
[IMPROVE] Iter=108 | T=152623 | NewBest=500596 | Δ=3404 | ImproveTotal=11
[IMPROVE] Iter=109 | T=152623 | NewBest=500578 | Δ=18 | ImproveTotal=12
[IMPROVE] Iter=119 | T=152470 | NewBest=499952 | Δ=72072 | ImproveTotal=13
[IMPROVE] Iter=120 | T=152470 | NewBest=499875 | Δ=77 | ImproveTotal=14
[IMPROVE] Iter=127 | T=152318 | NewBest=499430 | Δ=465 | ImproveTotal=15
[IMPROVE] Iter=134 | T=152166 | NewBest=498947 | Δ=496 | ImproveTotal=16
[IMPROVE] Iter=144 | T=152013 | NewBest=495927 | Δ=3443 | ImproveTotal=17
[IMPROVE] Iter=148 | T=152013 | NewBest=491050 | Δ=4898 | ImproveTotal=18
[IMPROVE] Iter=162 | T=151710 | NewBest=484046 | Δ=7199 | ImproveTotal=19
[IMPROVE] Iter=163 | T=151710 | NewBest=478711 | Δ=5335 | ImproveTotal=20
[IMPROVE] Iter=177 | T=151558 | NewBest=472630 | Δ=12733 | ImproveTotal=21
[IMPROVE] Iter=184 | T=151406 | NewBest=472558 | Δ=103 | ImproveTotal=22
[IMPROVE] Iter=195 | T=151255 | NewBest=470676 | Δ=2154 | ImproveTotal=23
[IMPROVE] Iter=196 | T=151255 | NewBest=469111 | Δ=1565 | ImproveTotal=24
[IMPROVE] Iter=198 | T=151255 | NewBest=469101 | Δ=10 | ImproveTotal=25
[IMPROVE] Iter=199 | T=151255 | NewBest=468537 | Δ=564 | ImproveTotal=26
[IMPROVE] Iter=200 | T=151255 | NewBest=468525 | Δ=12 | ImproveTotal=27
[IMPROVE] Iter=202 | T=151104 | NewBest=465743 | Δ=2893 | ImproveTotal=28
[IMPROVE] Iter=208 | T=151104 | NewBest=465691 | Δ=62 | ImproveTotal=29
[IMPROVE] Iter=210 | T=151104 | NewBest=465646 | Δ=57 | ImproveTotal=30
