iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=109 | T=46815.9 | NewBest=162610 | Δ=1663 | ImproveTotal=1
[IMPROVE] Iter=128 | T=46722.3 | NewBest=162360 | Δ=643 | ImproveTotal=2
[IMPROVE] Iter=136 | T=46675.6 | NewBest=161597 | Δ=883 | ImproveTotal=3
[IMPROVE] Iter=141 | T=46628.9 | NewBest=161586 | Δ=52 | ImproveTotal=4
[IMPROVE] Iter=147 | T=46628.9 | NewBest=161557 | Δ=29 | ImproveTotal=5
[IMPROVE] Iter=150 | T=46628.9 | NewBest=160412 | Δ=1176 | ImproveTotal=6
[IMPROVE] Iter=155 | T=46582.3 | NewBest=159758 | Δ=738 | ImproveTotal=7
[IMPROVE] Iter=162 | T=46535.7 | NewBest=158764 | Δ=1089 | ImproveTotal=8
[IMPROVE] Iter=193 | T=46396.2 | NewBest=158709 | Δ=78 | ImproveTotal=9
[IMPROVE] Iter=198 | T=46396.2 | NewBest=158604 | Δ=107 | ImproveTotal=10
[IMPROVE] Iter=202 | T=46349.8 | NewBest=157612 | Δ=992 | ImproveTotal=11
[IMPROVE] Iter=205 | T=46349.8 | NewBest=154489 | Δ=3146 | ImproveTotal=12
[IMPROVE] Iter=272 | T=46026.4 | NewBest=152004 | Δ=3235 | ImproveTotal=13
[IMPROVE] Iter=353 | T=45659.4 | NewBest=151689 | Δ=1191 | ImproveTotal=14
[IMPROVE] Iter=376 | T=45568.2 | NewBest=148960 | Δ=2909 | ImproveTotal=15
[IMPROVE] Iter=398 | T=45477.1 | NewBest=148728 | Δ=470 | ImproveTotal=16
[IMPROVE] Iter=401 | T=45431.6 | NewBest=148484 | Δ=244 | ImproveTotal=17
[IMPROVE] Iter=406 | T=45431.6 | NewBest=145677 | Δ=2990 | ImproveTotal=18
[IMPROVE] Iter=477 | T=45114.5 | NewBest=145508 | Δ=1011 | ImproveTotal=19
[IMPROVE] Iter=481 | T=45069.4 | NewBest=143741 | Δ=1767 | ImproveTotal=20
[IMPROVE] Iter=487 | T=45069.4 | NewBest=142329 | Δ=1488 | ImproveTotal=21
[IMPROVE] Iter=495 | T=45024.3 | NewBest=142274 | Δ=62 | ImproveTotal=22
[IMPROVE] Iter=498 | T=45024.3 | NewBest=142114 | Δ=161 | ImproveTotal=23
[IMPROVE] Iter=500 | T=45024.3 | NewBest=142088 | Δ=33 | ImproveTotal=24
[IMPROVE] Iter=514 | T=44934.3 | NewBest=141716 | Δ=2736 | ImproveTotal=25
[IMPROVE] Iter=525 | T=44889.4 | NewBest=139663 | Δ=2347 | ImproveTotal=26
[IMPROVE] Iter=526 | T=44889.4 | NewBest=139654 | Δ=9 | ImproveTotal=27
[IMPROVE] Iter=527 | T=44889.4 | NewBest=139650 | Δ=4 | ImproveTotal=28
[IMPROVE] Iter=528 | T=44889.4 | NewBest=139633 | Δ=17 | ImproveTotal=29
[IMPROVE] Iter=531 | T=44844.5 | NewBest=139632 | Δ=1 | ImproveTotal=30
[IMPROVE] Iter=543 | T=44799.7 | NewBest=139616 | Δ=107 | ImproveTotal=31
[IMPROVE] Iter=544 | T=44799.7 | NewBest=139495 | Δ=121 | ImproveTotal=32
[IMPROVE] Iter=546 | T=44799.7 | NewBest=139490 | Δ=13 | ImproveTotal=33
[IMPROVE] Iter=550 | T=44799.7 | NewBest=138333 | Δ=1204 | ImproveTotal=34
[IMPROVE] Iter=567 | T=44710.1 | NewBest=138253 | Δ=181 | ImproveTotal=35
[IMPROVE] Iter=569 | T=44710.1 | NewBest=137579 | Δ=674 | ImproveTotal=36
[IMPROVE] Iter=613 | T=44487 | NewBest=137577 | Δ=16237 | ImproveTotal=37
[IMPROVE] Iter=751 | T=43868.2 | NewBest=136206 | Δ=2619 | ImproveTotal=38
[IMPROVE] Iter=753 | T=43868.2 | NewBest=136205 | Δ=1 | ImproveTotal=39
[IMPROVE] Iter=756 | T=43868.2 | NewBest=136190 | Δ=15 | ImproveTotal=40
[IMPROVE] Iter=781 | T=43736.8 | NewBest=135435 | Δ=1115 | ImproveTotal=41
[IMPROVE] Iter=903 | T=43214.8 | NewBest=135215 | Δ=1261 | ImproveTotal=42
[IMPROVE] Iter=945 | T=43042.2 | NewBest=135049 | Δ=2064 | ImproveTotal=43
[IMPROVE] Iter=951 | T=42999.1 | NewBest=134863 | Δ=212 | ImproveTotal=44
[IMPROVE] Iter=957 | T=42999.1 | NewBest=134854 | Δ=9 | ImproveTotal=45
[IMPROVE] Iter=973 | T=42913.2 | NewBest=134700 | Δ=370 | ImproveTotal=46
[IMPROVE] Iter=984 | T=42870.3 | NewBest=132915 | Δ=2122 | ImproveTotal=47
[IMPROVE] Iter=1027 | T=42699.1 | NewBest=132653 | Δ=1295 | ImproveTotal=48
[IMPROVE] Iter=1036 | T=42656.4 | NewBest=132618 | Δ=77 | ImproveTotal=49
[IMPROVE] Iter=1038 | T=42656.4 | NewBest=131097 | Δ=1524 | ImproveTotal=50
[IMPROVE] Iter=1042 | T=42613.7 | NewBest=131074 | Δ=23 | ImproveTotal=51
[IMPROVE] Iter=1045 | T=42613.7 | NewBest=130671 | Δ=403 | ImproveTotal=52
[IMPROVE] Iter=1046 | T=42613.7 | NewBest=130666 | Δ=5 | ImproveTotal=53
[IMPROVE] Iter=1064 | T=42528.5 | NewBest=130311 | Δ=658 | ImproveTotal=54
[IMPROVE] Iter=1065 | T=42528.5 | NewBest=130176 | Δ=135 | ImproveTotal=55
[IMPROVE] Iter=1066 | T=42528.5 | NewBest=130066 | Δ=110 | ImproveTotal=56
[IMPROVE] Iter=1106 | T=42358.7 | NewBest=129801 | Δ=838 | ImproveTotal=57
[IMPROVE] Iter=1109 | T=42358.7 | NewBest=129777 | Δ=38 | ImproveTotal=58
[IMPROVE] Iter=1112 | T=42316.3 | NewBest=129641 | Δ=136 | ImproveTotal=59
[IMPROVE] Iter=1113 | T=42316.3 | NewBest=129584 | Δ=57 | ImproveTotal=60
[IMPROVE] Iter=1135 | T=42231.7 | NewBest=129569 | Δ=20 | ImproveTotal=61
[IMPROVE] Iter=1136 | T=42231.7 | NewBest=129555 | Δ=14 | ImproveTotal=62
[IMPROVE] Iter=1137 | T=42231.7 | NewBest=128730 | Δ=825 | ImproveTotal=63
[IMPROVE] Iter=1144 | T=42189.5 | NewBest=128671 | Δ=59 | ImproveTotal=64
[IMPROVE] Iter=1174 | T=42063 | NewBest=128284 | Δ=1116 | ImproveTotal=65
[IMPROVE] Iter=1181 | T=42021 | NewBest=128233 | Δ=51 | ImproveTotal=66
[IMPROVE] Iter=1194 | T=41978.9 | NewBest=127262 | Δ=1101 | ImproveTotal=67
[IMPROVE] Iter=1195 | T=41978.9 | NewBest=127038 | Δ=224 | ImproveTotal=68
[IMPROVE] Iter=1201 | T=41937 | NewBest=126960 | Δ=113 | ImproveTotal=69
[IMPROVE] Iter=1215 | T=41895 | NewBest=126796 | Δ=185 | ImproveTotal=70
[IMPROVE] Iter=1218 | T=41895 | NewBest=126750 | Δ=96 | ImproveTotal=71
[IMPROVE] Iter=1222 | T=41853.1 | NewBest=126634 | Δ=116 | ImproveTotal=72
[IMPROVE] Iter=1229 | T=41853.1 | NewBest=126633 | Δ=1 | ImproveTotal=73
[IMPROVE] Iter=1256 | T=41727.7 | NewBest=126630 | Δ=24 | ImproveTotal=74
[IMPROVE] Iter=1257 | T=41727.7 | NewBest=126558 | Δ=72 | ImproveTotal=75
[IMPROVE] Iter=1334 | T=41395 | NewBest=126466 | Δ=1349 | ImproveTotal=76
[IMPROVE] Iter=1639 | T=40171 | NewBest=125949 | Δ=1754 | ImproveTotal=77
[IMPROVE] Iter=1648 | T=40130.9 | NewBest=125835 | Δ=144 | ImproveTotal=78
[IMPROVE] Iter=1663 | T=40050.6 | NewBest=125731 | Δ=264 | ImproveTotal=79
[IMPROVE] Iter=1754 | T=39691.6 | NewBest=125068 | Δ=1196 | ImproveTotal=80
[IMPROVE] Iter=1756 | T=39691.6 | NewBest=124976 | Δ=95 | ImproveTotal=81
[IMPROVE] Iter=1758 | T=39691.6 | NewBest=124681 | Δ=295 | ImproveTotal=82
[IMPROVE] Iter=1820 | T=39454.1 | NewBest=124382 | Δ=1170 | ImproveTotal=83
[IMPROVE] Iter=1839 | T=39375.2 | NewBest=124235 | Δ=422 | ImproveTotal=84
[IMPROVE] Iter=1876 | T=39217.9 | NewBest=123635 | Δ=1018 | ImproveTotal=85
[IMPROVE] Iter=1877 | T=39217.9 | NewBest=123558 | Δ=77 | ImproveTotal=86
[IMPROVE] Iter=1895 | T=39139.5 | NewBest=123133 | Δ=583 | ImproveTotal=87
[IMPROVE] Iter=2061 | T=38479.5 | NewBest=123068 | Δ=66 | ImproveTotal=88
[IMPROVE] Iter=2077 | T=38441 | NewBest=122972 | Δ=120 | ImproveTotal=89
[IMPROVE] Iter=2097 | T=38364.1 | NewBest=122926 | Δ=120 | ImproveTotal=90
[IMPROVE] Iter=2102 | T=38325.8 | NewBest=122895 | Δ=61 | ImproveTotal=91
[IMPROVE] Iter=2147 | T=38172.7 | NewBest=121794 | Δ=1150 | ImproveTotal=92
[IMPROVE] Iter=2148 | T=38172.7 | NewBest=121759 | Δ=35 | ImproveTotal=93
[IMPROVE] Iter=2318 | T=37528.9 | NewBest=121676 | Δ=238 | ImproveTotal=94
[IMPROVE] Iter=2326 | T=37491.4 | NewBest=121646 | Δ=34 | ImproveTotal=95
[IMPROVE] Iter=2340 | T=37453.9 | NewBest=121644 | Δ=852 | ImproveTotal=96
[IMPROVE] Iter=2512 | T=36785.4 | NewBest=121473 | Δ=1329 | ImproveTotal=97
[IMPROVE] Iter=2513 | T=36785.4 | NewBest=121472 | Δ=1 | ImproveTotal=98
[IMPROVE] Iter=2514 | T=36785.4 | NewBest=121424 | Δ=48 | ImproveTotal=99
[IMPROVE] Iter=2524 | T=36748.7 | NewBest=120950 | Δ=744 | ImproveTotal=100
[IMPROVE] Iter=2527 | T=36748.7 | NewBest=120949 | Δ=50 | ImproveTotal=101
[IMPROVE] Iter=2528 | T=36748.7 | NewBest=120927 | Δ=22 | ImproveTotal=102
[IMPROVE] Iter=2537 | T=36711.9 | NewBest=120654 | Δ=296 | ImproveTotal=103
[IMPROVE] Iter=2544 | T=36675.2 | NewBest=120390 | Δ=294 | ImproveTotal=104
