iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=109 | T=130760 | NewBest=453259 | Δ=4585 | ImproveTotal=1
[IMPROVE] Iter=172 | T=129847 | NewBest=447126 | Δ=7053 | ImproveTotal=2
[IMPROVE] Iter=189 | T=129717 | NewBest=446389 | Δ=1098 | ImproveTotal=3
[IMPROVE] Iter=200 | T=129587 | NewBest=441408 | Δ=4998 | ImproveTotal=4
[IMPROVE] Iter=222 | T=129199 | NewBest=439949 | Δ=1936 | ImproveTotal=5
[IMPROVE] Iter=229 | T=129199 | NewBest=436047 | Δ=3902 | ImproveTotal=6
[IMPROVE] Iter=238 | T=129070 | NewBest=435778 | Δ=342 | ImproveTotal=7
[IMPROVE] Iter=243 | T=128941 | NewBest=434896 | Δ=956 | ImproveTotal=8
[IMPROVE] Iter=269 | T=128683 | NewBest=434393 | Δ=814 | ImproveTotal=9
[IMPROVE] Iter=294 | T=128297 | NewBest=428747 | Δ=5817 | ImproveTotal=10
[IMPROVE] Iter=302 | T=128169 | NewBest=422089 | Δ=6787 | ImproveTotal=11
[IMPROVE] Iter=306 | T=128169 | NewBest=422079 | Δ=10 | ImproveTotal=12
[IMPROVE] Iter=354 | T=127530 | NewBest=419168 | Δ=3894 | ImproveTotal=13
[IMPROVE] Iter=357 | T=127530 | NewBest=419124 | Δ=49 | ImproveTotal=14
[IMPROVE] Iter=360 | T=127530 | NewBest=417841 | Δ=1307 | ImproveTotal=15
[IMPROVE] Iter=362 | T=127402 | NewBest=417835 | Δ=32 | ImproveTotal=16
[IMPROVE] Iter=363 | T=127402 | NewBest=417826 | Δ=9 | ImproveTotal=17
[IMPROVE] Iter=384 | T=127147 | NewBest=411876 | Δ=6418 | ImproveTotal=18
[IMPROVE] Iter=385 | T=127147 | NewBest=411866 | Δ=10 | ImproveTotal=19
[IMPROVE] Iter=387 | T=127147 | NewBest=411769 | Δ=197 | ImproveTotal=20
[IMPROVE] Iter=403 | T=126893 | NewBest=411149 | Δ=186004 | ImproveTotal=21
[IMPROVE] Iter=422 | T=126639 | NewBest=406472 | Δ=72122 | ImproveTotal=22
[IMPROVE] Iter=552 | T=125003 | NewBest=404819 | Δ=6317 | ImproveTotal=23
[IMPROVE] Iter=597 | T=124504 | NewBest=400626 | Δ=5163 | ImproveTotal=24
[IMPROVE] Iter=608 | T=124379 | NewBest=399470 | Δ=1210 | ImproveTotal=25
[IMPROVE] Iter=609 | T=124379 | NewBest=397436 | Δ=2034 | ImproveTotal=26
[IMPROVE] Iter=611 | T=124255 | NewBest=392484 | Δ=4952 | ImproveTotal=27
[IMPROVE] Iter=612 | T=124255 | NewBest=392472 | Δ=12 | ImproveTotal=28
[IMPROVE] Iter=634 | T=124006 | NewBest=387691 | Δ=5238 | ImproveTotal=29
[IMPROVE] Iter=647 | T=123882 | NewBest=387618 | Δ=125 | ImproveTotal=30
[IMPROVE] Iter=650 | T=123882 | NewBest=387133 | Δ=485 | ImproveTotal=31
[IMPROVE] Iter=654 | T=123759 | NewBest=387088 | Δ=45 | ImproveTotal=32
[IMPROVE] Iter=666 | T=123635 | NewBest=387051 | Δ=88 | ImproveTotal=33
[IMPROVE] Iter=760 | T=122527 | NewBest=385251 | Δ=2353 | ImproveTotal=34
[IMPROVE] Iter=764 | T=122404 | NewBest=382840 | Δ=2411 | ImproveTotal=35
[IMPROVE] Iter=803 | T=121915 | NewBest=378790 | Δ=5982 | ImproveTotal=36
[IMPROVE] Iter=807 | T=121915 | NewBest=373096 | Δ=5723 | ImproveTotal=37
[IMPROVE] Iter=818 | T=121793 | NewBest=367550 | Δ=5617 | ImproveTotal=38
[IMPROVE] Iter=845 | T=121428 | NewBest=362144 | Δ=5562 | ImproveTotal=39
[IMPROVE] Iter=848 | T=121428 | NewBest=362136 | Δ=8 | ImproveTotal=40
[IMPROVE] Iter=876 | T=121064 | NewBest=362099 | Δ=81 | ImproveTotal=41
[IMPROVE] Iter=877 | T=121064 | NewBest=361867 | Δ=232 | ImproveTotal=42
[IMPROVE] Iter=878 | T=121064 | NewBest=361839 | Δ=28 | ImproveTotal=43
[IMPROVE] Iter=889 | T=120943 | NewBest=358887 | Δ=3023 | ImproveTotal=44
[IMPROVE] Iter=892 | T=120822 | NewBest=356442 | Δ=2445 | ImproveTotal=45
[IMPROVE] Iter=900 | T=120822 | NewBest=351058 | Δ=5556 | ImproveTotal=46
[IMPROVE] Iter=907 | T=120701 | NewBest=346139 | Δ=5147 | ImproveTotal=47
[IMPROVE] Iter=908 | T=120701 | NewBest=346107 | Δ=32 | ImproveTotal=48
[IMPROVE] Iter=911 | T=120581 | NewBest=346063 | Δ=90 | ImproveTotal=49
[IMPROVE] Iter=952 | T=120099 | NewBest=345006 | Δ=1801 | ImproveTotal=50
[IMPROVE] Iter=956 | T=120099 | NewBest=344895 | Δ=125 | ImproveTotal=51
[IMPROVE] Iter=959 | T=120099 | NewBest=344748 | Δ=147 | ImproveTotal=52
[IMPROVE] Iter=961 | T=119979 | NewBest=344728 | Δ=20 | ImproveTotal=53
[IMPROVE] Iter=964 | T=119979 | NewBest=344611 | Δ=117 | ImproveTotal=54
[IMPROVE] Iter=982 | T=119739 | NewBest=344579 | Δ=46 | ImproveTotal=55
[IMPROVE] Iter=1026 | T=119261 | NewBest=343600 | Δ=1241 | ImproveTotal=56
[IMPROVE] Iter=1141 | T=117838 | NewBest=339328 | Δ=5021 | ImproveTotal=57
[IMPROVE] Iter=1207 | T=117132 | NewBest=336929 | Δ=4985 | ImproveTotal=58
[IMPROVE] Iter=1222 | T=116898 | NewBest=334416 | Δ=2644 | ImproveTotal=59
[IMPROVE] Iter=1224 | T=116898 | NewBest=332605 | Δ=1811 | ImproveTotal=60
[IMPROVE] Iter=1225 | T=116898 | NewBest=332564 | Δ=41 | ImproveTotal=61
[IMPROVE] Iter=1229 | T=116898 | NewBest=332450 | Δ=114 | ImproveTotal=62
[IMPROVE] Iter=1242 | T=116665 | NewBest=327474 | Δ=4982 | ImproveTotal=63
[IMPROVE] Iter=1243 | T=116665 | NewBest=327435 | Δ=39 | ImproveTotal=64
[IMPROVE] Iter=1245 | T=116665 | NewBest=327279 | Δ=156 | ImproveTotal=65
[IMPROVE] Iter=1255 | T=116548 | NewBest=323489 | Δ=4191 | ImproveTotal=66
[IMPROVE] Iter=1256 | T=116548 | NewBest=323398 | Δ=91 | ImproveTotal=67
[IMPROVE] Iter=1474 | T=114011 | NewBest=322981 | Δ=1899 | ImproveTotal=68
[IMPROVE] Iter=1482 | T=113897 | NewBest=322888 | Δ=202 | ImproveTotal=69
[IMPROVE] Iter=1488 | T=113897 | NewBest=322884 | Δ=50 | ImproveTotal=70
[IMPROVE] Iter=1531 | T=113328 | NewBest=322849 | Δ=128 | ImproveTotal=71
[IMPROVE] Iter=1550 | T=113215 | NewBest=320182 | Δ=4967 | ImproveTotal=72
[IMPROVE] Iter=1551 | T=113102 | NewBest=320104 | Δ=78 | ImproveTotal=73
[IMPROVE] Iter=1556 | T=113102 | NewBest=320093 | Δ=25 | ImproveTotal=74
[IMPROVE] Iter=1564 | T=112989 | NewBest=320072 | Δ=31 | ImproveTotal=75
[IMPROVE] Iter=1570 | T=112989 | NewBest=319864 | Δ=232 | ImproveTotal=76
[IMPROVE] Iter=1629 | T=112312 | NewBest=319676 | Δ=742 | ImproveTotal=77
[IMPROVE] Iter=1633 | T=112200 | NewBest=319673 | Δ=3 | ImproveTotal=78
[IMPROVE] Iter=1635 | T=112200 | NewBest=315641 | Δ=4079 | ImproveTotal=79
[IMPROVE] Iter=1728 | T=111194 | NewBest=312835 | Δ=3380 | ImproveTotal=80
[IMPROVE] Iter=1730 | T=111194 | NewBest=312799 | Δ=36 | ImproveTotal=81
[IMPROVE] Iter=1734 | T=111083 | NewBest=312718 | Δ=115 | ImproveTotal=82
[IMPROVE] Iter=1735 | T=111083 | NewBest=309840 | Δ=2878 | ImproveTotal=83
[IMPROVE] Iter=1752 | T=110861 | NewBest=307631 | Δ=2603 | ImproveTotal=84
[IMPROVE] Iter=1753 | T=110861 | NewBest=307618 | Δ=13 | ImproveTotal=85
[IMPROVE] Iter=1762 | T=110750 | NewBest=307603 | Δ=80027 | ImproveTotal=86
[IMPROVE] Iter=1775 | T=110639 | NewBest=306576 | Δ=1330 | ImproveTotal=87
[IMPROVE] Iter=1784 | T=110529 | NewBest=304448 | Δ=2154 | ImproveTotal=88
[IMPROVE] Iter=1785 | T=110529 | NewBest=304413 | Δ=35 | ImproveTotal=89
[IMPROVE] Iter=1850 | T=109867 | NewBest=300568 | Δ=4243 | ImproveTotal=90
[IMPROVE] Iter=1857 | T=109757 | NewBest=299789 | Δ=810 | ImproveTotal=91
[IMPROVE] Iter=1895 | T=109319 | NewBest=296282 | Δ=19591 | ImproveTotal=92
[IMPROVE] Iter=1907 | T=109210 | NewBest=292527 | Δ=3925 | ImproveTotal=93
[IMPROVE] Iter=1908 | T=109210 | NewBest=292507 | Δ=20 | ImproveTotal=94
[IMPROVE] Iter=1925 | T=108991 | NewBest=292448 | Δ=110 | ImproveTotal=95
[IMPROVE] Iter=1926 | T=108991 | NewBest=292336 | Δ=112 | ImproveTotal=96
[IMPROVE] Iter=1961 | T=108556 | NewBest=291576 | Δ=1846 | ImproveTotal=97
[IMPROVE] Iter=1994 | T=108231 | NewBest=290581 | Δ=1710 | ImproveTotal=98
[IMPROVE] Iter=2004 | T=108123 | NewBest=290322 | Δ=259 | ImproveTotal=99
[IMPROVE] Iter=2008 | T=108123 | NewBest=290280 | Δ=49 | ImproveTotal=100
[IMPROVE] Iter=2012 | T=108014 | NewBest=290270 | Δ=44 | ImproveTotal=101
