iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=217 | T=129328 | NewBest=453886 | Δ=4681 | ImproveTotal=1
[IMPROVE] Iter=240 | T=129070 | NewBest=453035 | Δ=1137 | ImproveTotal=2
[IMPROVE] Iter=241 | T=128941 | NewBest=453032 | Δ=3 | ImproveTotal=3
[IMPROVE] Iter=244 | T=128941 | NewBest=446007 | Δ=7191 | ImproveTotal=4
[IMPROVE] Iter=251 | T=128812 | NewBest=436281 | Δ=53888 | ImproveTotal=5
[IMPROVE] Iter=269 | T=128683 | NewBest=433511 | Δ=85683 | ImproveTotal=6
[IMPROVE] Iter=294 | T=128297 | NewBest=433154 | Δ=160099 | ImproveTotal=7
[IMPROVE] Iter=356 | T=127530 | NewBest=427549 | Δ=6744 | ImproveTotal=8
[IMPROVE] Iter=389 | T=127147 | NewBest=426600 | Δ=1493 | ImproveTotal=9
[IMPROVE] Iter=413 | T=126766 | NewBest=420269 | Δ=6761 | ImproveTotal=10
[IMPROVE] Iter=415 | T=126766 | NewBest=420266 | Δ=3 | ImproveTotal=11
[IMPROVE] Iter=417 | T=126766 | NewBest=420131 | Δ=135 | ImproveTotal=12
[IMPROVE] Iter=418 | T=126766 | NewBest=413523 | Δ=6608 | ImproveTotal=13
[IMPROVE] Iter=419 | T=126766 | NewBest=413517 | Δ=6 | ImproveTotal=14
[IMPROVE] Iter=420 | T=126766 | NewBest=407033 | Δ=6484 | ImproveTotal=15
[IMPROVE] Iter=423 | T=126639 | NewBest=407028 | Δ=8 | ImproveTotal=16
[IMPROVE] Iter=444 | T=126386 | NewBest=401256 | Δ=19834 | ImproveTotal=17
[IMPROVE] Iter=449 | T=126386 | NewBest=401206 | Δ=8383 | ImproveTotal=18
[IMPROVE] Iter=489 | T=125882 | NewBest=399686 | Δ=6219 | ImproveTotal=19
[IMPROVE] Iter=528 | T=125379 | NewBest=394113 | Δ=6196 | ImproveTotal=20
[IMPROVE] Iter=530 | T=125379 | NewBest=394033 | Δ=80 | ImproveTotal=21
[IMPROVE] Iter=535 | T=125253 | NewBest=393876 | Δ=169 | ImproveTotal=22
[IMPROVE] Iter=537 | T=125253 | NewBest=393854 | Δ=22 | ImproveTotal=23
[IMPROVE] Iter=590 | T=124628 | NewBest=393343 | Δ=10859 | ImproveTotal=24
[IMPROVE] Iter=645 | T=123882 | NewBest=389336 | Δ=5334 | ImproveTotal=25
[IMPROVE] Iter=648 | T=123882 | NewBest=386395 | Δ=2981 | ImproveTotal=26
[IMPROVE] Iter=654 | T=123759 | NewBest=381429 | Δ=5305 | ImproveTotal=27
[IMPROVE] Iter=719 | T=123018 | NewBest=376724 | Δ=5726 | ImproveTotal=28
[IMPROVE] Iter=726 | T=122895 | NewBest=376629 | Δ=157 | ImproveTotal=29
[IMPROVE] Iter=739 | T=122772 | NewBest=373610 | Δ=3109 | ImproveTotal=30
[IMPROVE] Iter=741 | T=122649 | NewBest=368805 | Δ=4844 | ImproveTotal=31
[IMPROVE] Iter=756 | T=122527 | NewBest=368689 | Δ=180 | ImproveTotal=32
[IMPROVE] Iter=781 | T=122159 | NewBest=365055 | Δ=4312 | ImproveTotal=33
[IMPROVE] Iter=798 | T=122037 | NewBest=365039 | Δ=74 | ImproveTotal=34
[IMPROVE] Iter=908 | T=120701 | NewBest=363902 | Δ=29550 | ImproveTotal=35
[IMPROVE] Iter=930 | T=120460 | NewBest=360783 | Δ=262182 | ImproveTotal=36
[IMPROVE] Iter=934 | T=120340 | NewBest=360706 | Δ=77 | ImproveTotal=37
[IMPROVE] Iter=938 | T=120340 | NewBest=360671 | Δ=35 | ImproveTotal=38
[IMPROVE] Iter=1124 | T=118074 | NewBest=358377 | Δ=3703 | ImproveTotal=39
[IMPROVE] Iter=1158 | T=117720 | NewBest=357588 | Δ=1563 | ImproveTotal=40
[IMPROVE] Iter=1188 | T=117367 | NewBest=357548 | Δ=136 | ImproveTotal=41
[IMPROVE] Iter=1189 | T=117367 | NewBest=356991 | Δ=557 | ImproveTotal=42
[IMPROVE] Iter=1190 | T=117367 | NewBest=355136 | Δ=1855 | ImproveTotal=43
[IMPROVE] Iter=1218 | T=117015 | NewBest=354317 | Δ=2859 | ImproveTotal=44
[IMPROVE] Iter=1254 | T=116548 | NewBest=351167 | Δ=5493 | ImproveTotal=45
[IMPROVE] Iter=1270 | T=116431 | NewBest=351148 | Δ=62 | ImproveTotal=46
[IMPROVE] Iter=1281 | T=116199 | NewBest=346087 | Δ=5187 | ImproveTotal=47
[IMPROVE] Iter=1282 | T=116199 | NewBest=345918 | Δ=169 | ImproveTotal=48
[IMPROVE] Iter=1283 | T=116199 | NewBest=345667 | Δ=251 | ImproveTotal=49
[IMPROVE] Iter=1305 | T=115966 | NewBest=344458 | Δ=1508 | ImproveTotal=50
[IMPROVE] Iter=1313 | T=115850 | NewBest=344444 | Δ=208 | ImproveTotal=51
[IMPROVE] Iter=1315 | T=115850 | NewBest=344429 | Δ=15 | ImproveTotal=52
[IMPROVE] Iter=1317 | T=115850 | NewBest=344423 | Δ=57 | ImproveTotal=53
[IMPROVE] Iter=1325 | T=115735 | NewBest=344302 | Δ=300 | ImproveTotal=54
[IMPROVE] Iter=1332 | T=115619 | NewBest=344286 | Δ=155 | ImproveTotal=55
[IMPROVE] Iter=1333 | T=115619 | NewBest=344158 | Δ=128 | ImproveTotal=56
[IMPROVE] Iter=1335 | T=115619 | NewBest=344147 | Δ=11 | ImproveTotal=57
[IMPROVE] Iter=1339 | T=115619 | NewBest=344029 | Δ=148 | ImproveTotal=58
[IMPROVE] Iter=1340 | T=115619 | NewBest=344012 | Δ=17 | ImproveTotal=59
[IMPROVE] Iter=1344 | T=115503 | NewBest=343980 | Δ=89 | ImproveTotal=60
[IMPROVE] Iter=1347 | T=115503 | NewBest=343896 | Δ=120 | ImproveTotal=61
[IMPROVE] Iter=1349 | T=115503 | NewBest=342850 | Δ=1046 | ImproveTotal=62
[IMPROVE] Iter=1353 | T=115388 | NewBest=342841 | Δ=29 | ImproveTotal=63
[IMPROVE] Iter=1355 | T=115388 | NewBest=339632 | Δ=3209 | ImproveTotal=64
[IMPROVE] Iter=1364 | T=115272 | NewBest=337498 | Δ=2524 | ImproveTotal=65
[IMPROVE] Iter=1400 | T=114927 | NewBest=336791 | Δ=5029 | ImproveTotal=66
[IMPROVE] Iter=1426 | T=114582 | NewBest=336752 | Δ=7512 | ImproveTotal=67
[IMPROVE] Iter=1427 | T=114582 | NewBest=336688 | Δ=64 | ImproveTotal=68
[IMPROVE] Iter=1434 | T=114468 | NewBest=336676 | Δ=12 | ImproveTotal=69
[IMPROVE] Iter=1437 | T=114468 | NewBest=336662 | Δ=14 | ImproveTotal=70
[IMPROVE] Iter=1438 | T=114468 | NewBest=336635 | Δ=27 | ImproveTotal=71
[IMPROVE] Iter=1453 | T=114239 | NewBest=336547 | Δ=204 | ImproveTotal=72
[IMPROVE] Iter=1520 | T=113555 | NewBest=336418 | Δ=21857 | ImproveTotal=73
[IMPROVE] Iter=1530 | T=113442 | NewBest=336370 | Δ=181 | ImproveTotal=74
[IMPROVE] Iter=1534 | T=113328 | NewBest=336262 | Δ=28114 | ImproveTotal=75
[IMPROVE] Iter=1569 | T=112989 | NewBest=331857 | Δ=4959 | ImproveTotal=76
[IMPROVE] Iter=1572 | T=112876 | NewBest=329065 | Δ=44137 | ImproveTotal=77
[IMPROVE] Iter=1577 | T=112876 | NewBest=328483 | Δ=615 | ImproveTotal=78
[IMPROVE] Iter=1596 | T=112650 | NewBest=328266 | Δ=49037 | ImproveTotal=79
[IMPROVE] Iter=1598 | T=112650 | NewBest=325803 | Δ=2463 | ImproveTotal=80
[IMPROVE] Iter=1601 | T=112537 | NewBest=325776 | Δ=33 | ImproveTotal=81
[IMPROVE] Iter=1609 | T=112537 | NewBest=325698 | Δ=214 | ImproveTotal=82
[IMPROVE] Iter=1626 | T=112312 | NewBest=325683 | Δ=74 | ImproveTotal=83
[IMPROVE] Iter=1639 | T=112200 | NewBest=325673 | Δ=240 | ImproveTotal=84
[IMPROVE] Iter=1644 | T=112088 | NewBest=325665 | Δ=36 | ImproveTotal=85
[IMPROVE] Iter=1658 | T=111976 | NewBest=325468 | Δ=316 | ImproveTotal=86
[IMPROVE] Iter=1672 | T=111752 | NewBest=325464 | Δ=41 | ImproveTotal=87
[IMPROVE] Iter=1673 | T=111752 | NewBest=325434 | Δ=30 | ImproveTotal=88
[IMPROVE] Iter=1674 | T=111752 | NewBest=323475 | Δ=1959 | ImproveTotal=89
[IMPROVE] Iter=1678 | T=111752 | NewBest=323302 | Δ=193 | ImproveTotal=90
[IMPROVE] Iter=1682 | T=111640 | NewBest=323220 | Δ=87 | ImproveTotal=91
[IMPROVE] Iter=1685 | T=111640 | NewBest=323181 | Δ=97 | ImproveTotal=92
[IMPROVE] Iter=1691 | T=111529 | NewBest=323137 | Δ=48 | ImproveTotal=93
[IMPROVE] Iter=1692 | T=111529 | NewBest=323110 | Δ=27 | ImproveTotal=94
[IMPROVE] Iter=1711 | T=111306 | NewBest=321041 | Δ=3773 | ImproveTotal=95
[IMPROVE] Iter=1713 | T=111306 | NewBest=320942 | Δ=99 | ImproveTotal=96
[IMPROVE] Iter=1717 | T=111306 | NewBest=320911 | Δ=31 | ImproveTotal=97
[IMPROVE] Iter=1718 | T=111306 | NewBest=320897 | Δ=14 | ImproveTotal=98
[IMPROVE] Iter=1725 | T=111194 | NewBest=319556 | Δ=7920 | ImproveTotal=99
[IMPROVE] Iter=1726 | T=111194 | NewBest=319546 | Δ=10 | ImproveTotal=100
[IMPROVE] Iter=1742 | T=110972 | NewBest=318181 | Δ=1651 | ImproveTotal=101
[IMPROVE] Iter=1836 | T=109977 | NewBest=317617 | Δ=24424 | ImproveTotal=102
[IMPROVE] Iter=1840 | T=109977 | NewBest=317593 | Δ=46 | ImproveTotal=103
[IMPROVE] Iter=1842 | T=109867 | NewBest=317538 | Δ=55 | ImproveTotal=104
[IMPROVE] Iter=1845 | T=109867 | NewBest=317400 | Δ=145 | ImproveTotal=105
[IMPROVE] Iter=1849 | T=109867 | NewBest=317108 | Δ=292 | ImproveTotal=106
[IMPROVE] Iter=1863 | T=109648 | NewBest=317105 | Δ=3 | ImproveTotal=107
[IMPROVE] Iter=1871 | T=109538 | NewBest=317056 | Δ=196 | ImproveTotal=108
[IMPROVE] Iter=1875 | T=109538 | NewBest=317004 | Δ=52 | ImproveTotal=109
[IMPROVE] Iter=1940 | T=108882 | NewBest=315133 | Δ=3541 | ImproveTotal=110
[IMPROVE] Iter=1943 | T=108774 | NewBest=315072 | Δ=61 | ImproveTotal=111
[IMPROVE] Iter=1944 | T=108774 | NewBest=311498 | Δ=3574 | ImproveTotal=112
[IMPROVE] Iter=1948 | T=108774 | NewBest=311474 | Δ=24 | ImproveTotal=113
[IMPROVE] Iter=1961 | T=108556 | NewBest=310630 | Δ=1133 | ImproveTotal=114
[IMPROVE] Iter=1962 | T=108556 | NewBest=309151 | Δ=1479 | ImproveTotal=115
[IMPROVE] Iter=1968 | T=108556 | NewBest=309130 | Δ=21 | ImproveTotal=116
[IMPROVE] Iter=1971 | T=108448 | NewBest=307608 | Δ=1855 | ImproveTotal=117
[IMPROVE] Iter=1995 | T=108231 | NewBest=307027 | Δ=1026 | ImproveTotal=118
[IMPROVE] Iter=1998 | T=108231 | NewBest=307016 | Δ=21 | ImproveTotal=119
[IMPROVE] Iter=1999 | T=108231 | NewBest=305597 | Δ=1419 | ImproveTotal=120
[IMPROVE] Iter=2000 | T=108231 | NewBest=305595 | Δ=2 | ImproveTotal=121
[IMPROVE] Iter=2012 | T=108014 | NewBest=305564 | Δ=153 | ImproveTotal=122
[IMPROVE] Iter=2013 | T=108014 | NewBest=305287 | Δ=277 | ImproveTotal=123
[IMPROVE] Iter=2017 | T=108014 | NewBest=304474 | Δ=832 | ImproveTotal=124
[IMPROVE] Iter=2150 | T=106619 | NewBest=304351 | Δ=3052 | ImproveTotal=125
[IMPROVE] Iter=2157 | T=106512 | NewBest=304332 | Δ=33 | ImproveTotal=126
[IMPROVE] Iter=2160 | T=106512 | NewBest=304243 | Δ=291 | ImproveTotal=127
[IMPROVE] Iter=2164 | T=106406 | NewBest=303486 | Δ=25920 | ImproveTotal=128
[IMPROVE] Iter=2165 | T=106406 | NewBest=303389 | Δ=97 | ImproveTotal=129
[IMPROVE] Iter=2195 | T=106087 | NewBest=303154 | Δ=73740 | ImproveTotal=130
[IMPROVE] Iter=2203 | T=105981 | NewBest=302641 | Δ=7889 | ImproveTotal=131
[IMPROVE] Iter=2204 | T=105981 | NewBest=302458 | Δ=183 | ImproveTotal=132
[IMPROVE] Iter=2206 | T=105981 | NewBest=302416 | Δ=46 | ImproveTotal=133
[IMPROVE] Iter=2212 | T=105875 | NewBest=302407 | Δ=13 | ImproveTotal=134
[IMPROVE] Iter=2247 | T=105557 | NewBest=300886 | Δ=2255 | ImproveTotal=135
[IMPROVE] Iter=2249 | T=105557 | NewBest=300883 | Δ=3 | ImproveTotal=136
[IMPROVE] Iter=2283 | T=105136 | NewBest=298793 | Δ=2552 | ImproveTotal=137
[IMPROVE] Iter=2293 | T=105031 | NewBest=298719 | Δ=3385 | ImproveTotal=138
[IMPROVE] Iter=2319 | T=104821 | NewBest=298682 | Δ=12971 | ImproveTotal=139
[IMPROVE] Iter=2377 | T=104193 | NewBest=295073 | Δ=4150 | ImproveTotal=140
[IMPROVE] Iter=2488 | T=103053 | NewBest=294908 | Δ=3569 | ImproveTotal=141
[IMPROVE] Iter=2496 | T=102950 | NewBest=294874 | Δ=34 | ImproveTotal=142
[IMPROVE] Iter=2565 | T=102231 | NewBest=292528 | Δ=2568 | ImproveTotal=143
[IMPROVE] Iter=2573 | T=102129 | NewBest=292471 | Δ=57 | ImproveTotal=144
[IMPROVE] Iter=2631 | T=101518 | NewBest=291340 | Δ=2510 | ImproveTotal=145
[IMPROVE] Iter=2648 | T=101416 | NewBest=291168 | Δ=37918 | ImproveTotal=146
[IMPROVE] Iter=2650 | T=101416 | NewBest=291116 | Δ=52 | ImproveTotal=147
[IMPROVE] Iter=2651 | T=101315 | NewBest=291103 | Δ=13 | ImproveTotal=148
[IMPROVE] Iter=2763 | T=100206 | NewBest=289793 | Δ=3820 | ImproveTotal=149
[IMPROVE] Iter=2786 | T=100006 | NewBest=289778 | Δ=358 | ImproveTotal=150
[IMPROVE] Iter=2787 | T=100006 | NewBest=289735 | Δ=43 | ImproveTotal=151
[IMPROVE] Iter=2788 | T=100006 | NewBest=289696 | Δ=39 | ImproveTotal=152
[IMPROVE] Iter=2790 | T=100006 | NewBest=289553 | Δ=143 | ImproveTotal=153
[IMPROVE] Iter=2792 | T=99905.6 | NewBest=289537 | Δ=16 | ImproveTotal=154
[IMPROVE] Iter=2793 | T=99905.6 | NewBest=289452 | Δ=85 | ImproveTotal=155
[IMPROVE] Iter=2795 | T=99905.6 | NewBest=287489 | Δ=1963 | ImproveTotal=156
[IMPROVE] Iter=2822 | T=99606.2 | NewBest=287487 | Δ=125 | ImproveTotal=157
