iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=14 | T=131942 | NewBest=451086 | Δ=6947 | ImproveTotal=1
[IMPROVE] Iter=139 | T=130368 | NewBest=445665 | Δ=6974 | ImproveTotal=2
[IMPROVE] Iter=164 | T=129977 | NewBest=445498 | Δ=488 | ImproveTotal=3
[IMPROVE] Iter=190 | T=129717 | NewBest=443008 | Δ=3169 | ImproveTotal=4
[IMPROVE] Iter=230 | T=129199 | NewBest=439486 | Δ=4345 | ImproveTotal=5
[IMPROVE] Iter=237 | T=129070 | NewBest=439483 | Δ=7 | ImproveTotal=6
[IMPROVE] Iter=244 | T=128941 | NewBest=439479 | Δ=4 | ImproveTotal=7
[IMPROVE] Iter=268 | T=128683 | NewBest=438691 | Δ=1314 | ImproveTotal=8
[IMPROVE] Iter=291 | T=128297 | NewBest=437143 | Δ=1638 | ImproveTotal=9
[IMPROVE] Iter=317 | T=128041 | NewBest=430783 | Δ=6624 | ImproveTotal=10
[IMPROVE] Iter=338 | T=127785 | NewBest=424490 | Δ=6650 | ImproveTotal=11
[IMPROVE] Iter=341 | T=127657 | NewBest=424463 | Δ=41 | ImproveTotal=12
[IMPROVE] Iter=365 | T=127402 | NewBest=417855 | Δ=6684 | ImproveTotal=13
[IMPROVE] Iter=408 | T=126893 | NewBest=413226 | Δ=6274 | ImproveTotal=14
[IMPROVE] Iter=424 | T=126639 | NewBest=413221 | Δ=61 | ImproveTotal=15
[IMPROVE] Iter=428 | T=126639 | NewBest=413145 | Δ=76 | ImproveTotal=16
[IMPROVE] Iter=434 | T=126513 | NewBest=413018 | Δ=24158 | ImproveTotal=17
[IMPROVE] Iter=441 | T=126386 | NewBest=412986 | Δ=32 | ImproveTotal=18
[IMPROVE] Iter=443 | T=126386 | NewBest=412808 | Δ=178 | ImproveTotal=19
[IMPROVE] Iter=449 | T=126386 | NewBest=409091 | Δ=6484 | ImproveTotal=20
[IMPROVE] Iter=561 | T=124878 | NewBest=405941 | Δ=5389 | ImproveTotal=21
[IMPROVE] Iter=622 | T=124131 | NewBest=400175 | Δ=6430 | ImproveTotal=22
[IMPROVE] Iter=623 | T=124131 | NewBest=400119 | Δ=56 | ImproveTotal=23
[IMPROVE] Iter=689 | T=123388 | NewBest=399580 | Δ=1355 | ImproveTotal=24
[IMPROVE] Iter=690 | T=123388 | NewBest=399524 | Δ=56 | ImproveTotal=25
[IMPROVE] Iter=698 | T=123264 | NewBest=395433 | Δ=4103 | ImproveTotal=26
[IMPROVE] Iter=703 | T=123141 | NewBest=394462 | Δ=1133 | ImproveTotal=27
[IMPROVE] Iter=705 | T=123141 | NewBest=394436 | Δ=26 | ImproveTotal=28
[IMPROVE] Iter=712 | T=123018 | NewBest=394267 | Δ=169 | ImproveTotal=29
[IMPROVE] Iter=716 | T=123018 | NewBest=394239 | Δ=29 | ImproveTotal=30
[IMPROVE] Iter=718 | T=123018 | NewBest=393964 | Δ=275 | ImproveTotal=31
