iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=10 | T=132074 | NewBest=455332 | Δ=2609 | ImproveTotal=1
[IMPROVE] Iter=17 | T=131942 | NewBest=451145 | Δ=4303 | ImproveTotal=2
[IMPROVE] Iter=28 | T=131810 | NewBest=446473 | Δ=4861 | ImproveTotal=3
[IMPROVE] Iter=36 | T=131679 | NewBest=445920 | Δ=11971 | ImproveTotal=4
[IMPROVE] Iter=52 | T=131415 | NewBest=442687 | Δ=3523 | ImproveTotal=5
[IMPROVE] Iter=61 | T=131284 | NewBest=437532 | Δ=5374 | ImproveTotal=6
[IMPROVE] Iter=66 | T=131284 | NewBest=432195 | Δ=5405 | ImproveTotal=7
[IMPROVE] Iter=70 | T=131284 | NewBest=431380 | Δ=902 | ImproveTotal=8
[IMPROVE] Iter=83 | T=131021 | NewBest=428565 | Δ=4883 | ImproveTotal=9
[IMPROVE] Iter=87 | T=131021 | NewBest=426538 | Δ=197958 | ImproveTotal=10
[IMPROVE] Iter=112 | T=130629 | NewBest=424140 | Δ=19204 | ImproveTotal=11
[IMPROVE] Iter=119 | T=130629 | NewBest=420384 | Δ=3782 | ImproveTotal=12
[IMPROVE] Iter=128 | T=130498 | NewBest=417543 | Δ=8919 | ImproveTotal=13
[IMPROVE] Iter=129 | T=130498 | NewBest=412455 | Δ=5088 | ImproveTotal=14
[IMPROVE] Iter=135 | T=130368 | NewBest=411431 | Δ=1227 | ImproveTotal=15
[IMPROVE] Iter=136 | T=130368 | NewBest=411430 | Δ=1 | ImproveTotal=16
[IMPROVE] Iter=137 | T=130368 | NewBest=411423 | Δ=7 | ImproveTotal=17
[IMPROVE] Iter=171 | T=129847 | NewBest=408989 | Δ=2926 | ImproveTotal=18
[IMPROVE] Iter=180 | T=129847 | NewBest=408985 | Δ=606 | ImproveTotal=19
[IMPROVE] Iter=190 | T=129717 | NewBest=406834 | Δ=2222 | ImproveTotal=20
[IMPROVE] Iter=200 | T=129587 | NewBest=402953 | Δ=60459 | ImproveTotal=21
[IMPROVE] Iter=210 | T=129458 | NewBest=401848 | Δ=1439 | ImproveTotal=22
[IMPROVE] Iter=213 | T=129328 | NewBest=399270 | Δ=2598 | ImproveTotal=23
[IMPROVE] Iter=216 | T=129328 | NewBest=397832 | Δ=1543 | ImproveTotal=24
[IMPROVE] Iter=253 | T=128812 | NewBest=397628 | Δ=139458 | ImproveTotal=25
[IMPROVE] Iter=256 | T=128812 | NewBest=397621 | Δ=7 | ImproveTotal=26
[IMPROVE] Iter=257 | T=128812 | NewBest=397609 | Δ=12 | ImproveTotal=27
[IMPROVE] Iter=264 | T=128683 | NewBest=394872 | Δ=2901 | ImproveTotal=28
[IMPROVE] Iter=280 | T=128554 | NewBest=394233 | Δ=2711 | ImproveTotal=29
[IMPROVE] Iter=282 | T=128426 | NewBest=394091 | Δ=144 | ImproveTotal=30
[IMPROVE] Iter=286 | T=128426 | NewBest=394074 | Δ=17 | ImproveTotal=31
[IMPROVE] Iter=288 | T=128426 | NewBest=389994 | Δ=4094 | ImproveTotal=32
[IMPROVE] Iter=302 | T=128169 | NewBest=389934 | Δ=83 | ImproveTotal=33
[IMPROVE] Iter=303 | T=128169 | NewBest=389923 | Δ=11 | ImproveTotal=34
[IMPROVE] Iter=332 | T=127785 | NewBest=389547 | Δ=6600 | ImproveTotal=35
[IMPROVE] Iter=334 | T=127785 | NewBest=389474 | Δ=97 | ImproveTotal=36
[IMPROVE] Iter=338 | T=127785 | NewBest=389464 | Δ=17 | ImproveTotal=37
[IMPROVE] Iter=340 | T=127785 | NewBest=389458 | Δ=7 | ImproveTotal=38
[IMPROVE] Iter=346 | T=127657 | NewBest=384998 | Δ=4991 | ImproveTotal=39
[IMPROVE] Iter=347 | T=127657 | NewBest=384982 | Δ=16 | ImproveTotal=40
[IMPROVE] Iter=348 | T=127657 | NewBest=384954 | Δ=28 | ImproveTotal=41
[IMPROVE] Iter=349 | T=127657 | NewBest=383872 | Δ=1082 | ImproveTotal=42
[IMPROVE] Iter=351 | T=127530 | NewBest=383855 | Δ=29 | ImproveTotal=43
[IMPROVE] Iter=352 | T=127530 | NewBest=383853 | Δ=2 | ImproveTotal=44
[IMPROVE] Iter=354 | T=127530 | NewBest=383670 | Δ=183 | ImproveTotal=45
[IMPROVE] Iter=356 | T=127530 | NewBest=383664 | Δ=21 | ImproveTotal=46
[IMPROVE] Iter=364 | T=127402 | NewBest=383630 | Δ=2422 | ImproveTotal=47
[IMPROVE] Iter=366 | T=127402 | NewBest=383623 | Δ=7 | ImproveTotal=48
[IMPROVE] Iter=369 | T=127402 | NewBest=383598 | Δ=86 | ImproveTotal=49
[IMPROVE] Iter=372 | T=127275 | NewBest=383580 | Δ=47 | ImproveTotal=50
[IMPROVE] Iter=374 | T=127275 | NewBest=381728 | Δ=1909 | ImproveTotal=51
[IMPROVE] Iter=375 | T=127275 | NewBest=381722 | Δ=6 | ImproveTotal=52
[IMPROVE] Iter=377 | T=127275 | NewBest=381676 | Δ=46 | ImproveTotal=53
[IMPROVE] Iter=381 | T=127147 | NewBest=381582 | Δ=146 | ImproveTotal=54
[IMPROVE] Iter=393 | T=127020 | NewBest=381312 | Δ=473 | ImproveTotal=55
[IMPROVE] Iter=401 | T=126893 | NewBest=381204 | Δ=16281 | ImproveTotal=56
[IMPROVE] Iter=402 | T=126893 | NewBest=381150 | Δ=54 | ImproveTotal=57
[IMPROVE] Iter=403 | T=126893 | NewBest=381139 | Δ=11 | ImproveTotal=58
[IMPROVE] Iter=405 | T=126893 | NewBest=381097 | Δ=46 | ImproveTotal=59
[IMPROVE] Iter=420 | T=126766 | NewBest=379826 | Δ=56155 | ImproveTotal=60
[IMPROVE] Iter=421 | T=126639 | NewBest=379823 | Δ=3 | ImproveTotal=61
[IMPROVE] Iter=427 | T=126639 | NewBest=377660 | Δ=42900 | ImproveTotal=62
[IMPROVE] Iter=433 | T=126513 | NewBest=375439 | Δ=15171 | ImproveTotal=63
