iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=37 | T=47144.9 | NewBest=163077 | Δ=1572 | ImproveTotal=1
[IMPROVE] Iter=56 | T=47050.7 | NewBest=162542 | Δ=1045 | ImproveTotal=2
[IMPROVE] Iter=57 | T=47050.7 | NewBest=162537 | Δ=5 | ImproveTotal=3
[IMPROVE] Iter=59 | T=47050.7 | NewBest=159142 | Δ=3400 | ImproveTotal=4
[IMPROVE] Iter=61 | T=47003.6 | NewBest=159139 | Δ=3 | ImproveTotal=5
[IMPROVE] Iter=65 | T=47003.6 | NewBest=158690 | Δ=487 | ImproveTotal=6
[IMPROVE] Iter=66 | T=47003.6 | NewBest=158226 | Δ=464 | ImproveTotal=7
[IMPROVE] Iter=67 | T=47003.6 | NewBest=157405 | Δ=821 | ImproveTotal=8
[IMPROVE] Iter=70 | T=47003.6 | NewBest=157312 | Δ=138 | ImproveTotal=9
[IMPROVE] Iter=71 | T=46956.6 | NewBest=157256 | Δ=56 | ImproveTotal=10
[IMPROVE] Iter=90 | T=46909.7 | NewBest=156242 | Δ=1158 | ImproveTotal=11
[IMPROVE] Iter=131 | T=46675.6 | NewBest=154685 | Δ=2204 | ImproveTotal=12
[IMPROVE] Iter=132 | T=46675.6 | NewBest=154674 | Δ=11 | ImproveTotal=13
[IMPROVE] Iter=144 | T=46628.9 | NewBest=153738 | Δ=1065 | ImproveTotal=14
[IMPROVE] Iter=160 | T=46582.3 | NewBest=152135 | Δ=1923 | ImproveTotal=15
[IMPROVE] Iter=164 | T=46535.7 | NewBest=149248 | Δ=2975 | ImproveTotal=16
[IMPROVE] Iter=169 | T=46535.7 | NewBest=149065 | Δ=437 | ImproveTotal=17
[IMPROVE] Iter=171 | T=46489.2 | NewBest=148472 | Δ=593 | ImproveTotal=18
[IMPROVE] Iter=172 | T=46489.2 | NewBest=148468 | Δ=4 | ImproveTotal=19
[IMPROVE] Iter=173 | T=46489.2 | NewBest=148440 | Δ=28 | ImproveTotal=20
[IMPROVE] Iter=174 | T=46489.2 | NewBest=148336 | Δ=104 | ImproveTotal=21
[IMPROVE] Iter=180 | T=46489.2 | NewBest=147859 | Δ=12798 | ImproveTotal=22
[IMPROVE] Iter=184 | T=46442.7 | NewBest=145838 | Δ=2091 | ImproveTotal=23
[IMPROVE] Iter=185 | T=46442.7 | NewBest=145792 | Δ=46 | ImproveTotal=24
[IMPROVE] Iter=186 | T=46442.7 | NewBest=145777 | Δ=15 | ImproveTotal=25
[IMPROVE] Iter=196 | T=46396.2 | NewBest=145707 | Δ=4039 | ImproveTotal=26
[IMPROVE] Iter=198 | T=46396.2 | NewBest=145629 | Δ=78 | ImproveTotal=27
[IMPROVE] Iter=200 | T=46396.2 | NewBest=145591 | Δ=70 | ImproveTotal=28
[IMPROVE] Iter=209 | T=46349.8 | NewBest=144607 | Δ=1322 | ImproveTotal=29
[IMPROVE] Iter=210 | T=46349.8 | NewBest=143767 | Δ=840 | ImproveTotal=30
[IMPROVE] Iter=215 | T=46303.5 | NewBest=143107 | Δ=801 | ImproveTotal=31
[IMPROVE] Iter=218 | T=46303.5 | NewBest=143095 | Δ=12 | ImproveTotal=32
[IMPROVE] Iter=223 | T=46257.2 | NewBest=142870 | Δ=415 | ImproveTotal=33
[IMPROVE] Iter=225 | T=46257.2 | NewBest=142852 | Δ=31 | ImproveTotal=34
[IMPROVE] Iter=226 | T=46257.2 | NewBest=140483 | Δ=2369 | ImproveTotal=35
[IMPROVE] Iter=227 | T=46257.2 | NewBest=138434 | Δ=2049 | ImproveTotal=36
[IMPROVE] Iter=228 | T=46257.2 | NewBest=138403 | Δ=31 | ImproveTotal=37
[IMPROVE] Iter=229 | T=46257.2 | NewBest=138398 | Δ=5 | ImproveTotal=38
[IMPROVE] Iter=230 | T=46257.2 | NewBest=138198 | Δ=200 | ImproveTotal=39
[IMPROVE] Iter=231 | T=46210.9 | NewBest=136777 | Δ=1421 | ImproveTotal=40
[IMPROVE] Iter=285 | T=45980.3 | NewBest=135968 | Δ=1550 | ImproveTotal=41
[IMPROVE] Iter=286 | T=45980.3 | NewBest=135921 | Δ=47 | ImproveTotal=42
[IMPROVE] Iter=287 | T=45980.3 | NewBest=135915 | Δ=6 | ImproveTotal=43
[IMPROVE] Iter=326 | T=45796.7 | NewBest=135689 | Δ=312 | ImproveTotal=44
[IMPROVE] Iter=327 | T=45796.7 | NewBest=135642 | Δ=47 | ImproveTotal=45
[IMPROVE] Iter=328 | T=45796.7 | NewBest=135640 | Δ=2 | ImproveTotal=46
[IMPROVE] Iter=335 | T=45750.9 | NewBest=134680 | Δ=1047 | ImproveTotal=47
[IMPROVE] Iter=336 | T=45750.9 | NewBest=132641 | Δ=2039 | ImproveTotal=48
[IMPROVE] Iter=414 | T=45386.2 | NewBest=131569 | Δ=1595 | ImproveTotal=49
[IMPROVE] Iter=415 | T=45386.2 | NewBest=131553 | Δ=16 | ImproveTotal=50
[IMPROVE] Iter=546 | T=44799.7 | NewBest=130915 | Δ=952 | ImproveTotal=51
[IMPROVE] Iter=634 | T=44398.1 | NewBest=130430 | Δ=1115 | ImproveTotal=52
[IMPROVE] Iter=635 | T=44398.1 | NewBest=130427 | Δ=3 | ImproveTotal=53
[IMPROVE] Iter=636 | T=44398.1 | NewBest=130301 | Δ=126 | ImproveTotal=54
[IMPROVE] Iter=638 | T=44398.1 | NewBest=130186 | Δ=115 | ImproveTotal=55
[IMPROVE] Iter=639 | T=44398.1 | NewBest=130082 | Δ=104 | ImproveTotal=56
[IMPROVE] Iter=647 | T=44353.7 | NewBest=129815 | Δ=320 | ImproveTotal=57
[IMPROVE] Iter=649 | T=44353.7 | NewBest=128647 | Δ=1168 | ImproveTotal=58
[IMPROVE] Iter=651 | T=44309.3 | NewBest=128610 | Δ=37 | ImproveTotal=59
[IMPROVE] Iter=655 | T=44309.3 | NewBest=128572 | Δ=89 | ImproveTotal=60
[IMPROVE] Iter=670 | T=44265 | NewBest=128497 | Δ=488 | ImproveTotal=61
[IMPROVE] Iter=671 | T=44220.8 | NewBest=128443 | Δ=54 | ImproveTotal=62
[IMPROVE] Iter=675 | T=44220.8 | NewBest=128268 | Δ=175 | ImproveTotal=63
