Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,U_N_2,,4,463833,5.000,13392
200_2000,U_N_2,,5,469044,5.000,13408
200_2000,U_N_2,,6,467238,5.032,13700
200_2000,U_N_2,,7,470844,5.037,13937
200_2000,U_N_2,,8,466237,5.000,13339
200_2000,U_N_2,,9,468256,5.000,13497
200_2000,U_N_2,,10,464846,5.000,13260
200_2000,U_N_3,,1,862652,5.000,19360
200_2000,U_N_3,,2,869884,5.000,18851
200_2000,U_N_3,,3,867599,5.000,18686
200_2000,U_N_3,,4,857746,5.012,19856
200_2000,U_N_3,,5,873640,5.000,18874
200_2000,U_N_3,,6,864769,5.022,19186
200_2000,U_N_3,,7,866364,5.000,18848
200_2000,U_N_3,,8,872438,5.000,18586
200_2000,U_N_3,,9,857042,5.000,18176
200_2000,U_N_3,,10,873912,5.024,19014
200_2000,U_N_4,,1,959150,5.000,20683
200_2000,U_N_4,,2,981551,5.000,18821
200_2000,U_N_4,,3,970673,5.000,18770
200_2000,U_N_4,,4,981094,5.000,18785
200_2000,U_N_4,,5,1005622,5.000,19014
200_2000,U_N_4,,6,955993,5.025,20484
200_2000,U_N_4,,7,973726,5.034,19391
200_2000,U_N_4,,8,952594,5.000,19868
200_2000,U_N_4,,9,989705,5.000,18925
200_2000,U_N_4,,10,955296,5.031,18619
200_2000,U_N_5,,1,8615847,5.028,22504
200_2000,U_N_5,,2,8216586,5.000,23430
200_2000,U_N_5,,3,8853469,5.000,22390
200_2000,U_N_5,,4,8921988,5.001,22550
200_2000,U_N_5,,5,8814972,5.000,21432
200_2000,U_N_5,,6,9151910,5.000,22226
200_2000,U_N_5,,7,8921282,5.027,22078
200_2000,U_N_5,,8,8679826,5.000,22565
200_2000,U_N_5,,9,9010582,5.000,22311
200_2000,U_N_5,,10,8525253,5.000,21962
200_2000,U_U_1,,1,1538738,5.000,21403
200_2000,U_U_1,,2,1508458,5.000,20908
200_2000,U_U_1,,3,1521229,5.000,21028
200_2000,U_U_1,,4,1578276,5.000,21101
200_2000,U_U_1,,5,1578882,5.031,21089
200_2000,U_U_1,,6,1507326,5.000,21028
200_2000,U_U_1,,7,1584737,5.000,21200
200_2000,U_U_1,,8,1661695,5.000,20844
200_2000,U_U_1,,9,1531686,5.009,21114
200_2000,U_U_1,,10,1507737,5.002,21433
200_2000,U_U_2,,1,406011,5.018,13761
200_2000,U_U_2,,2,406646,5.000,13375
200_2000,U_U_2,,3,406958,5.000,13255
200_2000,U_U_2,,4,407990,5.020,13500
200_2000,U_U_2,,5,407792,5.000,12881
200_2000,U_U_2,,6,409934,5.000,13127
200_2000,U_U_2,,7,407778,5.000,13132
200_2000,U_U_2,,8,406517,5.000,13154
200_2000,U_U_2,,9,408284,5.000,12856
200_2000,U_U_2,,10,408325,5.000,12935
200_2000,U_U_3,,1,436418,5.022,13503
200_2000,U_U_3,,2,435398,5.000,13440
200_2000,U_U_3,,3,435804,5.017,13264
200_2000,U_U_3,,4,436352,5.023,12869
200_2000,U_U_3,,5,434435,5.000,12744
200_2000,U_U_3,,6,438621,5.000,13091
200_2000,U_U_3,,7,437523,5.000,14133
200_2000,U_U_3,,8,435195,5.026,13620
200_2000,U_U_3,,9,434914,5.000,13066
200_2000,U_U_3,,10,435832,5.000,13152
200_2000,U_U_4,,1,575737,5.000,17019
200_2000,U_U_4,,2,576126,5.000,17480
200_2000,U_U_4,,3,577772,5.000,17766
200_2000,U_U_4,,4,577742,5.000,17759
200_2000,U_U_4,,5,576284,5.000,17731
200_2000,U_U_4,,6,574947,5.000,16701
200_2000,U_U_4,,7,575101,5.012,16465
200_2000,U_U_4,,8,575706,5.000,16703
200_2000,U_U_4,,9,573537,5.000,16974
200_2000,U_U_4,,10,578543,5.000,16171
200_2000,U_U_5,,1,410407,5.000,13340
200_2000,U_U_5,,2,409408,5.000,12594
200_2000,U_U_5,,3,410685,5.031,13087
200_2000,U_U_5,,4,409584,5.000,13060
200_2000,U_U_5,,5,408450,5.000,12752
200_2000,U_U_5,,6,410977,5.010,13286
200_2000,U_U_5,,7,410074,5.000,12986
200_2000,U_U_5,,8,409680,5.029,12865
200_2000,U_U_5,,9,408422,5.000,13088
200_2000,U_U_5,,10,407957,5.000,13501
200_5000,N_N_1,,1,95761406,5.000,10723
200_5000,N_N_1,,2,90274839,5.003,10280
200_5000,N_N_1,,3,94581095,5.000,11383
200_5000,N_N_1,,4,85916074,5.000,10836
200_5000,N_N_1,,5,91368219,5.000,10050
200_5000,N_N_1,,6,88618652,5.035,10525
200_5000,N_N_1,,7,92793942,5.000,10623
200_5000,N_N_1,,8,95260886,5.000,10568
200_5000,N_N_1,,9,93619049,5.004,10479
200_5000,N_N_1,,10,89481367,5.000,9944
200_5000,N_N_2,,1,9435261,5.057,11049
200_5000,N_N_2,,2,11525208,5.000,9512
200_5000,N_N_2,,3,8928728,5.000,10630
200_5000,N_N_2,,4,9302056,5.001,10785
200_5000,N_N_2,,5,9640961,5.000,10907
200_5000,N_N_2,,6,9246810,5.000,10039
