Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,U_N_2,,4,473574,5.000,25232
200_2000,U_N_2,,5,471163,5.000,25032
200_2000,U_N_2,,6,471357,5.000,25191
200_2000,U_N_2,,7,470674,5.000,25073
200_2000,U_N_2,,8,472497,5.000,25055
200_2000,U_N_2,,9,473744,5.000,24191
200_2000,U_N_2,,10,475489,5.000,23461
200_2000,U_N_3,,1,852903,5.000,25190
200_2000,U_N_3,,2,857048,5.000,25046
200_2000,U_N_3,,3,861376,5.000,24605
200_2000,U_N_3,,4,862673,5.000,25278
200_2000,U_N_3,,5,864309,5.000,24689
200_2000,U_N_3,,6,865418,5.000,24945
200_2000,U_N_3,,7,864514,5.000,25332
200_2000,U_N_3,,8,859053,5.000,25197
200_2000,U_N_3,,9,870489,5.000,25328
200_2000,U_N_3,,10,862277,5.000,25776
200_2000,U_N_4,,1,967309,5.000,25325
200_2000,U_N_4,,2,961662,5.000,25475
200_2000,U_N_4,,3,952899,5.000,25170
200_2000,U_N_4,,4,943153,5.000,25003
200_2000,U_N_4,,5,951033,5.000,25039
200_2000,U_N_4,,6,964799,5.000,25515
200_2000,U_N_4,,7,964569,5.000,25431
200_2000,U_N_4,,8,966071,5.000,25191
200_2000,U_N_4,,9,959965,5.000,25180
200_2000,U_N_4,,10,958392,5.000,25210
200_2000,U_N_5,,1,8085364,5.000,25197
200_2000,U_N_5,,2,8705867,5.000,24736
200_2000,U_N_5,,3,8419395,5.003,25001
200_2000,U_N_5,,4,8001756,5.000,25088
200_2000,U_N_5,,5,8759201,5.000,24839
200_2000,U_N_5,,6,8753206,5.000,24944
200_2000,U_N_5,,7,8505104,5.000,25084
200_2000,U_N_5,,8,8540171,5.003,25106
200_2000,U_N_5,,9,8480129,5.000,24431
200_2000,U_N_5,,10,8492502,5.000,24584
200_2000,U_U_1,,1,1527952,5.000,25150
200_2000,U_U_1,,2,1530562,5.000,25384
200_2000,U_U_1,,3,1570719,5.000,25215
200_2000,U_U_1,,4,1566231,5.000,25109
200_2000,U_U_1,,5,1570388,5.003,25231
200_2000,U_U_1,,6,1548353,5.000,25568
200_2000,U_U_1,,7,1640896,5.000,24884
200_2000,U_U_1,,8,1562633,5.000,24607
200_2000,U_U_1,,9,1612362,5.000,25423
200_2000,U_U_1,,10,1609982,5.000,24846
200_2000,U_U_2,,1,426846,5.000,24312
200_2000,U_U_2,,2,422615,5.000,23962
200_2000,U_U_2,,3,422135,5.000,24268
200_2000,U_U_2,,4,424216,5.000,24034
200_2000,U_U_2,,5,422529,5.000,24345
200_2000,U_U_2,,6,423017,5.000,24142
200_2000,U_U_2,,7,422747,5.000,24596
200_2000,U_U_2,,8,424853,5.000,24357
200_2000,U_U_2,,9,421784,5.000,24839
200_2000,U_U_2,,10,421127,5.000,25344
200_2000,U_U_3,,1,463965,5.000,23868
200_2000,U_U_3,,2,460162,5.000,23808
200_2000,U_U_3,,3,476060,5.000,24017
200_2000,U_U_3,,4,467507,5.000,24004
200_2000,U_U_3,,5,469807,5.000,25017
