Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,U_N_2,,4,473004,5.000,25325
200_2000,U_N_2,,5,470311,5.000,24683
200_2000,U_N_2,,6,473532,5.000,25599
200_2000,U_N_2,,7,474873,5.000,24105
200_2000,U_N_2,,8,482233,5.000,23764
200_2000,U_N_2,,9,482240,5.000,24066
200_2000,U_N_2,,10,475941,5.000,24866
200_2000,U_N_3,,1,862005,5.000,24768
200_2000,U_N_3,,2,860622,5.000,24550
200_2000,U_N_3,,3,875652,5.000,24311
200_2000,U_N_3,,4,867549,5.000,23893
200_2000,U_N_3,,5,865752,5.000,24119
200_2000,U_N_3,,6,865833,5.000,24694
200_2000,U_N_3,,7,865804,5.000,24766
200_2000,U_N_3,,8,866002,5.000,25658
200_2000,U_N_3,,9,869211,5.000,23730
200_2000,U_N_3,,10,858052,5.000,24262
200_2000,U_N_4,,1,953896,5.000,24910
200_2000,U_N_4,,2,958713,5.001,23622
200_2000,U_N_4,,3,972473,5.000,24154
200_2000,U_N_4,,4,956122,5.000,24622
200_2000,U_N_4,,5,955437,5.000,24155
200_2000,U_N_4,,6,955275,5.000,25284
200_2000,U_N_4,,7,959373,5.000,25120
200_2000,U_N_4,,8,964214,5.000,24556
200_2000,U_N_4,,9,958584,5.000,24523
200_2000,U_N_4,,10,953094,5.000,26121
200_2000,U_N_5,,1,8775934,5.000,24154
200_2000,U_N_5,,2,8231311,5.000,24419
200_2000,U_N_5,,3,8821427,5.000,24284
200_2000,U_N_5,,4,8552560,5.000,24194
200_2000,U_N_5,,5,8414885,5.000,24716
200_2000,U_N_5,,6,8497902,5.000,24304
200_2000,U_N_5,,7,8518012,5.000,23979
200_2000,U_N_5,,8,8389741,5.000,23820
200_2000,U_N_5,,9,8400286,5.000,23999
200_2000,U_N_5,,10,8270368,5.000,23770
200_2000,U_U_1,,1,1603175,5.000,24407
200_2000,U_U_1,,2,1557312,5.003,25746
200_2000,U_U_1,,3,1538813,5.000,23747
200_2000,U_U_1,,4,1519386,5.000,25043
200_2000,U_U_1,,5,1589807,5.000,23968
200_2000,U_U_1,,6,1580526,5.000,24105
200_2000,U_U_1,,7,1574743,5.000,24331
200_2000,U_U_1,,8,1581150,5.000,24222
200_2000,U_U_1,,9,1580808,5.000,24704
200_2000,U_U_1,,10,1560805,5.000,24760
200_2000,U_U_2,,1,424798,5.000,24153
200_2000,U_U_2,,2,423435,5.000,23761
200_2000,U_U_2,,3,422372,5.000,24523
200_2000,U_U_2,,4,419399,5.000,24724
200_2000,U_U_2,,5,422993,5.000,23402
200_2000,U_U_2,,6,420933,5.000,23612
200_2000,U_U_2,,7,429005,5.000,24338
200_2000,U_U_2,,8,423089,5.000,23816
200_2000,U_U_2,,9,425231,5.000,24172
200_2000,U_U_2,,10,424523,5.000,24174
200_2000,U_U_3,,1,451746,5.000,25316
200_2000,U_U_3,,2,465977,5.000,23522
200_2000,U_U_3,,3,474267,5.000,23386
200_2000,U_U_3,,4,468609,5.000,23623
200_2000,U_U_3,,5,468192,5.000,23704
200_2000,U_U_3,,6,462127,5.000,25527
200_2000,U_U_3,,7,473173,5.000,23900
200_2000,U_U_3,,8,469789,5.000,24102
200_2000,U_U_3,,9,466661,5.000,24016
200_2000,U_U_3,,10,462505,5.000,22903
200_2000,U_U_4,,1,580703,5.000,24601
200_2000,U_U_4,,2,586624,5.000,24393
200_2000,U_U_4,,3,584697,5.000,24325
200_2000,U_U_4,,4,585736,5.000,24413
200_2000,U_U_4,,5,581847,5.000,24789
200_2000,U_U_4,,6,583775,5.000,24416
200_2000,U_U_4,,7,579934,5.000,24251
200_2000,U_U_4,,8,579515,5.000,25982
200_2000,U_U_4,,9,583586,5.000,24812
200_2000,U_U_4,,10,585858,5.000,24217
200_2000,U_U_5,,1,429039,5.000,24448
200_2000,U_U_5,,2,424869,5.000,24332
200_2000,U_U_5,,3,430330,5.000,23485
200_2000,U_U_5,,4,425661,5.000,23332
200_2000,U_U_5,,5,422048,5.000,23364
200_2000,U_U_5,,6,429460,5.000,23465
200_2000,U_U_5,,7,431509,5.000,23845
200_2000,U_U_5,,8,431453,5.000,24549
200_2000,U_U_5,,9,425796,5.000,23019
200_2000,U_U_5,,10,428078,5.000,25355
200_5000,N_N_1,,1,89031255,5.000,10880
200_5000,N_N_1,,2,92520339,5.000,11056
200_5000,N_N_1,,3,92323574,5.004,10983
200_5000,N_N_1,,4,91705318,5.008,11205
200_5000,N_N_1,,5,95147479,5.000,11190
200_5000,N_N_1,,6,91151529,5.006,11266
200_5000,N_N_1,,7,94126932,5.000,10926
200_5000,N_N_1,,8,91780810,5.000,10875
200_5000,N_N_1,,9,88110701,5.000,11520
200_5000,N_N_1,,10,89462138,5.000,11757
200_5000,N_N_2,,1,10269094,5.000,11598
200_5000,N_N_2,,2,9323086,5.002,11459
200_5000,N_N_2,,3,9582668,5.000,11125
200_5000,N_N_2,,4,9724481,5.000,11444
200_5000,N_N_2,,5,9241411,5.000,11401
200_5000,N_N_2,,6,9164613,5.000,11279
200_5000,N_N_2,,7,8953015,5.000,11174
200_5000,N_N_2,,8,8251546,5.000,11528
200_5000,N_N_2,,9,9680918,5.000,11501
200_5000,N_N_2,,10,9157835,5.000,11590
200_5000,N_N_3,,1,10694756,5.000,12004
200_5000,N_N_3,,2,9857627,5.000,11038
200_5000,N_N_3,,3,9526388,5.000,11592
200_5000,N_N_3,,4,9617981,5.000,11194
200_5000,N_N_3,,5,10234717,5.000,11188
200_5000,N_N_3,,6,9602776,5.000,11564
200_5000,N_N_3,,7,12240477,5.000,11743
200_5000,N_N_3,,8,11468004,5.000,11504
200_5000,N_N_3,,9,11439357,5.000,11530
200_5000,N_N_3,,10,12597279,5.008,11743
200_5000,N_N_4,,1,3833790,5.000,11381
200_5000,N_N_4,,2,3853733,5.000,10496
200_5000,N_N_4,,3,3994449,5.000,10590
200_5000,N_N_4,,4,4022193,5.000,10399
200_5000,N_N_4,,5,4100476,5.001,10585
200_5000,N_N_4,,6,3847058,5.000,10427
200_5000,N_N_4,,7,4168897,5.000,10362
200_5000,N_N_4,,8,4130085,5.000,10388
200_5000,N_N_4,,9,3969853,5.000,10313
200_5000,N_N_4,,10,4126827,5.000,10488
200_5000,N_N_5,,1,3547210,5.000,10536
200_5000,N_N_5,,2,3630674,5.000,10025
200_5000,N_N_5,,3,3409025,5.001,10161
200_5000,N_N_5,,4,3726520,5.000,10392
200_5000,N_N_5,,5,3649768,5.000,10277
200_5000,N_N_5,,6,3628892,5.000,10180
200_5000,N_N_5,,7,3505920,5.000,10479
200_5000,N_N_5,,8,3421195,5.000,10853
200_5000,N_N_5,,9,3699241,5.000,10228
200_5000,N_N_5,,10,3557602,5.000,10307
200_5000,N_U_1,,1,4723203,5.005,11417
200_5000,N_U_1,,2,4586187,5.000,11404
200_5000,N_U_1,,3,4658412,5.000,11018
200_5000,N_U_1,,4,4481313,5.000,11117
200_5000,N_U_1,,5,4672511,5.000,11185
200_5000,N_U_1,,6,4589358,5.000,11280
200_5000,N_U_1,,7,4590276,5.000,11028
200_5000,N_U_1,,8,4563876,5.000,10844
200_5000,N_U_1,,9,4722722,5.000,10798
200_5000,N_U_1,,10,4460321,5.000,11227
200_5000,N_U_2,,1,17312657,5.001,11693
200_5000,N_U_2,,2,17166384,5.000,11969
200_5000,N_U_2,,3,16721829,5.000,11817
200_5000,N_U_2,,4,17745741,5.000,11664
200_5000,N_U_2,,5,16991885,5.000,11782
200_5000,N_U_2,,6,18866652,5.000,11564
200_5000,N_U_2,,7,16594264,5.000,12159
