Folder,Instance,TabuO3_obj_best,TabuO3Smart_obj_best,delta_best,delta_best_pct,verdict_best,TabuO3_obj_avg,TabuO3Smart_obj_avg,delta_avg,delta_avg_pct,verdict_avg,TabuO3_obj_std,TabuO3Smart_obj_std,TabuO3_iter_avg,TabuO3Smart_iter_avg,TabuO3_runtime_avg,TabuO3Smart_runtime_avg,TabuO3_n_runs,TabuO3Smart_n_runs
200_5000,N_N_3,9964242,9748710,-215532,-2.1630546508204036,TabuO3Smart,11426275.2,10483407.7,-942867.5,-8.251748566321945,TabuO3Smart,895101.5336583393,525971.4387537387,11445.8,11740.6,5.0002,5.0001,10,10
200_5000,N_N_4,3602914,3659307,56393,1.5652052755075474,TabuO3,3882976.8,4087774.7,204797.90000000037,5.274249900231194,TabuO3,188751.66366054158,353872.1616459975,11031.8,10854.2,5.0,5.0007,10,10
200_5000,N_N_5,3385216,3279445,-105771,-3.124497816387492,TabuO3Smart,3526152.6,3489871.3,-36281.30000000028,-1.0289203025416507,TabuO3Smart,97584.7109315798,97004.63695566311,10096.8,10520.9,5.0004,5.0001,10,10
200_5000,N_U_1,4472871,4479442,6571,0.14690788086667378,TabuO3,4667735.5,4538191.9,-129543.59999999963,-2.775298643207175,TabuO3Smart,163580.78082793785,58790.325488033035,11226.4,11427.9,5.0,5.0003,10,10
200_5000,N_U_2,17113890,15849472,-1264418,-7.388255972195684,TabuO3Smart,17729658.4,16611227.1,-1118431.2999999989,-6.308250699291527,TabuO3Smart,490231.0960537332,723813.7260505711,11154.6,11402.0,5.0001,5.0,10,10
200_5000,N_U_3,17989993,16846074,-1143919,-6.358640606474944,TabuO3Smart,18799826.2,17382393.2,-1417433.0,-7.539606935302413,TabuO3Smart,526350.9394504775,367653.6090062069,11357.9,11471.3,5.0003,5.0003,10,10
200_5000,N_U_4,19853942,18712313,-1141629,-5.75013768046668,TabuO3Smart,21049437.2,19414675.4,-1634761.8000000007,-7.7662969535356545,TabuO3Smart,671799.6782273717,551226.4299731401,11442.0,11623.7,5.0,5.0001,10,10
200_5000,N_U_5,15609095,15134087,-475008,-3.0431488821100774,TabuO3Smart,16358049.1,15773779.7,-584269.4000000004,-3.571754776063121,TabuO3Smart,338903.9349581234,382186.693350558,11451.2,11515.9,5.0001,5.0,10,10
200_5000,U_N_1,2840260,2863148,22888,0.8058417187158922,TabuO3,2954960.5,2969694.3,14733.799999999814,0.4986124180001666,TabuO3,77211.78562204388,66600.20436079755,10063.1,10334.6,5.0002,5.0001,10,10
200_5000,U_N_2,6099906,5900163,-199743,-3.2745258697429107,TabuO3Smart,6403217.5,6036869.0,-366348.5,-5.721319008763953,TabuO3Smart,131462.53679555334,101095.41358758284,11264.6,11389.7,5.0,5.0,10,10
200_5000,U_N_3,28435018,26044600,-2390418,-8.406599215094571,TabuO3Smart,29340602.2,26710881.4,-2629720.8000000007,-8.962736286305674,TabuO3Smart,558442.5374248561,532241.7764316851,10936.5,11220.5,5.000500000000001,5.0001,10,10
200_5000,U_N_4,50760153,46922032,-3838121,-7.5612872955682375,TabuO3Smart,52610720.2,48733380.1,-3877340.1000000015,-7.369866987679065,TabuO3Smart,1628266.9648223342,1179085.367566878,11085.8,11180.3,5.0,5.0004,10,10
200_5000,U_N_5,3120948,3428586,307638,9.857197236224378,TabuO3,3438177.8,3590062.1,151884.30000000028,4.417581312985043,TabuO3,154292.21780029396,140861.57486415916,10771.8,10849.1,5.0001,5.0006,10,10
200_5000,U_U_1,2684306,2683822,-484,-0.018030731220658153,TabuO3Smart,2733240.5,2764944.6,31704.100000000093,1.15994549327072,TabuO3,35692.53679614888,33674.55471684481,10269.7,10266.6,5.000500000000001,5.0001,10,10
200_5000,U_U_2,3841732,3803497,-38235,-0.995254223876106,TabuO3Smart,3948145.8,3853242.2,-94903.59999999963,-2.4037511481972027,TabuO3Smart,75056.013465204,45591.46345241983,11198.9,11282.1,5.0,5.0,10,10
200_5000,U_U_3,12256048,11430264,-825784,-6.737767345558698,TabuO3Smart,12895983.5,11916013.9,-979969.5999999996,-7.599029573820404,TabuO3Smart,278022.05778409034,251288.9821060164,11311.0,11250.0,5.0001,5.0001,10,10
200_5000,U_U_4,2598755,2635699,36944,1.421603806438083,TabuO3,2649008.0,2684771.7,35763.700000000186,1.350078972958941,TabuO3,29569.86797776103,37705.33906800648,10003.6,10037.6,5.0008,5.0,10,10
200_5000,U_U_5,2833773,2802804,-30969,-1.0928539441938363,TabuO3Smart,2915146.7,2911378.3,-3768.4000000003725,-0.12926965219281666,TabuO3Smart,46920.03917789883,52076.96403305404,10136.0,10195.1,5.0001,5.0,10,10
500_10000,N_N_1,125248180,118911103,-6337077,-5.059616035937608,TabuO3Smart,128812103.0,124693172.5,-4118930.5,-3.1976269341709296,TabuO3Smart,2859156.4528311887,3054217.775799678,5696.0,5704.3,5.0004,5.0040000000000004,10,10
500_10000,N_N_2,8349233,8130548,-218685,-2.619222627994691,TabuO3Smart,9005868.8,8920207.3,-85661.5,-0.9511741943209298,TabuO3Smart,461088.50178241875,441399.0195815648,5499.7,5511.7,5.0008,5.000500000000001,10,10
500_10000,N_N_3,7787043,8044629,257586,3.307879512158852,TabuO3,8298784.6,8431733.6,132949.0,1.6020297719258794,TabuO3,307220.51174331154,332178.6485590078,5419.4,5413.5,5.0007,5.0008,10,10
500_10000,N_N_4,6460902,6333528,-127374,-1.9714584743740116,TabuO3Smart,6611240.2,6591540.2,-19700.0,-0.29797737495606347,TabuO3Smart,86432.6675688463,115684.31349515129,5218.5,5271.8,5.000500000000001,5.0046,10,10
500_10000,N_N_5,108027970,104902387,-3125583,-2.8933090198769817,TabuO3Smart,110801965.3,108307989.8,-2493975.5,-2.2508404911839595,TabuO3Smart,2254748.6680788454,2049085.5444890957,5575.4,5715.6,5.000400000000001,5.0029,10,10
500_10000,N_U_1,13214185,13184655,-29530,-0.22347197348909523,TabuO3Smart,14427486.6,14883815.8,456329.2000000011,3.1629154311604153,TabuO3,717166.7032789828,1246810.5910302852,5633.8,5679.9,5.0004,5.000400000000001,10,10
500_10000,N_U_2,39826445,36290469,-3535976,-8.878462539149552,TabuO3Smart,41422159.0,39854477.5,-1567681.5,-3.7846445908336164,TabuO3Smart,1467766.9958700303,1800399.668896897,5550.7,5681.0,5.0007,5.000400000000001,10,10
500_10000,N_U_3,11200922,10858256,-342666,-3.059266013994205,TabuO3Smart,11642801.1,11838073.7,195272.59999999963,1.6771960486381547,TabuO3,483538.33256468223,661973.30748235,5583.0,5747.6,5.0006,5.0003,10,10
500_10000,N_U_4,32464575,30520496,-1944079,-5.988308795048141,TabuO3Smart,33751652.3,32560404.3,-1191247.9999999963,-3.529450912244662,TabuO3Smart,842896.6215864134,951728.3572888798,5647.1,5705.1,5.0006,5.0006,10,10
500_10000,N_U_5,27034658,26075644,-959014,-3.5473502198548252,TabuO3Smart,28192118.3,27155760.1,-1036358.1999999993,-3.6760565097373306,TabuO3Smart,734340.5893852508,830952.8106269132,5566.9,5706.1,5.003500000000001,5.0024,10,10
500_10000,U_N_1,7128564,7389616,261052,3.662055920378915,TabuO3,7750112.3,8059089.7,308977.4000000004,3.9867473920345695,TabuO3,406640.8554573952,407181.3050396455,5533.7,5500.8,5.0001,5.0006,10,10
500_10000,U_N_2,9385769,10855986,1470217,15.66432116537281,TabuO3,11410386.8,11872685.5,462298.69999999925,4.051560285405918,TabuO3,1224558.108450355,933437.2258774735,5597.3,5684.2,5.0006,5.0007,10,10
500_10000,U_N_3,117192001,109068681,-8123320,-6.931633499457016,TabuO3Smart,119898323.4,112457441.4,-7440882.0,-6.2059933692117,TabuO3Smart,1525726.710764358,2274849.1682377653,5509.7,5731.9,5.0021,5.000500000000001,10,10
500_10000,U_N_4,5956270,5898335,-57935,-0.9726724946988636,TabuO3Smart,6149992.2,6147944.2,-2048.0,-0.03330085524336112,TabuO3Smart,146225.21132888732,112202.92868310823,5096.2,5264.6,5.000500000000001,5.0026,10,10
500_10000,U_N_5,5469866,6009128,539262,9.858778990198298,TabuO3,5974335.1,6123903.3,149568.2000000002,2.5035120644638797,TabuO3,276487.25347531337,120437.33882816865,6074.0,5155.1,5.000400000000001,5.0006,10,10
500_10000,U_U_1,8074983,10006820,1931837,23.923728384319816,TabuO3,8380217.8,11110747.7,2730529.8999999994,32.58304217343849,TabuO3,220638.3218320071,848370.8684015827,9629.6,5686.4,5.0001,5.000500000000001,10,10
500_10000,U_U_2,7493217,8929852,1436635,19.172472917840228,TabuO3,8050583.4,9725467.0,1674883.5999999996,20.80449970867949,TabuO3,504725.33970031666,505337.47311474924,9244.4,5742.0,5.0001,5.0002,10,10
500_10000,U_U_3,24336340,24701560,365220,1.5007186783222128,TabuO3,25223272.4,25855945.2,632672.8000000007,2.5082899235548863,TabuO3,411037.63087262184,622272.4097209804,9195.1,6067.1,5.0002,5.000500000000001,10,10
500_10000,U_U_4,7742315,9297787,1555472,20.09052847888519,TabuO3,8139059.4,10245570.2,2106510.799999999,25.881501737166325,TabuO3,530052.0006389731,628706.5724200581,9274.6,6053.5,5.0001,5.0003,10,10
500_10000,U_U_5,21836250,22267131,430881,1.9732371629744117,TabuO3,22394340.9,23072590.0,678249.1000000015,3.028662924390874,TabuO3,373525.8584782016,371519.90894043783,9367.6,5704.0,5.0004,5.0006,10,10
