Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
500_10000,N_U_2,1,22984167,5.000,17762,0,0,0
500_10000,N_U_2,2,22923134,5.000,17621,0,0,0
500_10000,N_U_2,3,22808121,5.000,17884,0,0,0
500_10000,N_U_2,4,22950477,5.000,18040,0,0,0
500_10000,N_U_2,5,23381923,5.000,17829,0,0,0
500_10000,N_U_2,6,22891010,5.000,17766,0,0,0
500_10000,N_U_2,7,22953752,5.000,17727,0,0,0
500_10000,N_U_2,8,23374589,5.000,17494,0,0,0
500_10000,N_U_2,9,23304877,5.000,17314,0,0,0
500_10000,N_U_2,10,22929199,5.000,17913,0,0,0
500_10000,N_U_3,1,7961309,5.000,17439,0,0,0
500_10000,N_U_3,2,7933166,5.000,17561,0,0,0
500_10000,N_U_3,3,7933548,5.000,17301,0,0,0
500_10000,N_U_3,4,7966621,5.000,17228,0,0,0
500_10000,N_U_3,5,8047376,5.000,17050,0,0,0
500_10000,N_U_3,6,8018008,5.000,17173,0,0,0
500_10000,N_U_3,7,7935308,5.000,17221,0,0,0
500_10000,N_U_3,8,7985518,5.000,16858,0,0,0
500_10000,N_U_3,9,7973990,5.000,17207,0,0,0
500_10000,N_U_3,10,8006439,5.000,17183,0,0,0
500_10000,N_U_4,1,20743991,5.000,17419,0,0,0
500_10000,N_U_4,2,20518182,5.000,17396,0,0,0
500_10000,N_U_4,3,20780786,5.000,17493,0,0,0
500_10000,N_U_4,4,20601165,5.006,17322,0,0,0
500_10000,N_U_4,5,20602385,5.000,17606,0,0,0
500_10000,N_U_4,6,20849171,5.010,17246,0,0,0
500_10000,N_U_4,7,20861025,5.000,17508,0,0,0
500_10000,N_U_4,8,20331622,5.000,17492,0,0,0
500_10000,N_U_4,9,20445736,5.000,17718,0,0,0
500_10000,N_U_4,10,20839859,5.000,17526,0,0,0
500_10000,N_U_5,1,18203762,5.000,17500,0,0,0
500_10000,N_U_5,2,18231349,5.000,17540,0,0,0
500_10000,N_U_5,3,18084342,5.000,17703,0,0,0
500_10000,N_U_5,4,18332778,5.000,17690,0,0,0
500_10000,N_U_5,5,18073828,5.000,17754,0,0,0
500_10000,N_U_5,6,17920844,5.000,17935,0,0,0
500_10000,N_U_5,7,18338201,5.000,17555,0,0,0
500_10000,N_U_5,8,18157956,5.000,17501,0,0,0
500_10000,N_U_5,9,18135192,5.011,17811,0,0,0
500_10000,N_U_5,10,18053677,5.000,17707,0,0,0
500_10000,U_N_1,1,5106108,5.001,11421,5,0,0
500_10000,U_N_1,2,5244255,5.000,11557,5,0,0
500_10000,U_N_1,3,5168905,5.000,12053,3,0,0
500_10000,U_N_1,4,5130834,5.000,12747,1,0,0
500_10000,U_N_1,5,5236751,5.000,11266,4,0,0
500_10000,U_N_1,6,5096272,5.000,12289,2,0,0
500_10000,U_N_1,7,5190268,5.009,12044,3,0,0
500_10000,U_N_1,8,5059101,5.011,12641,3,0,0
500_10000,U_N_1,9,5139582,5.000,12112,2,0,0
500_10000,U_N_1,10,5040085,5.000,13291,1,0,0
500_10000,U_N_2,1,5819314,5.000,12820,1,0,0
500_10000,U_N_2,2,6380248,5.001,10921,5,0,0
500_10000,U_N_2,3,5899916,5.000,12822,1,0,0
500_10000,U_N_2,4,6015814,5.000,12030,2,0,0
500_10000,U_N_2,5,5922696,5.000,12442,1,0,0
500_10000,U_N_2,6,6036601,5.019,11831,4,0,0
500_10000,U_N_2,7,6010518,5.000,11615,4,0,0
500_10000,U_N_2,8,6533563,5.085,10291,8,0,0
500_10000,U_N_2,9,6226028,5.001,11411,4,0,0
500_10000,U_N_2,10,5862231,5.001,12684,0,0,0
500_10000,U_N_3,1,111906421,5.001,14803,0,0,0
500_10000,U_N_3,2,112523400,5.000,14954,0,0,0
500_10000,U_N_3,3,112389521,5.000,14895,0,0,0
500_10000,U_N_3,4,113364626,5.000,14276,2,0,0
500_10000,U_N_3,5,109994021,5.000,15626,0,0,0
500_10000,U_N_3,6,110491517,5.000,15367,1,0,0
500_10000,U_N_3,7,111141460,5.000,15644,0,0,0
500_10000,U_N_3,8,112990290,5.000,15135,0,0,0
500_10000,U_N_3,9,113457585,5.000,15023,0,0,0
500_10000,U_N_3,10,112213325,5.000,14984,1,0,0
500_10000,U_N_4,1,4361822,5.000,12777,1,0,0
500_10000,U_N_4,2,4349804,5.000,12980,2,0,0
500_10000,U_N_4,3,4353860,5.001,12925,2,0,0
500_10000,U_N_4,4,4335500,5.000,13503,0,0,0
500_10000,U_N_4,5,4357289,5.000,12766,2,0,0
500_10000,U_N_4,6,4425392,5.000,12121,2,0,0
500_10000,U_N_4,7,4355471,5.001,13410,0,0,0
500_10000,U_N_4,8,4348432,5.000,13210,1,0,0
500_10000,U_N_4,9,4328393,5.000,13081,1,0,0
500_10000,U_N_4,10,4390649,5.000,12041,4,0,0
500_10000,U_N_5,1,4309354,5.000,12475,3,0,0
500_10000,U_N_5,2,4307906,5.000,12483,2,0,0
500_10000,U_N_5,3,4340065,5.000,11640,4,0,0
500_10000,U_N_5,4,4316255,5.000,12329,3,0,0
500_10000,U_N_5,5,4263444,5.000,12834,2,0,0
500_10000,U_N_5,6,4335391,5.000,11958,4,0,0
500_10000,U_N_5,7,4303560,5.000,12453,1,0,0
500_10000,U_N_5,8,4323980,5.000,12424,3,0,0
500_10000,U_N_5,9,4367507,5.017,11120,5,0,0
500_10000,U_N_5,10,4270430,5.000,13301,1,0,0
500_10000,U_U_1,1,8120744,5.000,16545,0,0,0
500_10000,U_U_1,2,8010785,5.000,16194,0,0,0
500_10000,U_U_1,3,7855675,5.000,16745,0,0,0
500_10000,U_U_1,4,8082705,5.001,16190,0,0,0
500_10000,U_U_1,5,7864343,5.000,17221,0,0,0
500_10000,U_U_1,6,7919528,5.000,16737,0,0,0
500_10000,U_U_1,7,7994050,5.000,16390,0,0,0
500_10000,U_U_1,8,8068149,5.000,16510,0,0,0
500_10000,U_U_1,9,7856520,5.000,16580,0,0,0
500_10000,U_U_1,10,7879654,5.000,16523,0,0,0
500_10000,U_U_2,1,7694056,5.000,16360,0,0,0
500_10000,U_U_2,2,7789247,5.000,16274,0,0,0
500_10000,U_U_2,3,7689059,5.000,16680,0,0,0
500_10000,U_U_2,4,7587199,5.000,16783,0,0,0
500_10000,U_U_2,5,7727743,5.000,16292,0,0,0
500_10000,U_U_2,6,7665397,5.000,16634,0,0,0
500_10000,U_U_2,7,7794901,5.000,16172,0,0,0
500_10000,U_U_2,8,7783966,5.000,16347,0,0,0
500_10000,U_U_2,9,7875983,5.000,16348,0,0,0
500_10000,U_U_2,10,7811841,5.000,16381,0,0,0
500_10000,U_U_3,1,22772679,5.000,17169,0,0,0
500_10000,U_U_3,2,22504250,5.000,17243,0,0,0
500_10000,U_U_3,3,23482354,5.001,15947,0,0,0
500_10000,U_U_3,4,23342547,5.000,15904,0,0,0
500_10000,U_U_3,5,23054841,5.000,16306,0,0,0
500_10000,U_U_3,6,22853858,5.000,16682,0,0,0
500_10000,U_U_3,7,23008704,5.000,16542,0,0,0
500_10000,U_U_3,8,23177179,5.000,16618,0,0,0
500_10000,U_U_3,9,23115124,5.001,16500,0,0,0
500_10000,U_U_3,10,22857684,5.001,16508,0,0,0
500_10000,U_U_4,1,7254194,5.000,16355,0,0,0
500_10000,U_U_4,2,7188796,5.000,16454,0,0,0
500_10000,U_U_4,3,7195998,5.000,16358,0,0,0
500_10000,U_U_4,4,7129361,5.000,16554,0,0,0
500_10000,U_U_4,5,7187312,5.000,16502,0,0,0
500_10000,U_U_4,6,7071742,5.001,16638,0,0,0
500_10000,U_U_4,7,7053348,5.001,16540,0,0,0
500_10000,U_U_4,8,7213558,5.001,16650,0,0,0
500_10000,U_U_4,9,7124594,5.001,16267,0,0,0
500_10000,U_U_4,10,7193923,5.000,16722,0,0,0
500_10000,U_U_5,1,20986621,5.000,16541,0,0,0
500_10000,U_U_5,2,21124926,5.000,16120,0,0,0
500_10000,U_U_5,3,20939980,5.001,16460,0,0,0
500_10000,U_U_5,4,20974254,5.000,16208,0,0,0
500_10000,U_U_5,5,20845349,5.000,16762,0,0,0
500_10000,U_U_5,6,20935955,5.000,16389,0,0,0
500_10000,U_U_5,7,21012168,5.000,16578,0,0,0
500_10000,U_U_5,8,21077925,5.000,16712,0,0,0
500_10000,U_U_5,9,20865644,5.000,16321,0,0,0
500_10000,U_U_5,10,20869042,5.001,16800,0,0,0
