Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
200_2000,N_U_5,4,717533,5.001,14100,33,4,0
200_2000,N_U_5,5,717855,5.000,14392,36,2,0
200_2000,N_U_5,6,718920,5.039,13332,38,0,0
200_2000,N_U_5,7,719439,5.000,12978,38,1,0
200_2000,N_U_5,8,719821,5.001,13429,35,3,0
200_2000,N_U_5,9,717948,5.000,14398,30,4,0
200_2000,N_U_5,10,718433,5.016,13563,31,0,0
200_2000,U_N_1,1,1095516,5.000,19940,20,0,0
200_2000,U_N_1,2,1097921,5.000,19456,8,0,0
200_2000,U_N_1,3,1166656,5.000,17728,13,0,0
200_2000,U_N_1,4,1125610,5.001,17650,20,0,0
200_2000,U_N_1,5,1105050,5.000,19735,10,0,0
200_2000,U_N_1,6,1053835,5.000,27107,28,0,0
200_2000,U_N_1,7,1018263,5.009,30612,43,0,0
200_2000,U_N_1,8,1062014,5.002,28379,55,1,0
200_2000,U_N_1,9,1075517,5.003,30198,44,2,0
200_2000,U_N_1,10,1046776,5.000,28403,54,0,0
200_2000,U_N_2,1,458944,5.000,17074,107,19,0
200_2000,U_N_2,2,459768,5.000,17098,106,19,0
200_2000,U_N_2,3,459477,5.000,16360,109,22,0
200_2000,U_N_2,4,460301,5.000,16958,104,27,0
200_2000,U_N_2,5,459440,5.001,16680,107,20,0
200_2000,U_N_2,6,459648,5.004,17043,106,20,0
200_2000,U_N_2,7,459497,5.006,16134,110,14,0
200_2000,U_N_2,8,459040,5.000,16496,108,16,0
200_2000,U_N_2,9,459304,5.006,16367,111,17,0
200_2000,U_N_2,10,458760,5.000,17002,107,17,0
200_2000,U_N_3,1,1037069,5.011,29664,45,1,0
200_2000,U_N_3,2,1030473,5.000,29713,45,0,0
200_2000,U_N_3,3,1027164,5.000,29457,50,0,0
200_2000,U_N_3,4,1020921,5.010,30014,48,0,0
200_2000,U_N_3,5,1033085,5.010,30269,44,0,0
200_2000,U_N_3,6,1031750,5.000,30487,43,0,0
200_2000,U_N_3,7,1019346,5.000,30002,47,0,0
200_2000,U_N_3,8,1060413,5.000,29880,48,0,0
200_2000,U_N_3,9,983456,5.013,29881,48,1,1
