cooling_rate,adaptation_rate,block_param,reset_threshold,phi1,phi2,penalty_factor,t0_factor,best,worst,avg,stddev
0.999900,0.250000,0.050000,400,0.800000,0.700000,80.000000,0.300000,22779.000000,22826.000000,22791.300000,12.681088
0.999900,0.250000,0.050000,400,0.800000,0.700000,85.000000,0.300000,22781.000000,22806.000000,22790.700000,7.308215
0.999900,0.250000,0.050000,400,0.800000,0.700000,90.000000,0.300000,22782.000000,22797.000000,22787.600000,4.127953
0.999900,0.250000,0.050000,400,0.800000,0.700000,95.000000,0.300000,22781.000000,22822.000000,22791.200000,12.253979
0.999900,0.250000,0.050000,400,0.800000,0.700000,100.000000,0.300000,22784.000000,22809.000000,22794.000000,6.942622
0.999900,0.250000,0.050000,400,0.800000,0.700000,75.000000,0.300000,22775.000000,22794.000000,22782.700000,6.017475
0.999900,0.250000,0.050000,400,0.800000,0.700000,70.000000,0.300000,22777.000000,22791.000000,22782.100000,3.618011
0.999900,0.250000,0.050000,400,0.800000,0.700000,60.000000,0.300000,22775.000000,22786.000000,22778.700000,3.034798
