Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,U_N_2,,4,473286,5.000,24828
200_2000,U_N_2,,5,472013,5.000,25213
200_2000,U_N_2,,6,474432,5.000,24993
200_2000,U_N_2,,7,471329,5.000,24815
200_2000,U_N_2,,8,477525,5.000,24612
200_2000,U_N_2,,9,479781,5.000,24585
200_2000,U_N_2,,10,469999,5.000,24403
200_2000,U_N_3,,1,857094,5.000,25996
200_2000,U_N_3,,2,863311,5.000,24762
200_2000,U_N_3,,3,865704,5.000,25306
200_2000,U_N_3,,4,867806,5.000,25222
200_2000,U_N_3,,5,860560,5.000,25207
200_2000,U_N_3,,6,857122,5.000,25053
200_2000,U_N_3,,7,871510,5.000,24721
200_2000,U_N_3,,8,857543,5.000,25014
200_2000,U_N_3,,9,869762,5.000,24959
200_2000,U_N_3,,10,864309,5.000,24663
200_2000,U_N_4,,1,960680,5.000,25027
200_2000,U_N_4,,2,952462,5.003,25252
200_2000,U_N_4,,3,958404,5.000,25417
200_2000,U_N_4,,4,955529,5.000,25490
200_2000,U_N_4,,5,960926,5.000,25149
200_2000,U_N_4,,6,955081,5.000,25459
200_2000,U_N_4,,7,956958,5.000,25441
200_2000,U_N_4,,8,951113,5.000,25746
200_2000,U_N_4,,9,949306,5.000,25010
200_2000,U_N_4,,10,946248,5.000,25290
200_2000,U_N_5,,1,8490605,5.000,26694
200_2000,U_N_5,,2,8390464,5.000,25931
200_2000,U_N_5,,3,8098710,5.000,26987
200_2000,U_N_5,,4,8182499,5.000,27065
200_2000,U_N_5,,5,8479444,5.000,26297
200_2000,U_N_5,,6,7837899,5.000,26596
200_2000,U_N_5,,7,8468927,5.000,26446
200_2000,U_N_5,,8,8461597,5.000,26616
200_2000,U_N_5,,9,8359465,5.000,26482
200_2000,U_N_5,,10,8498011,5.000,26337
200_2000,U_U_1,,1,1530753,5.000,26583
200_2000,U_U_1,,2,1572763,5.000,26561
200_2000,U_U_1,,3,1580016,5.000,26584
200_2000,U_U_1,,4,1562441,5.000,26576
200_2000,U_U_1,,5,1557604,5.000,26599
200_2000,U_U_1,,6,1572048,5.000,26535
200_2000,U_U_1,,7,1535669,5.000,26964
200_2000,U_U_1,,8,1525041,5.000,26933
200_2000,U_U_1,,9,1525935,5.000,26890
200_2000,U_U_1,,10,1541687,5.000,26681
200_2000,U_U_2,,1,423462,5.000,26229
200_2000,U_U_2,,2,422379,5.000,25746
200_2000,U_U_2,,3,423770,5.000,25825
200_2000,U_U_2,,4,421100,5.000,25916
200_2000,U_U_2,,5,426860,5.000,25969
200_2000,U_U_2,,6,422539,5.000,25880
200_2000,U_U_2,,7,426352,5.000,26033
200_2000,U_U_2,,8,425364,5.000,25829
200_2000,U_U_2,,9,420962,5.000,25703
200_2000,U_U_2,,10,420899,5.000,25753
200_2000,U_U_3,,1,463645,5.000,26135
200_2000,U_U_3,,2,455315,5.000,25958
200_2000,U_U_3,,3,467353,5.001,25724
200_2000,U_U_3,,4,465949,5.000,25857
200_2000,U_U_3,,5,453557,5.000,26096
200_2000,U_U_3,,6,456260,5.000,25489
200_2000,U_U_3,,7,471917,5.000,25764
200_2000,U_U_3,,8,469336,5.001,25749
200_2000,U_U_3,,9,458656,5.000,26021
200_2000,U_U_3,,10,465475,5.000,25958
200_2000,U_U_4,,1,581271,5.000,26515
200_2000,U_U_4,,2,583077,5.000,26696
200_2000,U_U_4,,3,579351,5.000,26944
200_2000,U_U_4,,4,584073,5.000,27018
200_2000,U_U_4,,5,586952,5.000,26885
200_2000,U_U_4,,6,581403,5.000,26527
200_2000,U_U_4,,7,584650,5.000,26804
200_2000,U_U_4,,8,585959,5.000,26869
