Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
14,6,249,1.000,247517,1650,824,26159
14,7,249,1.000,251546,1677,838,26469
14,8,249,1.000,244582,1630,815,25802
14,9,249,1.000,245331,1636,817,26094
14,10,249,1.000,254092,1694,846,27202
15,1,266,1.000,250708,1672,835,46780
15,2,266,1.000,243082,1620,810,46117
15,3,266,1.000,244952,1633,816,46468
15,4,266,1.000,252864,1686,842,47385
15,5,266,1.000,250059,1667,833,47640
15,6,266,1.000,248877,1659,829,47213
15,7,266,1.000,249573,1664,831,47140
15,8,266,1.000,251010,1674,836,47603
15,9,266,1.000,246046,1640,820,45879
15,10,266,1.000,245059,1634,816,46662
16,1,190,1.000,251357,1676,837,24207
16,2,190,1.000,249214,1661,830,23859
16,3,190,1.000,250697,1671,835,23854
16,4,190,1.000,250115,1667,833,23845
16,5,190,1.000,254299,1695,847,24170
16,6,190,1.000,251648,1678,838,24339
16,7,190,1.000,241270,1608,804,22938
16,8,190,1.000,247244,1648,824,24112
16,9,190,1.000,250717,1671,835,24490
16,10,190,1.000,250535,1670,835,24193
17,1,175,1.000,250089,1667,833,12850
17,2,175,1.000,246789,1645,822,12530
17,3,175,1.000,249281,1662,830,12396
17,4,175,1.000,250333,1669,834,12627
17,5,175,1.000,243221,1621,810,12253
17,6,175,1.000,242565,1617,808,12077
17,7,175,1.000,246942,1646,823,12255
17,8,175,1.000,247534,1650,825,12561
17,9,175,1.000,244908,1633,816,12241
17,10,175,1.000,243206,1621,810,12128
18,1,164,1.000,240801,1605,802,12861
18,2,164,1.000,251107,1674,836,13254
18,3,164,1.000,245557,1637,818,13149
18,4,164,1.000,244665,1631,815,13286
18,5,164,1.000,246168,1641,820,13202
18,6,164,1.000,246974,1646,823,13284
18,7,164,1.000,250099,1667,833,13553
18,8,164,1.000,248923,1659,829,13344
18,9,164,1.000,248440,1656,828,13203
18,10,164,1.000,242472,1616,808,12995
19,1,238,1.000,244853,1632,816,19143
19,2,238,1.000,252431,1683,841,19625
19,3,238,1.000,253077,1687,843,19735
19,4,238,1.000,253352,1689,844,19817
19,5,238,1.000,251297,1675,837,19629
19,6,238,1.000,252729,1685,842,19690
19,7,238,1.000,253607,1691,845,19838
19,8,238,1.000,243318,1622,811,18772
19,9,238,1.000,243786,1625,812,18869
19,10,238,1.000,253720,1692,845,19760
20,1,206,1.000,247539,1650,825,41228
20,2,206,1.000,250809,1672,835,41266
20,3,206,1.000,254737,1698,849,41979
20,4,206,1.000,250150,1668,833,41230
20,5,206,1.000,238669,1591,795,38884
20,6,206,1.000,238564,1590,795,39155
20,7,206,1.000,241398,1609,804,39818
20,8,206,1.000,238704,1592,795,39360
20,9,206,1.000,239292,1595,797,39291
20,10,206,1.000,233813,1559,779,38443
21,1,143,1.000,234159,1561,780,36911
21,2,143,1.000,252156,1681,840,40020
