instance,run,TCT,TEC,bound,feasible,runtime
data/T_12.txt,6,161,187,187,1,0.400453
data/T_12.txt,7,161,187,187,1,0.409114
data/T_12.txt,8,161,187,187,1,0.399002
data/T_12.txt,9,161,187,187,1,0.416067
data/T_12.txt,10,161,187,187,1,0.433525
data/T_13.txt,1,179,168,168,1,0.467062
data/T_13.txt,2,179,168,168,1,0.404895
data/T_13.txt,3,179,168,168,1,0.449006
data/T_13.txt,4,179,168,168,1,0.458572
data/T_13.txt,5,179,168,168,1,0.446639
data/T_13.txt,6,179,168,168,1,0.436883
data/T_13.txt,7,179,168,168,1,0.442151
data/T_13.txt,8,179,168,168,1,0.418139
data/T_13.txt,9,179,168,168,1,0.446995
data/T_13.txt,10,179,168,168,1,0.473723
data/T_14.txt,1,249,188,189,1,0.44224
data/T_14.txt,2,249,188,189,1,0.441628
data/T_14.txt,3,249,188,189,1,0.442755
data/T_14.txt,4,249,188,189,1,0.461704
data/T_14.txt,5,249,188,189,1,0.436699
data/T_14.txt,6,249,188,189,1,0.456263
data/T_14.txt,7,249,188,189,1,0.461568
data/T_14.txt,8,249,188,189,1,0.451751
data/T_14.txt,9,249,188,189,1,0.404752
data/T_14.txt,10,249,188,189,1,0.459316
data/T_15.txt,1,266,230,230,1,0.459083
data/T_15.txt,2,266,230,230,1,0.455652
data/T_15.txt,3,266,230,230,1,0.466217
data/T_15.txt,4,266,230,230,1,0.467759
data/T_15.txt,5,266,230,230,1,0.419167
data/T_15.txt,6,266,230,230,1,0.451688
data/T_15.txt,7,266,230,230,1,0.466695
data/T_15.txt,8,266,230,230,1,0.452386
data/T_15.txt,9,266,230,230,1,0.445882
data/T_15.txt,10,266,230,230,1,0.468554
data/T_16.txt,1,190,266,269,1,0.428261
data/T_16.txt,2,190,266,269,1,0.432263
data/T_16.txt,3,190,256,269,1,0.45301
data/T_16.txt,4,190,256,269,1,0.452926
data/T_16.txt,5,190,266,269,1,0.458085
data/T_16.txt,6,190,256,269,1,0.436976
data/T_16.txt,7,190,256,269,1,0.478062
data/T_16.txt,8,190,256,269,1,0.426965
data/T_16.txt,9,190,266,269,1,0.430729
data/T_16.txt,10,190,256,269,1,0.459189
data/T_17.txt,1,175,146,147,1,0.466543
data/T_17.txt,2,175,146,147,1,0.420432
data/T_17.txt,3,175,146,147,1,0.43781
data/T_17.txt,4,175,146,147,1,0.479252
data/T_17.txt,5,175,146,147,1,0.463557
data/T_17.txt,6,175,146,147,1,0.420403
data/T_17.txt,7,175,146,147,1,0.434575
data/T_17.txt,8,175,146,147,1,0.465378
data/T_17.txt,9,175,146,147,1,0.462523
data/T_17.txt,10,175,146,147,1,0.458505
data/T_18.txt,1,164,255,255,1,0.433944
data/T_18.txt,2,164,255,255,1,0.448618
data/T_18.txt,3,164,255,255,1,0.416928
data/T_18.txt,4,164,255,255,1,0.393833
data/T_18.txt,5,164,255,255,1,0.45261
data/T_18.txt,6,164,255,255,1,0.438392
data/T_18.txt,7,164,255,255,1,0.428389
data/T_18.txt,8,164,255,255,1,0.443766
data/T_18.txt,9,164,255,255,1,0.452664
data/T_18.txt,10,164,255,255,1,0.430704
data/T_19.txt,1,238,422,423,1,0.448234
data/T_19.txt,2,238,422,423,1,0.475894
data/T_19.txt,3,238,422,423,1,0.46997
data/T_19.txt,4,238,422,423,1,0.460502
data/T_19.txt,5,238,422,423,1,0.443248
data/T_19.txt,6,238,422,423,1,0.456999
data/T_19.txt,7,238,422,423,1,0.426186
data/T_19.txt,8,238,422,423,1,0.451647
data/T_19.txt,9,238,422,423,1,0.448094
data/T_19.txt,10,238,422,423,1,0.457241
data/T_20.txt,1,206,136,137,1,0.431613
data/T_20.txt,2,206,136,137,1,0.456822
data/T_20.txt,3,206,136,137,1,0.460497
data/T_20.txt,4,206,136,137,1,0.426939
data/T_20.txt,5,206,136,137,1,0.439286
data/T_20.txt,6,206,136,137,1,0.439859
data/T_20.txt,7,206,136,137,1,0.452382
data/T_20.txt,8,206,136,137,1,0.432365
data/T_20.txt,9,206,136,137,1,0.450959
data/T_20.txt,10,206,136,137,1,0.4578
data/T_21.txt,1,143,298,301,1,0.412095
data/T_21.txt,2,143,298,301,1,0.397571
data/T_21.txt,3,143,298,301,1,0.405879
data/T_21.txt,4,143,298,301,1,0.369871
data/T_21.txt,5,143,298,301,1,0.404051
data/T_21.txt,6,143,298,301,1,0.404842
data/T_21.txt,7,143,298,301,1,0.391352
data/T_21.txt,8,143,298,301,1,0.388504
data/T_21.txt,9,143,298,301,1,0.391325
data/T_21.txt,10,143,298,301,1,0.417728
data/T_22.txt,1,252,387,387,1,0.380777
data/T_22.txt,2,252,384,387,1,0.416977
data/T_22.txt,3,252,384,387,1,0.412635
data/T_22.txt,4,252,387,387,1,0.419045
data/T_22.txt,5,252,387,387,1,0.414352
data/T_22.txt,6,252,384,387,1,0.398773
data/T_22.txt,7,252,387,387,1,0.370983
data/T_22.txt,8,252,384,387,1,0.406426
data/T_22.txt,9,252,384,387,1,0.40059
data/T_22.txt,10,252,384,387,1,0.411468
data/T_23.txt,1,137,140,141,1,0.411194
data/T_23.txt,2,137,140,141,1,0.398849
data/T_23.txt,3,137,140,141,1,0.373136
data/T_23.txt,4,137,140,141,1,0.402011
data/T_23.txt,5,137,140,141,1,0.387837
data/T_23.txt,6,137,140,141,1,0.407429
data/T_23.txt,7,137,140,141,1,0.397903
data/T_23.txt,8,137,140,141,1,0.398629
data/T_23.txt,9,137,140,141,1,0.404181
data/T_23.txt,10,137,140,141,1,0.391679
data/T_24.txt,1,135,219,219,1,0.438223
data/T_24.txt,2,135,219,219,1,0.386981
data/T_24.txt,3,135,218,219,1,0.403439
data/T_24.txt,4,135,219,219,1,0.446303
data/T_24.txt,5,135,218,219,1,0.422712
data/T_24.txt,6,135,218,219,1,0.390734
data/T_24.txt,7,135,219,219,1,0.37508
data/T_24.txt,8,135,218,219,1,0.417833
data/T_24.txt,9,135,219,219,1,0.431012
data/T_24.txt,10,135,219,219,1,0.412773
data/T_25.txt,1,148,149,151,1,0.372157
data/T_25.txt,2,148,147,151,1,0.414388
data/T_25.txt,3,148,147,151,1,0.379474
data/T_25.txt,4,148,151,151,1,0.371697
data/T_25.txt,5,148,147,151,1,0.369158
