Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,U_N_2,,4,471711,5.000,23584
200_2000,U_N_2,,5,472244,5.000,24086
200_2000,U_N_2,,6,475034,5.000,23560
200_2000,U_N_2,,7,474048,5.000,23791
200_2000,U_N_2,,8,474863,5.000,23557
200_2000,U_N_2,,9,477088,5.000,23649
200_2000,U_N_2,,10,472628,5.000,23588
200_2000,U_N_3,,1,889540,5.000,24048
200_2000,U_N_3,,2,873741,5.000,24879
200_2000,U_N_3,,3,883488,5.000,25128
200_2000,U_N_3,,4,877907,5.000,24677
200_2000,U_N_3,,5,876113,5.000,25630
200_2000,U_N_3,,6,873771,5.000,24924
200_2000,U_N_3,,7,874459,5.000,25619
200_2000,U_N_3,,8,873706,5.000,24743
200_2000,U_N_3,,9,879143,5.000,24513
200_2000,U_N_3,,10,874091,5.002,25058
200_2000,U_N_4,,1,977913,5.000,25736
200_2000,U_N_4,,2,974024,5.000,25004
200_2000,U_N_4,,3,991990,5.000,24681
200_2000,U_N_4,,4,996293,5.000,24078
200_2000,U_N_4,,5,980112,5.000,24477
200_2000,U_N_4,,6,985070,5.000,24901
200_2000,U_N_4,,7,960636,5.000,24454
200_2000,U_N_4,,8,960935,5.000,24618
200_2000,U_N_4,,9,976566,5.000,23961
200_2000,U_N_4,,10,985311,5.000,23771
200_2000,U_N_5,,1,8943597,5.000,24406
200_2000,U_N_5,,2,9641628,5.000,24092
200_2000,U_N_5,,3,9415398,5.000,22920
200_2000,U_N_5,,4,9198672,5.000,23477
200_2000,U_N_5,,5,9550777,5.000,24020
200_2000,U_N_5,,6,9252143,5.000,24410
200_2000,U_N_5,,7,9445811,5.000,24426
200_2000,U_N_5,,8,9147661,5.000,24132
200_2000,U_N_5,,9,9545956,5.000,24394
200_2000,U_N_5,,10,9004446,5.000,24697
200_2000,U_U_1,,1,1612826,5.000,25706
200_2000,U_U_1,,2,1574715,5.000,24768
200_2000,U_U_1,,3,1567176,5.000,24773
200_2000,U_U_1,,4,1598008,5.000,25092
200_2000,U_U_1,,5,1639230,5.000,24902
200_2000,U_U_1,,6,1610109,5.000,24496
200_2000,U_U_1,,7,1643542,5.001,24654
200_2000,U_U_1,,8,1693245,5.000,24351
200_2000,U_U_1,,9,1560059,5.000,24003
200_2000,U_U_1,,10,1651267,5.000,23252
200_2000,U_U_2,,1,421918,5.000,24689
200_2000,U_U_2,,2,420382,5.002,23664
200_2000,U_U_2,,3,420917,5.000,23499
200_2000,U_U_2,,4,421592,5.000,23467
200_2000,U_U_2,,5,416731,5.000,23097
200_2000,U_U_2,,6,416542,5.000,23639
200_2000,U_U_2,,7,416826,5.000,23984
200_2000,U_U_2,,8,419145,5.000,24291
200_2000,U_U_2,,9,420997,5.000,24803
200_2000,U_U_2,,10,423952,5.000,24648
200_2000,U_U_3,,1,460502,5.000,24353
200_2000,U_U_3,,2,468183,5.000,24384
200_2000,U_U_3,,3,469942,5.000,23793
200_2000,U_U_3,,4,462295,5.001,23846
200_2000,U_U_3,,5,458679,5.000,24643
200_2000,U_U_3,,6,467015,5.000,24337
200_2000,U_U_3,,7,467808,5.000,23800
200_2000,U_U_3,,8,461122,5.000,23329
200_2000,U_U_3,,9,468433,5.000,23445
200_2000,U_U_3,,10,465846,5.000,23858
200_2000,U_U_4,,1,590116,5.000,25017
200_2000,U_U_4,,2,586102,5.000,24403
200_2000,U_U_4,,3,587787,5.001,24284
200_2000,U_U_4,,4,584306,5.000,25158
200_2000,U_U_4,,5,591203,5.000,24542
200_2000,U_U_4,,6,593388,5.000,26186
200_2000,U_U_4,,7,590294,5.000,24976
200_2000,U_U_4,,8,587591,5.000,25212
200_2000,U_U_4,,9,589321,5.000,23799
200_2000,U_U_4,,10,589002,5.000,23956
200_2000,U_U_5,,1,423053,5.000,24907
200_2000,U_U_5,,2,427538,5.000,24948
200_2000,U_U_5,,3,424737,5.000,24584
200_2000,U_U_5,,4,420866,5.000,24350
200_2000,U_U_5,,5,429359,5.000,24240
200_2000,U_U_5,,6,428164,5.000,24458
200_2000,U_U_5,,7,425317,5.000,24150
200_2000,U_U_5,,8,430492,5.000,24279
200_2000,U_U_5,,9,429721,5.000,24121
200_2000,U_U_5,,10,425832,5.000,24433
200_5000,N_N_1,,1,91894079,5.000,11570
200_5000,N_N_1,,2,95903604,5.000,11119
200_5000,N_N_1,,3,95567488,5.000,10986
200_5000,N_N_1,,4,92017096,5.000,10931
200_5000,N_N_1,,5,96645053,5.000,11150
200_5000,N_N_1,,6,93991244,5.006,11366
200_5000,N_N_1,,7,98638630,5.000,10751
200_5000,N_N_1,,8,93565380,5.000,10698
200_5000,N_N_1,,9,96232346,5.000,10770
200_5000,N_N_1,,10,99259805,5.000,10968
200_5000,N_N_2,,1,10472718,5.000,11178
200_5000,N_N_2,,2,9365505,5.000,11294
200_5000,N_N_2,,3,9625186,5.000,11609
200_5000,N_N_2,,4,10362624,5.000,11512
200_5000,N_N_2,,5,10040232,5.000,11617
200_5000,N_N_2,,6,10052950,5.000,11254
200_5000,N_N_2,,7,9914488,5.000,11607
200_5000,N_N_2,,8,9042136,5.000,11588
200_5000,N_N_2,,9,9503888,5.000,11267
200_5000,N_N_2,,10,10193593,5.004,11251
200_5000,N_N_3,,1,11175780,5.001,11904
200_5000,N_N_3,,2,11438169,5.000,11442
200_5000,N_N_3,,3,11538446,5.000,11235
200_5000,N_N_3,,4,13287091,5.000,11411
200_5000,N_N_3,,5,9964242,5.000,11217
200_5000,N_N_3,,6,11109951,5.000,11472
200_5000,N_N_3,,7,11970432,5.000,11509
200_5000,N_N_3,,8,10826700,5.001,11758
200_5000,N_N_3,,9,10853630,5.000,11252
200_5000,N_N_3,,10,12098311,5.000,11258
200_5000,N_N_4,,1,4026642,5.000,11136
200_5000,N_N_4,,2,4088506,5.000,10782
200_5000,N_N_4,,3,4110319,5.000,11158
200_5000,N_N_4,,4,3602914,5.000,11149
200_5000,N_N_4,,5,3981636,5.000,11082
200_5000,N_N_4,,6,3655248,5.000,11154
200_5000,N_N_4,,7,3939624,5.000,11002
200_5000,N_N_4,,8,3862817,5.000,10844
200_5000,N_N_4,,9,3925336,5.000,11080
200_5000,N_N_4,,10,3636726,5.000,10931
200_5000,N_N_5,,1,3577506,5.000,10465
200_5000,N_N_5,,2,3572739,5.000,9934
200_5000,N_N_5,,3,3524488,5.001,10212
200_5000,N_N_5,,4,3754728,5.000,10106
200_5000,N_N_5,,5,3385216,5.000,10083
200_5000,N_N_5,,6,3521741,5.000,10039
200_5000,N_N_5,,7,3460394,5.003,10237
200_5000,N_N_5,,8,3479797,5.000,10201
200_5000,N_N_5,,9,3495762,5.000,9748
200_5000,N_N_5,,10,3489155,5.000,9943
200_5000,N_U_1,,1,4677170,5.000,11173
200_5000,N_U_1,,2,4528925,5.000,11365
200_5000,N_U_1,,3,4472871,5.000,11449
200_5000,N_U_1,,4,4533655,5.000,11425
200_5000,N_U_1,,5,4614558,5.000,11413
200_5000,N_U_1,,6,5053556,5.000,10767
200_5000,N_U_1,,7,4742737,5.000,11547
200_5000,N_U_1,,8,4748192,5.000,11279
200_5000,N_U_1,,9,4627412,5.000,11038
200_5000,N_U_1,,10,4678279,5.000,10808
200_5000,N_U_2,,1,17410124,5.000,11393
200_5000,N_U_2,,2,17948870,5.000,11258
200_5000,N_U_2,,3,17117846,5.000,11107
200_5000,N_U_2,,4,18185670,5.000,11569
200_5000,N_U_2,,5,17853581,5.001,10984
200_5000,N_U_2,,6,17785545,5.000,10906
200_5000,N_U_2,,7,17113890,5.000,10976
200_5000,N_U_2,,8,18036741,5.000,10945
200_5000,N_U_2,,9,17264717,5.000,11031
200_5000,N_U_2,,10,18579600,5.000,11377
200_5000,N_U_3,,1,18991381,5.000,11679
200_5000,N_U_3,,2,18928510,5.000,11205
200_5000,N_U_3,,3,18874174,5.000,11486
200_5000,N_U_3,,4,18530300,5.000,11732
200_5000,N_U_3,,5,17989993,5.003,10859
200_5000,N_U_3,,6,18496210,5.000,11244
200_5000,N_U_3,,7,18339064,5.000,11412
200_5000,N_U_3,,8,19534507,5.000,11147
200_5000,N_U_3,,9,19707824,5.000,11394
