Phase,Trial,tenure_base,tenure_dyn,aspiration,cooling,reheat,block,adapt,intensify,diversify,penalty,nbhd_cap,p2_freq,score
refine,19,20,3,0.9900,0.9950,3.0000,0.6000,0.4000,300,1500,400.0000,100,5,104055.0000
refine,20,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,150,1500,400.0000,15,10,103740.0000
refine,21,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,600,400.0000,15,10,103834.0000
refine,22,10,3,0.9800,0.9950,2.5000,0.2000,0.1000,200,1500,400.0000,15,10,103762.0000
refine,23,10,3,0.9900,0.9950,1.5000,0.4000,0.1000,80,200,400.0000,25,15,103708.0000
refine,24,10,5,0.9700,0.9930,3.0000,0.4000,0.0500,80,1500,30.0000,15,5,103888.0000
refine,25,7,12,0.9700,0.9900,1.2000,0.3000,0.0500,200,600,10.0000,60,8,103993.0000
refine,26,10,3,0.9800,0.9950,2.5000,0.4000,0.1000,200,1500,400.0000,15,10,103868.0000
refine,27,10,8,0.9990,0.9990,1.5000,0.2000,0.0500,500,1500,100.0000,15,25,103843.0000
refine,28,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,25,10,103710.0000
refine,29,10,3,0.9800,0.9950,2.0000,0.8000,0.1000,200,1500,400.0000,15,10,103825.0000
refine,30,10,3,0.9800,0.9950,2.5000,0.3000,0.1000,200,1500,400.0000,15,10,103793.0000
local,12,7,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103734.0000
local,13,10,12,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103814.0000
local,14,10,3,0.9990,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103780.0000
local,15,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103779.0000
local,16,10,3,0.9800,0.9950,2.0000,0.8000,0.1000,200,1500,400.0000,15,10,103798.0000
local,17,10,3,0.9800,0.9950,2.5000,0.2000,0.1000,200,1500,400.0000,15,10,103766.0000
local,18,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103776.0000
local,19,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,150,1500,400.0000,15,10,103911.0000
local,20,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,600,400.0000,15,10,103757.0000
local,21,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,30.0000,15,10,103738.0000
local,22,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,100,10,104058.0000
local,23,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,8,103708.0000
