Instance,Run,Objective,Runtime
1824,6,1236,1.28021
1824,7,1237,1.20175
1824,8,1236,1.27618
1824,9,1236,1.17499
1824,10,1236,1.19765
1825,1,1179,1.15931
1825,2,1178,1.17458
1825,3,1179,1.17561
1825,4,1179,1.12697
1825,5,1179,1.15027
1825,6,1179,1.14611
1825,7,1179,1.16602
1825,8,1178,1.15771
1825,9,1179,1.21844
1825,10,1178,1.13968
1826,1,1412,1.15629
1826,2,1412,1.14017
1826,3,1411,1.15114
1826,4,1412,1.17073
1826,5,1412,1.13513
1826,6,1411,1.18136
1826,7,1412,1.13785
1826,8,1412,1.14114
1826,9,1412,1.19852
1826,10,1412,1.21684
1827,1,1298,1.14925
1827,2,1298,1.20384
1827,3,1299,1.26148
1827,4,1299,1.21246
1827,5,1299,1.18978
1827,6,1298,1.18943
1827,7,1299,1.27873
1827,8,1298,1.25364
1827,9,1298,1.16518
1827,10,1298,1.24853
1828,1,1319,1.15765
1828,2,1320,1.20727
1828,3,1320,1.14356
1828,4,1319,1.2115
1828,5,1320,1.26485
1828,6,1319,1.2395
1828,7,1319,1.20353
1828,8,1319,1.29313
1828,9,1320,1.23314
1828,10,1320,1.14699
1829,1,1218,1.19018
1829,2,1217,1.22934
1829,3,1218,1.23482
1829,4,1218,1.20657
1829,5,1218,1.16491
1829,6,1218,1.12971
1829,7,1218,1.19348
1829,8,1217,1.23223
1829,9,1217,1.1521
1829,10,1218,1.2596
1830,1,1428,1.32162
1830,2,1429,1.33006
1830,3,1429,1.21118
1830,4,1428,1.17149
1830,5,1429,1.20989
1830,6,1429,1.19076
1830,7,1428,1.19259
1830,8,1429,1.08833
1830,9,1428,1.18088
1830,10,1429,1.13386
1831,1,2806,1.327
1831,2,2869,1.32457
1831,3,2809,1.30179
1831,4,2821,1.31838
1831,5,2782,1.25812
1831,6,2821,1.25321
1831,7,2786,1.26906
1831,8,2796,1.30296
1831,9,2845,1.26113
1831,10,2836,1.26544
1832,1,2606,1.29808
1832,2,2612,1.33997
1832,3,2637,1.41964
1832,4,2610,1.328
1832,5,2628,1.39275
1832,6,2621,1.34072
1832,7,2605,1.49338
1832,8,2595,1.45548
1832,9,2593,1.30271
1832,10,2604,1.28006
1833,1,2341,1.23296
1833,2,2364,1.29449
1833,3,2339,1.28649
1833,4,2358,1.32885
1833,5,2343,1.27356
1833,6,2336,1.34093
1833,7,2335,1.37202
1833,8,2339,1.31208
1833,9,2339,1.34721
1833,10,2363,1.2285
1834,1,2064,1.32418
1834,2,2060,1.25944
1834,3,2080,1.27512
1834,4,2061,1.33971
1834,5,2063,1.39185
1834,6,2068,1.35614
1834,7,2067,1.26501
1834,8,2062,1.28609
1834,9,2065,1.34987
1834,10,2066,1.30073
1835,1,2376,1.38343
1835,2,2375,1.45658
1835,3,2377,1.44425
1835,4,2395,1.34015
1835,5,2399,1.33064
1835,6,2383,1.34942
1835,7,2387,1.3499
1835,8,2398,1.4105
1835,9,2382,1.36929
1835,10,2371,1.28549
1836,1,2684,1.30854
1836,2,2678,1.29585
1836,3,2687,1.32247
1836,4,2689,1.33327
1836,5,2699,1.39218
1836,6,2683,1.41315
1836,7,2687,1.38012
1836,8,2681,1.3472
1836,9,2690,1.33845
1836,10,2683,1.30907
1837,1,2811,1.3513
1837,2,2814,1.28713
1837,3,2815,1.26423
1837,4,2829,1.56527
1837,5,2823,1.63588
1837,6,2814,1.63422
1837,7,2812,1.55251
1837,8,2826,1.47019
1837,9,2829,1.34708
1837,10,2832,1.38997
1838,1,2057,1.48115
1838,2,2072,1.467
1838,3,2086,1.50574
1838,4,2067,1.48518
1838,5,2059,1.32359
1838,6,2063,1.25833
1838,7,2058,1.39197
1838,8,2055,1.3458
1838,9,2058,1.33289
1838,10,2064,1.29607
1839,1,1988,1.38914
1839,2,1987,1.39822
1839,3,1988,1.33314
1839,4,1995,1.50033
1839,5,1986,1.49738
1839,6,1999,1.49747
1839,7,1982,1.41306
1839,8,2000,1.39919
1839,9,1982,1.57681
1839,10,1984,1.60113
1840,1,2532,1.44943
1840,2,2530,1.43264
1840,3,2524,1.40028
1840,4,2544,1.38605
1840,5,2514,1.34846
1840,6,2524,1.36984
1840,7,2521,1.34995
1840,8,2531,1.39822
1840,9,2531,1.51184
1840,10,2517,1.51223
1841,1,1589,1.26855
1841,2,1587,1.28446
1841,3,1588,1.22051
1841,4,1585,1.15948
1841,5,1589,1.1974
1841,6,1587,1.19679
1841,7,1586,1.2673
1841,8,1587,1.25482
1841,9,1590,1.21322
1841,10,1590,1.26237
1842,1,1538,1.24302
1842,2,1537,1.29619
1842,3,1534,1.23583
1842,4,1536,1.40155
1842,5,1535,1.43091
1842,6,1534,1.46087
1842,7,1537,1.34459
1842,8,1536,1.34392
1842,9,1535,1.21785
1842,10,1534,1.23067
1843,1,1715,1.28526
1843,2,1715,1.31976
1843,3,1712,1.3129
1843,4,1710,1.29636
1843,5,1712,1.26623
