Instance,Run,Objective,Runtime
220,1,1511.0,1.000001
221,1,1432.0,1.0
222,1,1003.0,1.0
223,1,905.0,1.0
224,1,1438.0,1.000086
225,1,1189.0,1.000009
226,1,1034.0,1.0
227,1,1695.0,1.0
228,1,1023.0,1.0
229,1,2124.0,1.0
230,1,882.0,1.000001
231,1,1230.0,1.0
232,1,968.0,1.000015
233,1,912.0,1.000004
234,1,1355.0,1.000004
235,1,1429.0,1.000002
236,1,974.0,1.000001
237,1,972.0,1.0
238,1,1138.0,1.000002
239,1,1251.0,1.000001
240,1,1563.0,1.000001
241,1,585.0,1.000001
242,1,700.0,1.0
243,1,352.0,1.000001
244,1,443.0,1.000001
245,1,572.0,1.000005
246,1,395.0,1.0
247,1,518.0,1.000001
248,1,485.0,1.0
249,1,491.0,1.0
250,1,504.0,1.000001
251,1,425.0,1.0
252,1,406.0,1.0
253,1,332.0,1.000001
254,1,277.0,1.0
255,1,420.0,1.000009
256,1,472.0,1.000001
257,1,550.0,1.0
258,1,263.0,1.000021
259,1,430.0,1.000001
260,1,365.0,1.000001
261,1,342.0,1.000004
262,1,230.0,1.0
263,1,479.0,1.0
264,1,338.0,1.000002
265,1,322.0,1.0
266,1,338.0,1.000001
267,1,402.0,1.000002
268,1,280.0,1.0
269,1,336.0,1.0
270,1,219.0,1.000006
271,1,486.0,1.000036
272,1,453.0,1.0
273,1,724.0,1.0
274,1,418.0,1.0
275,1,666.0,1.000001
276,1,324.0,1.0
277,1,752.0,1.000029
278,1,476.0,1.000001
279,1,340.0,1.000001
280,1,285.0,1.000004
281,1,207.0,1.000004
282,1,437.0,1.0
283,1,611.0,1.000001
284,1,498.0,1.000016
285,1,314.0,1.0
286,1,257.0,1.0
287,1,307.0,1.000005
288,1,482.0,1.0
289,1,329.0,1.0
290,1,308.0,1.0
291,1,172.0,1.000002
292,1,361.0,1.0
293,1,314.0,1.0
294,1,323.0,1.000001
295,1,295.0,1.0
296,1,495.0,1.0
297,1,276.0,1.000031
298,1,382.0,1.000001
299,1,388.0,1.0
300,1,354.0,1.0
301,1,2222.0,1.0
302,1,1660.0,1.000002
303,1,2273.0,1.000068
304,1,2253.0,1.000001
305,1,2880.0,1.0
306,1,1537.0,1.000066
307,1,1712.0,1.000004
308,1,2106.0,1.000002
309,1,2206.0,1.0
310,1,2867.0,1.0
311,1,2048.0,1.000029
312,1,2211.0,1.000051
313,1,655.0,1.000001
314,1,1472.0,1.000041
315,1,1280.0,1.000002
316,1,1950.0,1.0
317,1,2372.0,1.000044
318,1,1585.0,1.000112
319,1,1079.0,1.0
320,1,2054.0,1.0
321,1,1899.0,1.000001
322,1,1400.0,1.0
323,1,1743.0,1.0
324,1,2016.0,1.000001
325,1,1642.0,1.000004
326,1,1775.0,1.000042
327,1,1538.0,1.000001
328,1,1786.0,1.000004
329,1,1443.0,1.000001
330,1,1776.0,1.000001
331,1,1595.0,1.0
332,1,1657.0,1.000001
333,1,2555.0,1.000024
334,1,2225.0,1.0
335,1,2926.0,1.000011
336,1,1903.0,1.0
337,1,1250.0,1.000001
338,1,2405.0,1.000004
339,1,3368.0,1.0
340,1,1618.0,1.000002
341,1,1727.0,1.0
342,1,1764.0,1.0
343,1,1493.0,1.0
344,1,1631.0,1.000001
345,1,1081.0,1.0
346,1,1621.0,1.000001
347,1,1552.0,1.000001
348,1,2070.0,1.0
349,1,1049.0,1.000001
350,1,1475.0,1.0
351,1,1276.0,1.00001
352,1,1387.0,1.0
353,1,1707.0,1.000001
354,1,1136.0,1.0
355,1,1315.0,1.0
356,1,1768.0,1.000039
357,1,1118.0,1.0
358,1,1778.0,1.000001
359,1,1572.0,1.000001
360,1,1284.0,1.000001
361,1,100.0,1.0
362,1,233.0,1.000004
363,1,191.0,1.0
364,1,177.0,1.0
365,1,208.0,1.0
366,1,92.0,1.0
367,1,197.0,1.0
368,1,163.0,1.0
369,1,263.0,1.0
370,1,153.0,1.0
371,1,163.0,1.000004
372,1,149.0,1.0
373,1,171.0,1.0
374,1,93.0,1.0
375,1,229.0,1.0
376,1,214.0,1.000012
377,1,120.0,1.0
378,1,190.0,1.0
379,1,179.0,1.000001
380,1,209.0,1.0
381,1,156.0,1.000001
382,1,156.0,1.0
383,1,109.0,1.0
384,1,174.0,1.000005
385,1,102.0,1.000004
386,1,134.0,1.000061
387,1,210.0,1.0
388,1,121.0,1.000001
389,1,138.0,1.000001
390,1,122.0,1.000005
391,1,272.0,1.000001
392,1,129.0,1.0
393,1,134.0,1.0
394,1,171.0,1.0
395,1,159.0,1.000006
396,1,177.0,1.0
397,1,210.0,1.0
398,1,208.0,1.0
399,1,152.0,1.000001
400,1,265.0,1.0
401,1,159.0,1.0
402,1,211.0,1.000001
403,1,148.0,1.000055
404,1,198.0,1.000001
405,1,111.0,1.0
406,1,159.0,1.000399
407,1,165.0,1.000001
408,1,202.0,1.0
409,1,180.0,1.000015
410,1,110.0,1.0
411,1,86.0,1.0
412,1,134.0,1.0
413,1,132.0,1.0
414,1,170.0,1.000001
415,1,109.0,1.000001
416,1,65.0,1.000096
417,1,163.0,1.000001
418,1,139.0,1.0
419,1,109.0,1.000001
420,1,107.0,1.000002
421,1,1877.0,1.0
422,1,1480.0,1.0
423,1,1632.0,1.000001
424,1,1629.0,1.0
425,1,483.0,1.0
426,1,1068.0,1.0
427,1,1045.0,1.000001
428,1,1163.0,1.000001
429,1,1017.0,1.0
430,1,1166.0,1.000001
431,1,824.0,1.0
432,1,843.0,1.000002
433,1,695.0,1.0
434,1,584.0,1.000001
435,1,1096.0,1.0
