test_id,algo,mach,job,lower_cost,upper_cost,obj_best,obj_mean,runtime_mean
T_73,Tabu+O3,2.0,8.0,440.0,1199.0,902.0,902.0,0.20000280000000004
T_74,Tabu+O3,2.0,8.0,740.0,1170.0,735.0,735.0,0.2000017
T_75,Tabu+O3,2.0,8.0,576.0,745.0,549.0,549.0,0.20001180000000002
T_76,Tabu+O3,2.0,8.0,291.0,813.0,584.0,584.0,0.20002230000000001
T_77,Tabu+O3,2.0,8.0,600.0,781.0,596.0,596.0,0.20000420000000002
T_78,Tabu+O3,2.0,8.0,317.0,981.0,681.0,681.0,0.20000150000000003
T_79,Tabu+O3,2.0,8.0,614.0,990.0,684.0,684.0,0.20000110000000001
T_80,Tabu+O3,2.0,8.0,870.0,1041.0,541.0,541.0,0.20000140000000002
T_81,Tabu+O3,2.0,8.0,844.0,1531.0,808.0,808.0,0.2000038
T_82,Tabu+O3,2.0,8.0,425.0,1154.0,750.0,750.0,0.20000650000000003
T_83,Tabu+O3,2.0,8.0,353.0,926.0,720.0,720.0,0.2000012
T_84,Tabu+O3,2.0,8.0,1095.0,1499.0,698.0,698.0,0.20000140000000002
T_85,Tabu+O3,2.0,8.0,690.0,876.0,619.0,619.0,0.20001030000000003
T_86,Tabu+O3,2.0,8.0,326.0,526.0,598.0,598.0,0.2000016
T_87,Tabu+O3,2.0,8.0,405.0,829.0,789.0,789.0,0.20000179999999998
T_88,Tabu+O3,2.0,8.0,529.0,1351.0,1206.0,1206.0,0.20000090000000004
T_89,Tabu+O3,2.0,8.0,2300.0,2300.0,839.0,839.0,0.20000179999999998
T_90,Tabu+O3,2.0,8.0,858.0,1097.0,785.0,785.0,0.20000180000000004
T_91,Tabu+O3,2.0,8.0,2994.0,3552.0,1413.0,1413.0,0.20000150000000003
T_92,Tabu+O3,2.0,8.0,948.0,1828.0,898.0,898.0,0.2000045
T_93,Tabu+O3,2.0,8.0,346.0,1718.0,858.0,858.0,0.20001790000000003
T_94,Tabu+O3,2.0,8.0,2664.0,3036.0,855.0,855.0,0.20000140000000002
T_95,Tabu+O3,2.0,8.0,2016.0,2736.0,961.0,961.0,0.20000430000000002
T_96,Tabu+O3,2.0,8.0,825.0,1119.0,526.0,526.0,0.200001
T_97,Tabu+O3,2.0,8.0,1180.0,2710.0,2060.0,2060.0,0.20000150000000003
T_98,Tabu+O3,2.0,8.0,1128.0,2496.0,940.0,940.0,0.20000160000000006
T_99,Tabu+O3,2.0,8.0,1740.0,2680.0,937.0,937.0,0.2000016
T_100,Tabu+O3,2.0,8.0,2100.0,2583.0,666.0,666.0,0.20000110000000001
T_101,Tabu+O3,2.0,8.0,1875.0,2723.0,839.0,839.0,0.200001
T_102,Tabu+O3,2.0,8.0,2742.0,3495.0,964.0,964.0,0.2000013
T_103,Tabu+O3,2.0,8.0,2706.0,3216.0,975.0,975.0,0.2000253
T_104,Tabu+O3,2.0,8.0,2166.0,2982.0,719.0,719.0,0.2000117
T_105,Tabu+O3,2.0,8.0,694.0,878.0,729.0,729.0,0.20000110000000001
T_106,Tabu+O3,2.0,8.0,1840.0,2626.0,1046.0,1046.0,0.20000560000000003
T_107,Tabu+O3,2.0,8.0,2562.0,3020.0,1027.0,1027.0,0.20000140000000002
T_108,Tabu+O3,2.0,8.0,518.0,1098.0,1159.0,1159.0,0.2000013
T_109,Tabu+O3,2.0,8.0,760.0,2528.0,839.0,839.0,0.20000140000000002
T_110,Tabu+O3,2.0,8.0,1860.0,2908.0,1020.0,1020.0,0.200012
T_111,Tabu+O3,2.0,8.0,897.0,1235.0,618.0,618.0,0.2000019
T_112,Tabu+O3,2.0,8.0,1610.0,1794.0,603.0,603.0,0.20000110000000001
T_113,Tabu+O3,2.0,8.0,430.0,2644.0,822.0,822.0,0.20000469999999998
T_114,Tabu+O3,2.0,8.0,1062.0,1886.0,650.0,650.0,0.2000019
T_115,Tabu+O3,2.0,8.0,301.0,781.0,687.0,687.0,0.20000140000000002
T_116,Tabu+O3,2.0,8.0,768.0,983.0,774.0,774.0,0.20000180000000004
T_117,Tabu+O3,2.0,8.0,728.0,833.0,348.0,348.0,0.20000140000000002
