Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_5,SMART,7,7577092,5.000,42178
200_2000,N_N_5,SMART,8,7725032,5.000,42159
200_2000,N_N_5,SMART,9,7566214,5.000,42488
200_2000,N_N_5,SMART,10,7388380,5.000,42768
200_2000,N_U_1,STANDARD,1,673549,5.000,43786
200_2000,N_U_1,STANDARD,2,677836,5.000,41463
200_2000,N_U_1,STANDARD,3,673055,5.000,42575
200_2000,N_U_1,STANDARD,4,674277,5.001,42320
200_2000,N_U_1,STANDARD,5,672303,5.000,42521
200_2000,N_U_1,STANDARD,6,675304,5.000,41604
200_2000,N_U_1,STANDARD,7,679912,5.000,42086
200_2000,N_U_1,STANDARD,8,674300,5.000,40090
200_2000,N_U_1,STANDARD,9,671367,5.000,41853
200_2000,N_U_1,STANDARD,10,675486,5.000,43113
200_2000,N_U_1,SMART,1,670840,5.000,43197
200_2000,N_U_1,SMART,2,668533,5.000,43270
200_2000,N_U_1,SMART,3,665651,5.000,40788
200_2000,N_U_1,SMART,4,665543,5.000,37007
200_2000,N_U_1,SMART,5,672075,5.000,36520
200_2000,N_U_1,SMART,6,664929,5.000,40922
200_2000,N_U_1,SMART,7,671327,5.000,43551
200_2000,N_U_1,SMART,8,668734,5.000,44435
200_2000,N_U_1,SMART,9,668549,5.000,44457
200_2000,N_U_1,SMART,10,667038,5.000,44464
200_2000,N_U_2,STANDARD,1,761262,5.000,43613
200_2000,N_U_2,STANDARD,2,765045,5.000,43574
200_2000,N_U_2,STANDARD,3,767072,5.000,44416
200_2000,N_U_2,STANDARD,4,765922,5.000,43028
200_2000,N_U_2,STANDARD,5,769355,5.000,43403
200_2000,N_U_2,STANDARD,6,759487,5.000,44845
200_2000,N_U_2,STANDARD,7,766732,5.000,43528
200_2000,N_U_2,STANDARD,8,769574,5.000,42913
200_2000,N_U_2,STANDARD,9,768222,5.000,44792
200_2000,N_U_2,STANDARD,10,765071,5.000,41023
200_2000,N_U_2,SMART,1,758264,5.000,38792
200_2000,N_U_2,SMART,2,761874,5.000,39012
200_2000,N_U_2,SMART,3,763894,5.000,38468
200_2000,N_U_2,SMART,4,767599,5.000,39720
200_2000,N_U_2,SMART,5,759668,5.000,39675
200_2000,N_U_2,SMART,6,764367,5.000,42822
200_2000,N_U_2,SMART,7,765370,5.000,39591
200_2000,N_U_2,SMART,8,756679,5.000,39326
200_2000,N_U_2,SMART,9,758017,5.000,37762
200_2000,N_U_2,SMART,10,761139,5.000,35850
200_2000,N_U_3,STANDARD,1,727605,5.000,38717
200_2000,N_U_3,STANDARD,2,726281,5.000,42192
200_2000,N_U_3,STANDARD,3,730052,5.000,40591
200_2000,N_U_3,STANDARD,4,723110,5.000,40921
200_2000,N_U_3,STANDARD,5,729624,5.000,40348
200_2000,N_U_3,STANDARD,6,728732,5.000,41902
200_2000,N_U_3,STANDARD,7,719421,5.000,43041
200_2000,N_U_3,STANDARD,8,724983,5.000,42460
200_2000,N_U_3,STANDARD,9,727408,5.000,36616
200_2000,N_U_3,STANDARD,10,728606,5.000,42178
200_2000,N_U_3,SMART,1,723448,5.000,39271
200_2000,N_U_3,SMART,2,725931,5.000,35605
200_2000,N_U_3,SMART,3,725999,5.000,36167
200_2000,N_U_3,SMART,4,722661,5.000,38613
200_2000,N_U_3,SMART,5,717222,5.000,41473
200_2000,N_U_3,SMART,6,718849,5.000,39571
