Folder,Instance,algo,obj_best,obj_avg,runtime_avg,n_runs
200_5000,N_U_4,O3_Standard,18266330.0,18964284.0,5.0,10.0
200_5000,N_U_4,Tabu,15462289.0,16847138.6,5.0,10.0
200_5000,N_U_5,O3_Smart,14672402.0,15140735.2,5.0,10.0
200_5000,N_U_5,O3_Standard,15350668.0,15699313.4,5.0,10.0
200_5000,N_U_5,Tabu,13682486.0,14118057.3,5.000100000000001,10.0
200_5000,U_N_1,O3_Smart,3516273.0,3632645.1,5.0,10.0
200_5000,U_N_1,O3_Standard,3403151.0,3545308.5,5.0,10.0
200_5000,U_N_1,Tabu,2570113.0,2582146.5,5.0,10.0
200_5000,U_N_2,O3_Smart,5912972.0,5998102.2,5.0,10.0
200_5000,U_N_2,O3_Standard,5993709.0,6228408.7,5.0,10.0
200_5000,U_N_2,Tabu,5694905.0,5895095.0,5.0,10.0
200_5000,U_N_3,O3_Smart,24218622.0,25579815.0,5.0,10.0
200_5000,U_N_3,O3_Standard,26428888.0,27343425.2,5.0005,10.0
200_5000,U_N_3,Tabu,24279905.0,24718360.0,5.0,10.0
200_5000,U_N_4,O3_Smart,44301236.0,47050657.1,5.0,10.0
200_5000,U_N_4,O3_Standard,48947076.0,50071662.7,5.0005,10.0
200_5000,U_N_4,Tabu,43057050.0,45033833.9,5.0,10.0
200_5000,U_N_5,O3_Smart,3585738.0,3825438.9,5.0,10.0
200_5000,U_N_5,O3_Standard,3288432.0,3586096.1,5.0,10.0
200_5000,U_N_5,Tabu,2668121.0,2699393.3,5.0,10.0
200_5000,U_U_1,O3_Smart,3053296.0,3202904.8,5.0,10.0
200_5000,U_U_1,O3_Standard,3123756.0,3193991.2,5.0,10.0
200_5000,U_U_1,Tabu,2463236.0,2472498.4,5.0,10.0
200_5000,U_U_2,O3_Smart,3813077.0,3833508.7,5.0,10.0
200_5000,U_U_2,O3_Standard,3841899.0,3899686.3,5.0002,10.0
200_5000,U_U_2,Tabu,3594622.0,3664254.9,5.0,10.0
200_5000,U_U_3,O3_Smart,10374785.0,10922549.5,5.0,10.0
200_5000,U_U_3,O3_Standard,11568320.0,11948739.2,5.0,10.0
200_5000,U_U_3,Tabu,9558901.0,10247614.6,5.0001999999999995,10.0
200_5000,U_U_4,O3_Smart,2931961.0,2999984.0,5.000100000000001,10.0
200_5000,U_U_4,O3_Standard,2940083.0,2992047.0,5.0,10.0
200_5000,U_U_4,Tabu,2479574.0,2487512.0,5.0,10.0
200_5000,U_U_5,O3_Smart,3318425.0,3533260.0,5.0,10.0
200_5000,U_U_5,O3_Standard,3274252.0,3473339.9,5.0,10.0
200_5000,U_U_5,Tabu,2528289.0,2538084.0,5.0,10.0
500_10000,N_N_1,O3_Smart,113376151.0,116290495.1,5.0009,10.0
500_10000,N_N_1,O3_Standard,115057298.0,118062885.8,5.0039,10.0
500_10000,N_N_1,Tabu,107466483.0,113329799.2,5.001800000000001,10.0
500_10000,N_N_2,O3_Smart,7572142.0,8402772.4,5.0,10.0
500_10000,N_N_2,O3_Standard,7403383.0,7990907.8,5.000100000000001,10.0
500_10000,N_N_2,Tabu,5858186.0,6249851.7,5.0001,10.0
500_10000,N_N_3,O3_Smart,7303833.0,7911177.1,5.000100000000001,10.0
500_10000,N_N_3,O3_Standard,7044527.0,7675127.8,5.000100000000001,10.0
500_10000,N_N_3,Tabu,5700277.0,5948960.2,5.0005,10.0
500_10000,N_N_4,O3_Smart,6384437.0,7100753.4,5.0002,10.0
500_10000,N_N_4,O3_Standard,6406637.0,6888094.4,5.000100000000001,10.0
500_10000,N_N_4,Tabu,5010218.0,5195104.6,5.002000000000001,10.0
500_10000,N_N_5,O3_Smart,96788315.0,101166317.5,5.0,10.0
500_10000,N_N_5,O3_Standard,97725627.0,103174242.1,5.0002,10.0
500_10000,N_N_5,Tabu,96296489.0,99326534.4,5.0007,10.0
500_10000,N_U_1,O3_Smart,10016823.0,11191899.5,5.0002,10.0
500_10000,N_U_1,O3_Standard,9765311.0,10757728.5,5.0,10.0
500_10000,N_U_1,Tabu,10089474.0,10704039.1,5.0,10.0
500_10000,N_U_2,O3_Smart,35868378.0,37142114.3,5.0,10.0
500_10000,N_U_2,O3_Standard,35815648.0,37669341.1,5.0002,10.0
500_10000,N_U_2,Tabu,34675587.0,36333693.8,5.000100000000001,10.0
500_10000,N_U_3,O3_Smart,8609383.0,9350259.2,5.0011,10.0
500_10000,N_U_3,O3_Standard,8822007.0,9310443.5,5.0,10.0
500_10000,N_U_3,Tabu,8646605.0,9039342.2,5.000100000000001,10.0
500_10000,N_U_4,O3_Smart,29159556.0,30119525.5,5.0003,10.0
500_10000,N_U_4,O3_Standard,30549386.0,31167150.9,5.0009,10.0
500_10000,N_U_4,Tabu,29200713.0,30193327.1,5.0013,10.0
500_10000,N_U_5,O3_Smart,24562002.0,25082461.6,5.0002,10.0
500_10000,N_U_5,O3_Standard,25233718.0,26015732.3,5.0002,10.0
500_10000,N_U_5,Tabu,23353980.0,24808412.7,5.0011,10.0
500_10000,U_N_1,O3_Smart,6882711.0,7596673.0,5.0001,10.0
500_10000,U_N_1,O3_Standard,6799162.0,7221214.8,5.0004,10.0
500_10000,U_N_1,Tabu,5284335.0,5529184.4,5.0,10.0
500_10000,U_N_2,O3_Smart,9116815.0,10156237.0,5.0002,10.0
500_10000,U_N_2,O3_Standard,8227253.0,9473562.5,5.0002,10.0
500_10000,U_N_2,Tabu,7174290.0,7950189.2,5.0017000000000005,10.0
500_10000,U_N_3,O3_Smart,101939099.0,105757302.7,5.000100000000001,10.0
500_10000,U_N_3,O3_Standard,110168627.0,112979420.6,5.000100000000001,10.0
500_10000,U_N_3,Tabu,102155552.0,105133053.1,5.0008,10.0
500_10000,U_N_4,O3_Smart,6494896.0,6799996.7,5.0009,10.0
500_10000,U_N_4,O3_Standard,5892510.0,6271005.4,5.0002,10.0
500_10000,U_N_4,Tabu,4476590.0,4579258.2,5.000100000000001,10.0
500_10000,U_N_5,O3_Smart,6596998.0,6856897.2,5.0006,10.0
500_10000,U_N_5,O3_Standard,5742901.0,6529008.2,5.0004,10.0
500_10000,U_N_5,Tabu,4483058.0,4514849.9,5.0003,10.0
500_10000,U_U_1,O3_Smart,7608905.0,8667270.6,5.0002,10.0
500_10000,U_U_1,O3_Standard,7854908.0,9326276.5,5.0002,10.0
500_10000,U_U_1,Tabu,7630003.0,8429049.5,5.0,10.0
500_10000,U_U_2,O3_Smart,7297790.0,8609229.7,5.0001,10.0
500_10000,U_U_2,O3_Standard,7267813.0,7757691.3,5.0002,10.0
500_10000,U_U_2,Tabu,7234831.0,7600256.6,5.0,10.0
500_10000,U_U_3,O3_Smart,25592239.0,26334057.5,5.000500000000001,10.0
500_10000,U_U_3,O3_Standard,26809716.0,27843348.3,5.0022,10.0
500_10000,U_U_3,Tabu,22215061.0,23423293.8,5.0002,10.0
500_10000,U_U_4,O3_Smart,9592711.0,10614572.3,5.0002,10.0
500_10000,U_U_4,O3_Standard,9438317.0,10203862.9,5.0003,10.0
500_10000,U_U_4,Tabu,7168534.0,7846151.1,5.000100000000001,10.0
500_10000,U_U_5,O3_Smart,22199155.0,23143375.8,5.001900000000001,10.0
500_10000,U_U_5,O3_Standard,23281848.0,24118523.2,5.0006,10.0
500_10000,U_U_5,Tabu,20317321.0,21112335.4,5.0006,10.0
