Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
16,6,190,0.200001,92701,2,8
16,7,190,0.200001,90889,2,8
16,8,190,0.200001,86764,2,8
16,9,190,0.200001,78326,2,8
16,10,190,0.200002,91426,2,8
17,1,175,0.200002,83384,2,8
17,2,175,0.200001,80038,2,8
17,3,175,0.2,82351,2,8
17,4,175,0.200001,81488,2,8
17,5,175,0.200009,79272,2,8
17,6,175,0.200001,76661,2,8
17,7,175,0.200001,79013,2,8
17,8,175,0.200056,71883,2,8
17,9,175,0.200002,81730,2,8
17,10,175,0.200013,83040,2,8
18,1,164,0.2,90294,2,8
18,2,164,0.200001,87711,2,8
18,3,164,0.200003,84079,2,8
18,4,164,0.200002,79422,2,8
18,5,164,0.200005,89694,2,8
18,6,164,0.200001,93460,2,8
18,7,164,0.2,89758,2,8
18,8,164,0.2,78157,2,8
18,9,164,0.200001,86565,2,8
18,10,164,0.200002,82354,2,8
19,1,238,0.200001,66014,2,8
19,2,238,0.200001,83405,2,8
19,3,238,0.200001,77892,2,8
19,4,238,0.200001,84004,2,8
19,5,238,0.200001,81235,2,8
19,6,238,0.200001,72060,2,8
19,7,238,0.2,84865,2,8
19,8,238,0.200002,86638,2,8
19,9,238,0.2,88215,2,8
19,10,238,0.200001,82725,2,8
20,1,206,0.20001,85182,2,8
20,2,206,0.200019,70501,2,8
20,3,206,0.200005,40548,2,8
20,4,206,0.200005,43658,2,8
20,5,206,0.200001,40976,2,8
20,6,206,0.200003,36372,2,8
20,7,206,0.200004,40311,2,8
20,8,206,0.200002,41705,2,8
20,9,206,0.200001,37114,2,8
20,10,206,0.200002,35639,2,8
21,1,143,0.200001,41335,2,8
21,2,143,0.200003,39164,2,8
21,3,143,0.200004,37008,2,8
21,4,143,0.200003,40908,2,8
21,5,143,0.200004,37148,2,8
21,6,143,0.200006,43164,2,8
21,7,143,0.200003,36509,2,8
21,8,143,0.200004,39678,2,8
21,9,143,0.2,41651,2,8
21,10,143,0.200001,39764,2,8
22,1,252,0.200003,41554,2,8
22,2,252,0.200001,39655,2,8
22,3,252,0.200002,36053,2,8
22,4,252,0.200004,38499,2,8
22,5,252,0.200005,44653,2,8
22,6,252,0.200002,39406,2,8
22,7,252,0.200002,40868,2,8
22,8,252,0.200004,37008,2,8
22,9,252,0.200002,45202,2,8
22,10,252,0.200002,45117,2,8
23,1,137,0.200001,41223,2,8
23,2,137,0.200005,39621,2,8
23,3,137,0.200001,44815,2,8
23,4,137,0.200003,45077,2,8
23,5,137,0.200004,40639,2,8
23,6,137,0.200002,40753,2,8
23,7,137,0.200003,40728,2,8
23,8,137,0.200003,42011,2,8
23,9,137,0.200004,42687,2,8
23,10,137,0.200007,41507,2,8
24,1,135,0.200004,33305,2,8
24,2,135,0.200003,43966,2,8
24,3,135,0.200002,39726,2,8
24,4,135,0.200002,47254,2,8
24,5,135,0.200004,33484,2,8
24,6,135,0.200003,45976,2,8
24,7,135,0.200015,44494,2,8
24,8,135,0.200003,45528,2,8
24,9,135,0.200004,46566,2,8
24,10,135,0.200002,45931,2,8
25,1,148,0.200003,46267,2,8
25,2,148,0.200001,45534,2,8
25,3,148,0.200001,47520,2,8
