Folder,Instance,O3_Standard_obj_best,O3_Smart_obj_best,Tabu_obj_best,delta_Smart_obj_best,delta_Smart_obj_best_pct,verdict_Smart,delta_Tabu_obj_best,delta_Tabu_obj_best_pct,verdict_Tabu,O3_Standard_obj_avg,O3_Smart_obj_avg,Tabu_obj_avg,delta_Smart_obj_avg,delta_Smart_obj_avg_pct,delta_Tabu_obj_avg,delta_Tabu_obj_avg_pct,O3_Standard_runtime_avg,O3_Smart_runtime_avg,Tabu_runtime_avg
200_2000,U_U_5,459664.0,463336.0,409128.0,3672.0,0.7988443732813534,Worse,-50536.0,-10.994117442305685,Better,463657.4,464980.1,409993.6,1322.6999999999534,0.28527529162695414,-53663.80000000005,-11.574019955251453,5.0,5.0,5.0
200_5000,N_N_1,91595736.0,87443675.0,78557188.0,-4152061.0,-4.533028699065205,Better,-13038548.0,-14.234885344444418,Better,95054685.5,92338344.5,82118674.5,-2716341.0,-2.8576613406395417,-12936011.0,-13.609019831010855,5.0009999999999994,5.0004,5.000100000000001
200_5000,N_N_2,8665279.0,8207983.0,8081662.0,-457296.0,-5.277337290582334,Better,-583617.0,-6.735120704134282,Better,9567197.7,9153380.2,8607327.4,-413817.5,-4.325378370721868,-959870.2999999989,-10.032930541406069,5.0003,5.0,5.0
200_5000,N_N_3,10720395.0,9443720.0,8805969.0,-1276675.0,-11.908842911105422,Better,-1914426.0,-17.857793486154193,Better,11193167.5,10185867.0,9631372.7,-1007300.5,-8.999244405124823,-1561794.8000000007,-13.953108447631118,5.0002,5.0,5.0
200_5000,N_N_4,3655013.0,4102985.0,3156037.0,447972.0,12.256372275556886,Worse,-498976.0,-13.651825588582037,Better,4345200.2,4405306.9,3205073.3,60106.700000000186,1.38328954325281,-1140126.9000000004,-26.23876570750412,5.000100000000001,5.0002,5.0
200_5000,N_N_5,3828714.0,3940893.0,2983071.0,112179.0,2.929939400017865,Worse,-845643.0,-22.0868678099226,Better,4000215.7,4139567.6,3014611.9,139351.8999999999,3.483609646349818,-985603.8000000003,-24.63876635452434,5.0002,5.000100000000001,5.0
200_5000,N_U_1,4563887.0,4558338.0,4253081.0,-5549.0,-0.12158495598160078,Better,-310806.0,-6.810116026097929,Better,4692081.3,4758664.4,4310453.3,66583.10000000056,1.4190525641574148,-381628.0,-8.13344815657819,5.0004,5.000100000000001,5.0
200_5000,N_U_2,16471948.0,15014621.0,14249193.0,-1457327.0,-8.847326375726782,Better,-2222755.0,-13.494184172995205,Better,17611523.7,15874213.5,14978774.2,-1737310.1999999993,-9.864621764668774,-2632749.5,-14.949016024093362,5.0,5.0,5.0
200_5000,N_U_3,16401452.0,15582349.0,15027989.0,-819103.0,-4.994088328277277,Better,-1373463.0,-8.374032981957939,Better,17332672.2,16362274.3,15524791.6,-970397.8999999985,-5.598662969002544,-1807880.5999999996,-10.4304782271253,5.0004,5.000500000000001,5.0003
200_5000,N_U_4,18266330.0,17239553.0,15462289.0,-1026777.0,-5.6211455722085395,Better,-2804041.0,-15.350872342720184,Better,18964284.0,17885684.9,16847138.6,-1078599.1000000015,-5.6875287250496855,-2117145.3999999985,-11.163856225734643,5.0,5.0,5.0
200_5000,N_U_5,15350668.0,14672402.0,13682486.0,-678266.0,-4.418478726788958,Better,-1668182.0,-10.867162262906083,Better,15699313.4,15140735.2,14118057.3,-558578.2000000011,-3.5579785291756845,-1581256.0999999996,-10.07213538395889,5.0,5.0,5.000100000000001
200_5000,U_N_1,3403151.0,3516273.0,2570113.0,113122.0,3.324037046842764,Worse,-833038.0,-24.478431900318263,Better,3545308.5,3632645.1,2582146.5,87336.6000000001,2.463441474839216,-963162.0,-27.167226773072073,5.0,5.0,5.0
200_5000,U_N_2,5993709.0,5912972.0,5694905.0,-80737.0,-1.3470290266010578,Better,-298804.0,-4.985293747160564,Better,6228408.7,5998102.2,5895095.0,-230306.5,-3.697678028097289,-333313.7000000002,-5.351506557365129,5.0,5.0,5.0
200_5000,U_N_3,26428888.0,24218622.0,24279905.0,-2210266.0,-8.36306847265008,Better,-2148983.0,-8.131189628560989,Better,27343425.2,25579815.0,24718360.0,-1763610.1999999993,-6.44985105962511,-2625065.1999999993,-9.600352482541211,5.0005,5.0,5.0
200_5000,U_N_4,48947076.0,44301236.0,43057050.0,-4645840.0,-9.49155777967207,Better,-5890026.0,-12.033458341822094,Better,50071662.7,47050657.1,45033833.9,-3021005.6000000015,-6.033363857118332,-5037828.8000000045,-10.061237291407151,5.0005,5.0,5.0
200_5000,U_N_5,3288432.0,3585738.0,2668121.0,297306.0,9.040965420601673,Worse,-620311.0,-18.863427919446107,Better,3586096.1,3825438.9,2699393.3,239342.7999999998,6.674188123402488,-886702.8000000003,-24.72613045701704,5.0,5.0,5.0
200_5000,U_U_1,3123756.0,3053296.0,2463236.0,-70460.0,-2.2556179163801526,Better,-660520.0,-21.14505742445953,Better,3193991.2,3202904.8,2472498.4,8913.599999999627,0.27907403126219094,-721492.8000000003,-22.589066619845422,5.0,5.0,5.0
200_5000,U_U_2,3841899.0,3813077.0,3594622.0,-28822.0,-0.7502019183742207,Better,-247277.0,-6.436322245847692,Better,3899686.3,3833508.7,3664254.9,-66177.59999999963,-1.6969980380216643,-235431.3999999999,-6.037188170751065,5.0002,5.0,5.0
200_5000,U_U_3,11568320.0,10374785.0,9558901.0,-1193535.0,-10.317271652236453,Better,-2009419.0,-17.370015698044313,Better,11948739.2,10922549.5,10247614.6,-1026189.6999999993,-8.58826762241157,-1701124.5999999996,-14.236854378744829,5.0,5.0,5.0001999999999995
200_5000,U_U_4,2940083.0,2931961.0,2479574.0,-8122.0,-0.27625070448691413,Better,-460509.0,-15.663129238188173,Better,2992047.0,2999984.0,2487512.0,7937.0,0.2652698971640486,-504535.0,-16.862535916046774,5.0,5.000100000000001,5.0
200_5000,U_U_5,3274252.0,3318425.0,2528289.0,44173.0,1.349102023912637,Worse,-745963.0,-22.782699682248037,Better,3473339.9,3533260.0,2538084.0,59920.10000000009,1.7251435714656114,-935255.8999999999,-26.92670245143586,5.0,5.0,5.0
500_10000,N_N_1,115057298.0,113376151.0,107466483.0,-1681147.0,-1.4611389535672914,Better,-7590815.0,-6.5974215733799,Better,118062885.8,116290495.1,113329799.2,-1772390.700000003,-1.5012259678307838,-4733086.599999994,-4.008953845171887,5.0039,5.0009,5.001800000000001
500_10000,N_N_2,7403383.0,7572142.0,5858186.0,168759.0,2.279484932766547,Worse,-1545197.0,-20.871498880984547,Better,7990907.8,8402772.4,6249851.7,411864.60000000056,5.154165337760505,-1741056.0999999996,-21.78796381557549,5.000100000000001,5.0,5.0001
500_10000,N_N_3,7044527.0,7303833.0,5700277.0,259306.0,3.6809568619724216,Worse,-1344250.0,-19.08218962039609,Better,7675127.8,7911177.1,5948960.2,236049.2999999998,3.0755097003075287,-1726167.5999999996,-22.490408563620264,5.000100000000001,5.000100000000001,5.0005
