Instance,Run,Objective,Runtime,Iterations
20,9,206,0.200005,47857
20,10,206,0.200008,46278
21,1,143,0.200039,43213
21,2,143,0.200004,49402
21,3,143,0.200002,49087
21,4,143,0.200001,45988
21,5,143,0.200003,49557
21,6,143,0.200002,50296
21,7,143,0.200005,49645
21,8,143,0.200005,50345
21,9,143,0.200003,50916
21,10,143,0.200002,50558
22,1,252,0.200002,51858
22,2,252,0.200005,51305
22,3,252,0.200003,50504
22,4,252,0.200002,49275
22,5,252,0.200001,52196
22,6,252,0.200004,51680
22,7,252,0.200004,52158
22,8,252,0.200006,51995
22,9,252,0.200003,50770
22,10,252,0.200002,46112
23,1,137,0.200003,41944
23,2,137,0.200004,47693
23,3,137,0.200003,40865
23,4,137,0.200005,43581
23,5,137,0.200004,46196
23,6,137,0.200001,48957
23,7,137,0.200001,49075
23,8,137,0.200001,48599
23,9,137,0.200002,48648
23,10,137,0.200004,49228
24,1,135,0.200004,47343
24,2,135,0.200001,52612
24,3,135,0.200005,47451
24,4,135,0.200003,46971
24,5,135,0.200002,46428
24,6,135,0.200004,47228
24,7,135,0.200003,53927
24,8,135,0.200005,48396
24,9,135,0.200004,48792
24,10,135,0.200004,53961
25,1,148,0.200001,51717
25,2,148,0.200002,50086
25,3,148,0.200001,52024
25,4,148,0.200002,52663
25,5,148,0.200001,39098
25,6,148,0.200004,38680
25,7,148,0.200004,53076
25,8,148,0.200005,47581
25,9,148,0.200003,50388
25,10,148,0.200004,51263
26,1,246,0.200004,39599
26,2,246,0.200003,52412
26,3,246,0.200002,53475
26,4,246,0.200001,48601
26,5,246,0.200003,52834
26,6,246,0.200002,53207
26,7,246,0.200001,53784
26,8,246,0.200003,54234
26,9,246,0.200002,53638
26,10,246,0.200005,58148
27,1,141,0.200003,46463
27,2,141,0.200001,50995
27,3,141,0.200002,51060
27,4,141,0.200002,51987
27,5,141,0.200003,51531
27,6,141,0.2,52501
27,7,141,0.200001,50783
27,8,141,0.201572,51272
27,9,141,0.200001,49746
27,10,141,0.200002,46416
28,1,126,0.200003,51234
28,2,126,0.200321,53330
28,3,126,0.200002,46051
28,4,126,0.200004,48520
28,5,126,0.200005,48541
28,6,126,0.2,47672
28,7,126,0.200003,43503
28,8,126,0.200003,50473
28,9,126,0.200005,49681
28,10,126,0.200004,51363
29,1,194,0.200001,53640
29,2,194,0.200932,52970
29,3,194,0.200001,50659
29,4,194,0.200002,52030
29,5,194,0.200003,53236
29,6,194,0.2,53164
29,7,194,0.200003,51978
29,8,194,0.200002,52738
29,9,194,0.200004,53559
29,10,194,0.200004,53808
30,1,143,0.200002,53449
30,2,143,0.200004,54326
30,3,143,0.200005,55176
30,4,143,0.200001,53700
30,5,143,0.200001,54376
30,6,143,0.200002,52277
30,7,143,0.200001,52066
30,8,143,0.200002,52219
30,9,143,0.200001,53461
30,10,143,0.200002,53159
31,1,230,0.200002,52376
31,2,230,0.200002,53299
31,3,230,0.200003,52155
31,4,230,0.200004,52313
31,5,230,0.200002,52349
31,6,230,0.200002,51831
31,7,230,0.200002,52078
31,8,230,0.200003,53158
31,9,230,0.200003,48973
31,10,230,0.200003,51638
32,1,247,0.200034,43297
32,2,247,0.200002,53217
32,3,247,0.200002,53321
32,4,247,0.200003,52954
32,5,247,0.200004,52624
32,6,247,0.200002,52944
32,7,247,0.200004,51605
32,8,247,0.200002,50652
32,9,247,0.200004,50382
32,10,247,0.200003,51613
33,1,273,0.200003,51895
33,2,273,0.200003,51407
33,3,273,0.200001,46155
33,4,273,0.200002,52371
33,5,273,0.200003,53007
33,6,273,0.200003,53571
33,7,273,0.200002,52507
33,8,273,0.200002,51754
33,9,273,0.200003,54684
33,10,273,0.200004,53654
34,1,202,0.200003,53665
34,2,202,0.200003,54299
34,3,202,0.200003,53171
34,4,202,0.200002,53469
