Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
16,5,190,0.200001,53984,2,8
16,6,190,0.200002,55445,2,8
16,7,190,0.200003,55205,2,8
16,8,190,0.200002,54826,2,8
16,9,190,0.200003,54115,2,8
16,10,190,0.200002,54815,2,8
17,1,175,0.200003,50834,2,8
17,2,175,0.200005,50276,2,8
17,3,175,0.200005,51063,2,8
17,4,175,0.200516,49472,2,8
17,5,175,0.200002,50295,2,8
17,6,175,0.200005,50596,2,8
17,7,175,0.200003,49036,2,8
17,8,175,0.200005,48234,2,8
17,9,175,0.200001,46028,2,8
17,10,175,0.200008,42641,2,8
18,1,164,0.200002,50555,2,8
18,2,164,0.200002,60478,2,8
18,3,164,0.200006,38731,2,8
18,4,164,0.200003,45745,2,8
18,5,164,0.200006,49337,2,8
18,6,164,0.200006,38934,2,8
18,7,164,0.200003,51709,2,8
18,8,164,0.200004,51942,2,8
18,9,164,0.200003,54157,2,8
18,10,164,0.200002,53443,2,8
19,1,238,0.200004,49751,2,8
19,2,238,0.200004,51209,2,8
19,3,238,0.200002,53946,2,8
19,4,238,0.200006,53862,2,8
19,5,238,0.200031,55481,2,8
19,6,238,0.200797,53329,2,8
19,7,238,0.200001,52836,2,8
19,8,238,0.200002,53143,2,8
19,9,238,0.200004,52556,2,8
19,10,238,0.200002,54274,2,8
20,1,206,0.200002,54045,2,8
20,2,206,0.200003,53922,2,8
20,3,206,0.200001,49893,2,8
20,4,206,0.200002,54076,2,8
20,5,206,0.200002,50282,2,8
20,6,206,0.200004,48028,2,8
20,7,206,0.200002,47009,2,8
20,8,206,0.200006,48117,2,8
20,9,206,0.200005,47857,2,8
20,10,206,0.200008,46278,2,8
21,1,143,0.200039,43213,2,8
21,2,143,0.200004,49402,2,8
21,3,143,0.200002,49087,2,8
21,4,143,0.200001,45988,2,8
21,5,143,0.200003,49557,2,8
21,6,143,0.200002,50296,2,8
21,7,143,0.200005,49645,2,8
21,8,143,0.200005,50345,2,8
21,9,143,0.200003,50916,2,8
21,10,143,0.200002,50558,2,8
22,1,252,0.200002,51858,2,8
22,2,252,0.200005,51305,2,8
22,3,252,0.200003,50504,2,8
22,4,252,0.200002,49275,2,8
22,5,252,0.200001,52196,2,8
22,6,252,0.200004,51680,2,8
22,7,252,0.200004,52158,2,8
22,8,252,0.200006,51995,2,8
22,9,252,0.200003,50770,2,8
22,10,252,0.200002,46112,2,8
23,1,137,0.200003,41944,2,8
23,2,137,0.200004,47693,2,8
23,3,137,0.200003,40865,2,8
23,4,137,0.200005,43581,2,8
23,5,137,0.200004,46196,2,8
23,6,137,0.200001,48957,2,8
23,7,137,0.200001,49075,2,8
23,8,137,0.200001,48599,2,8
23,9,137,0.200002,48648,2,8
23,10,137,0.200004,49228,2,8
24,1,135,0.200004,47343,2,8
24,2,135,0.200001,52612,2,8
24,3,135,0.200005,47451,2,8
24,4,135,0.200003,46971,2,8
24,5,135,0.200002,46428,2,8
24,6,135,0.200004,47228,2,8
24,7,135,0.200003,53927,2,8
24,8,135,0.200005,48396,2,8
24,9,135,0.200004,48792,2,8
24,10,135,0.200004,53961,2,8
25,1,148,0.200001,51717,2,8
25,2,148,0.200002,50086,2,8
25,3,148,0.200001,52024,2,8
25,4,148,0.200002,52663,2,8
25,5,148,0.200001,39098,2,8
25,6,148,0.200004,38680,2,8
25,7,148,0.200004,53076,2,8
25,8,148,0.200005,47581,2,8
25,9,148,0.200003,50388,2,8
25,10,148,0.200004,51263,2,8
26,1,246,0.200004,39599,2,8
26,2,246,0.200003,52412,2,8
26,3,246,0.200002,53475,2,8
26,4,246,0.200001,48601,2,8
26,5,246,0.200003,52834,2,8
26,6,246,0.200002,53207,2,8
26,7,246,0.200001,53784,2,8
26,8,246,0.200003,54234,2,8
26,9,246,0.200002,53638,2,8
26,10,246,0.200005,58148,2,8
27,1,141,0.200003,46463,2,8
27,2,141,0.200001,50995,2,8
27,3,141,0.200002,51060,2,8
27,4,141,0.200002,51987,2,8
27,5,141,0.200003,51531,2,8
27,6,141,0.2,52501,2,8
27,7,141,0.200001,50783,2,8
27,8,141,0.201572,51272,2,8
27,9,141,0.200001,49746,2,8
27,10,141,0.200002,46416,2,8
28,1,126,0.200003,51234,2,8
28,2,126,0.200321,53330,2,8
28,3,126,0.200002,46051,2,8
28,4,126,0.200004,48520,2,8
28,5,126,0.200005,48541,2,8
28,6,126,0.2,47672,2,8
28,7,126,0.200003,43503,2,8
28,8,126,0.200003,50473,2,8
28,9,126,0.200005,49681,2,8
28,10,126,0.200004,51363,2,8
29,1,194,0.200001,53640,2,8
29,2,194,0.200932,52970,2,8
29,3,194,0.200001,50659,2,8
29,4,194,0.200002,52030,2,8
29,5,194,0.200003,53236,2,8
29,6,194,0.2,53164,2,8
29,7,194,0.200003,51978,2,8
29,8,194,0.200002,52738,2,8
29,9,194,0.200004,53559,2,8
